id,label,left_title,left_authors,left_venue,left_year,left_vldb,right_title,right_authors,right_venue,right_year,right_vldb
27,1,"warping indexes with envelope transforms for query by humming dennis shasha , yunyue zhu",VAL -,sigmod conference,2003,VAL -,"warping indexes with envelope transforms for query by humming yunyue zhu , dennis shasha",VAL -,international conference on management of data,2003,VAL -
28,0,"reminiscences on influential papers theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross",VAL -,SIGMOD Conference,VAL -,,influential papers ken ross,VAL -,ACM SIGMOD Record,2002,
29,0,database research at ut arlington sigmod record 2003,"sharma chakravarthy, y. alp aslandogan, ramez elmasri, leonidas fegaras, jung-hwan oh",VAL -,VAL -,,database research at arizona state university,"susan d. urban, suzanne w. dietrich, forouzan golshani",ACM SIGMOD Record,1996,
30,0,lore : a database management system for semistructured data sigmod record,"roy goldman, serge abiteboul, jennifer widom, dallan quass, jason mchugh",SIGMOD Conference,1997,,dwms : data warehouse management system narendra mohan very large data bases,VAL -,VLDB,VAL -,
31,0,discover : keyword search in relational databases 2002,"vagelis hristidis, yannis papakonstantinou",VLDB,VAL -,,converting relational to object-oriented databases 1997,joseph fong,ACM SIGMOD Record,VAL -,
32,0,"incremental computation and maintenance of temporal aggregates jun yang , jennifer widom",VAL -,VLDB Journal,2003,VLDB Journal,incremental maintenance of recursive views using relational calculus/sql,"guozhu dong , jianwen su",ACM SIGMOD Record,2000,VAL -
33,0,"procedures in object-oriented query languages kazimierz subieta , jacek leszczylowski , yahiko kambayashi 1995",VAL -,VLDB,VAL -,,"an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",VAL -,VLDB,1994,
34,1,opossum : desk-top schema management through customizable visualization,"miron livny, eben m. haber, yannis e. ioannidis",VAL -,VAL -,VAL -,opossum : desk-top schema management through customizable visualization,"eben m. haber, yannis e. ioannidis, miron livny",VAL -,1995,VLDB
35,0,dms : a parallel data mining server felicity a. w. george,VAL -,VLDB,1998,,"scalable parallel data mining for association rules eui-hong han , george karypis , vipin kumar international conference on management of data",VAL -,SIGMOD Conference,1997,
36,1,"naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet",VAL -,VLDB,1994,VLDB,naos - efficient and modular reactive capabilities in an object-oriented database system 1994,"christine collet , thierry coupaye , t. svensen",VLDB,1994,VLDB
37,0,user-adaptive exploration of multidimensional data 2000,sunita sarawagi,VLDB,VAL -,,"a foundation for multi-dimensional databases marc gyssens , laks v. s. lakshmanan",VAL -,VLDB,1997,
38,1,"a query language for multidimensional arrays : design , implementation , and optimization techniques sigmod conference","limsoon wong, rona machlin, leonid libkin",VAL -,1996,,"a query language for multidimensional arrays : design , implementation , and optimization techniques","leonid libkin, rona machlin, limsoon wong",SIGMOD Conference,VAL -,
39,1,"comprehension syntax limsoon wong , dan suciu , val tannen , peter buneman , leonid libkin sigmod record",VAL -,SIGMOD Conference,1994,,comprehension syntax,"peter buneman , leonid libkin , dan suciu , val tannen , limsoon wong",ACM SIGMOD Record,1994,
40,0,buffering accesses to memory-resident index structures 2003,"jingren zhou, kenneth a. ross",VLDB,VAL -,,"efficient index structures for string databases tamer kahveci , ambuj k. singh 2001",VAL -,VLDB,2001,
41,0,secure transaction processing in firm real-time database systems,VAL -,SIGMOD Conference,1997,VAL -,revisiting commit processing in distributed database systems,"ramesh gupta, jayant haritsa, krithi ramamritham",SIGMOD Conference,1997,VAL -
42,0,semint : a system prototype for semantic integration in heterogeneous databases,"wen-syan li, chris clifton",SIGMOD Conference,1995,VAL -,a scalable architecture for autonomous heterogeneous database interactions very large data bases,"steven milliner, athman bouguettaya, mike p. papazoglou",VAL -,1995,VLDB
43,0,"mining system audit data : opportunities and challenges wei fan , wenke lee 2001",VAL -,SIGMOD Conference,VAL -,,"amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman",VAL -,ACM SIGMOD Record,2002,
44,0,sit-in : a real-life spatio-temporal information system,VAL -,VLDB,VAL -,,environmental information systems,VAL -,ACM SIGMOD Record,1997,
45,0,"partial results for online query processing joseph m. hellerstein , vijayshankar raman",VAL -,SIGMOD Conference,2002,,"sequence query processing praveen seshadri , miron livny , raghu ramakrishnan",VAL -,SIGMOD Conference,1994,
46,1,beyond market baskets : generalizing association rules to correlations,"rajeev motwani, sergey brin, craig silverstein",SIGMOD Conference,1997,VAL -,beyond market baskets : generalizing association rules to correlations,"sergey brin, rajeev motwani, craig silverstein",SIGMOD Conference,1997,VAL -
47,0,tracing the lineage of view data in a warehousing environment acm trans . database syst .,"janet l. wiener , yingwei cui , jennifer widom",VAL -,VAL -,,lineage tracing for general data warehouse transformations,VAL -,VLDB,2001,
48,0,editorial vldb j.,"peter m. g. apers, stefano ceri, richard t. snodgrass",VLDB Journal,2002,,editorial,richard snodgrass,ACM Transactions on Database Systems (TODS),2001,
49,0,mining fuzzy association rules in databases,VAL -,SIGMOD Conference,1998,,a new sql-like operator for mining association rules,"rosa meo, giuseppe psaila, stefano ceri",VLDB,1996,
50,0,query optimization in the presence of limited access patterns,VAL -,SIGMOD Conference,1999,,minimization of tree pattern queries,VAL -,international conference on management of data,VAL -,
51,0,query optimization for selections using bitmaps ming-chuan wu,VAL -,SIGMOD Conference,1999,SIGMOD Conference,query optimization in compressed database systems,"zhiyuan chen , johannes gehrke , flip korn",International Conference on Management of Data,2001,VAL -
52,0,"reminiscences on influential papers christos h. papadimitriou , anant jhingran , yannis e. ioannidis , kenneth a. ross sigmod record 2000",VAL -,SIGMOD Conference,VAL -,,reminiscences on influential papers,kenneth a. ross,ACM SIGMOD Record,2003,
53,1,user-defined table operators : enhancing extensibility for ordbms,"bernhard mitschang, michael jaedicke",VAL -,VAL -,,user-defined table operators : enhancing extensibility for ordbms,"michael jaedicke, bernhard mitschang",VAL -,VAL -,
54,0,"distance browsing in spatial databases hanan samet , gísli r. hjaltason",VAL -,ACM Trans. Database Syst.,1999,VAL -,selectivity estimation in spatial databases,"swarup acharya, viswanath poosala, sridhar ramaswamy",SIGMOD Conference,1999,VAL -
55,0,answering xml queries on heterogeneous data sources,VAL -,VAL -,2001,VAL -,describing and using query capabilities of heterogeneous sources,"vasilis vassalos, yannis papakonstantinou",VLDB,1997,VLDB
56,0,index configuration in object-oriented databases,VAL -,VLDB Journal,VAL -,,a cost model for clustered object-oriented databases,"georges gardarin, jean-robert gruser, zhao-hui tang",VLDB,1995,
57,0,"reminiscences on influential papers z. meral özsoyoglu , philip s. yu , nick roussopoulos , krithi ramamritham , alberto o. mendelzon , richard t. snodgrass , laura m. haas , jennifer widom",VAL -,SIGMOD Conference,1998,VAL -,influential papers,ken ross,ACM SIGMOD Record,2002,VAL -
58,0,reminiscences on influential papers sigmod record,"kaladhar voruganti, renée j. miller, kenneth a. ross, flip korn",VAL -,2002,,reminiscences on influential papers richard snodgrass acm sigmod record 1998,VAL -,ACM SIGMOD Record,1998,
59,1,"filtering with approximate predicates hector garcia-molina , narayanan shivakumar , chandra chekuri",VAL -,VLDB,VAL -,,"filtering with approximate predicates narayanan shivakumar , hector garcia-molina , chandra chekuri",VAL -,VLDB,VAL -,
60,0,sql query optimization : reordering for a general class of queries sigmod conference,"piyush goel, balakrishna r. iyer",SIGMOD Conference,1996,,probabilistic optimization of top n queries,VAL -,VLDB,VAL -,
61,1,"hierarchical compact cube for range-max queries hua-gang li , sin yeung lee , tok wang ling 2000",VAL -,VLDB,VAL -,,hierarchical compact cube for range-max queries 2000,"sin yeung lee , tok wang ling , hua-gang li",VLDB,VAL -,
62,0,index configuration in object-oriented databases,VAL -,VAL -,VAL -,VLDB Journal,opt + + : an object-oriented implementation for extensible database query optimization,"navin kabra, david j. dewitt",VLDB Journal,1999,VLDB
63,0,further improvements on integrity constraint checking for stratifiable deductive databases,VAL -,VAL -,VAL -,VAL -,implementing deductive databases by mixed integer programming,"colin bell, anil nerode, raymond t. ng, v. s. subrahmanian",acm transactions on database systems (tods),1996,VAL -
64,0,hierarchical prefix cubes for range-sum queries,"chee yong chan, yannis e. ioannidis",VAL -,VAL -,VAL -,dynamic update cube for range-sum queries,"seok-ju chun, chin-wan chung, ju-hong lee, seok-lyong lee",VLDB,2001,VLDB
65,0,hypergraph based reorderings of outer join queries with complex predicates sigmod conference 1995,"gautam bhargava, balakrishna r. iyer, piyush goel",SIGMOD Conference,VAL -,,factorizing complex predicates in queries to exploit indexes 2003,"surajit chaudhuri, prasanna ganesan, sunita sarawagi",international conference on management of data,2003,
66,0,the aditi deductive database system,VAL -,VLDB Journal,VAL -,,space optimization in deductive databases,"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",ACM Transactions on Database Systems (TODS),VAL -,
67,0,static detection of security flaws in object-oriented databases,VAL -,SIGMOD Conference,VAL -,,unisql/x unified relational and object-oriented database system,VAL -,international conference on management of data,VAL -,
68,0,strudel : a web-site management system,VAL -,SIGMOD Conference,VAL -,,using the calanda time series management system,VAL -,International Conference on Management of Data,VAL -,
69,0,tree pattern query minimization,"divesh srivastava, sungran cho, laks v. s. lakshmanan, sihem amer-yahia",VLDB Journal,2002,,efficient algorithms for minimizing tree pattern queries,VAL -,SIGMOD Conference,2002,
70,0,implementation of magic-sets in a relational database system sigmod conference,"inderpal singh mumick, hamid pirahesh",SIGMOD Conference,1994,,on efficiently implementing schemasql on an sql database system,"laks v. s. lakshmanan, fereidoon sadri, subbu n. subramanian",VLDB,1999,
71,0,"a robust , optimization-based approach for approximate answering of aggregate queries","vivek r. narasayya, gautam das, surajit chaudhuri",sigmod conference,VAL -,,the aqua approximate query answering system,VAL -,international conference on management of data,VAL -,
72,0,selectivity estimation for spatio-temporal queries to moving objects,VAL -,SIGMOD Conference,VAL -,,selectivity estimation in spatial databases,"swarup acharya, viswanath poosala, sridhar ramaswamy",SIGMOD Conference,1999,
73,0,on supporting containment queries in relational database management systems sigmod conference 2001,"guy m. lohman, david j. dewitt, qiong luo, jeffrey f. naughton, chun zhang",SIGMOD Conference,VAL -,,integrating modelling systems for environmental management information systems 1997,"david j. abel, kerry taylor, dean kun",ACM SIGMOD Record,VAL -,
74,0,vist : a dynamic index method for querying xml data by tree structures,VAL -,SIGMOD Conference,2003,,efficient index structures for string databases,VAL -,VLDB,2001,
75,0,foundations of preferences in database systems werner kießling 2002,VAL -,VLDB,VAL -,,secure buffering in firm real-time database systems 2000,"binto george, jayant r. haritsa",VLDB Journal,2000,
76,1,"towards automated performance tuning for complex workloads michael j. carey , manish mehta , miron livny , kurt p. brown",VAL -,VLDB,1994,,"towards automated performance tuning for complex workloads kurt p. brown , manish mehta , michael j. carey , miron livny",VAL -,VLDB,VAL -,
77,0,book review column karl aberer,VAL -,ACM SIGMOD Record,2003,,book reviews acm sigmod record 2002,karl aberer,ACM SIGMOD Record,2002,
78,0,"groupwise processing of relational queries kenneth a. ross , damianos chatziantoniou",VAL -,VAL -,1997,VAL -,"cache conscious algorithms for relational query processing ambuj shatdal , chander kant , jeffrey f. naughton","ambuj shatdal, chander kant, jeffrey f. naughton",VLDB,1994,VLDB
79,0,efficiently instantiating view-objects from remote relational databases,"gio wiederhold, byung suk lee",VAL -,1994,VLDB Journal,converting relational to object-oriented databases,joseph fong,ACM SIGMOD Record,VAL -,VAL -
80,0,constructing the next 100 database management systems,VAL -,SIGMOD Conference,1994,VAL -,the mariposa distributed database management system,jeff sidell,ACM SIGMOD Record,1996,VAL -
81,0,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),VAL -,SIGMOD Conference,VAL -,,report on the fourth international conference on flexible query answering systems ( fqas 2000 ),"patrick bosc, amihai motro, gabriella pasi",ACM SIGMOD Record,2001,
82,0,reminiscences on influential papers sigmod record,"kenneth a. ross, kyuseok shim, mary f. fernandez",VAL -,2002,,influential papers ken ross acm sigmod record,VAL -,ACM SIGMOD Record,2002,
83,0,"index nesting - an efficient approach to indexing in object-oriented databases jiawei han , beng chin ooi , hongjun lu , kian-lee tan",VAL -,VLDB Journal,1996,VLDB Journal,exact : an extensible approach to active object-oriented databases,"oscar d &#237; az , arturo jaime",VLDB Journal,1997,VLDB Journal
84,0,mocha : a self-extensible database middleware system for distributed data sources,VAL -,SIGMOD Conference,VAL -,,aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,"ling liu, calton pu, david buttler, wei han, henrique paques, wei tang",SIGMOD Conference,2000,
85,0,the design and implementation of a sequence database system,VAL -,VLDB,VAL -,,the aggregate data problem : a system for their definition and management,VAL -,ACM SIGMOD Record,VAL -,
86,0,approximating aggregate queries about web pages,"jittat fakcharoenphol, steve chien, ziv bar-yossef, alexander berg, dror weitz",VAL -,VAL -,,"a robust, optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri, gautam das, vivek narasayya",SIGMOD Conference,VAL -,
87,0,databases and visualization,daniel a. keim,SIGMOD Conference,1996,VAL -,delaunay : a database visualization system,"isabel f. cruz, m. averbuch, wendy t. lucas, melissa radzyminski, kirby zhang",SIGMOD Conference,1997,VAL -
88,0,closest pair queries in spatial databases 2000,"yannis theodoridis, yannis manolopoulos, antonio corral, michael vassilakopoulos",sigmod conference,VAL -,,"location-based spatial queries jun zhang , manli zhu , dimitris papadias , yufei tao , dik lun lee 2003",VAL -,international conference on management of data,VAL -,
89,0,materialized view selection and maintenance using multi-query optimization sigmod conference 2001,"krithi ramamritham, hoshi mistry, prasan roy, s. sudarshan",SIGMOD Conference,2001,,outerjoin simplification and reordering for query optimization acm transactions on database systems (tods),"c &#233; sar galindo-legaria, arnon rosenthal",ACM Transactions on Database Systems (TODS),1997,
90,0,adaptive algorithms for set containment joins acm trans . database syst .,"hector garcia-molina, sergey melnik",VAL -,2003,,"1-safe algorithms for symmetric site configurations rune humborstad , maitrayi sabaratnam , svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen 1997",VAL -,VLDB,VAL -,
91,0,book review column,karl aberer,ACM SIGMOD Record,2002,VAL -,book reviews acm sigmod record,VAL -,ACM SIGMOD Record,2003,VAL -
92,0,binding propagation in disjunctive databases,sergio greco,VAL -,VAL -,,tail recursion elimination in deductive databases,kenneth a. ross,ACM SIGMOD Record,1996,
93,0,krdb '98 : the 5th international workshop on knowledge representation meets databases 1998,"alexander borgida, martin staudt, vinay k. chaudhri",ACM SIGMOD Record,VAL -,,report on first international workshop on real-time database systems,VAL -,ACM SIGMOD Record,1996,
94,0,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"xiaoyang sean wang, changzhou wang",VAL -,2001,VLDB Journal,parallel algorithms for high-dimensional similarity joins for data mining applications,"john c. shafer, rakesh agrawal",VLDB,1997,VLDB
95,0,towards on-line analytical mining in large databases,VAL -,SIGMOD Conference,VAL -,,turbo-charging vertical mining of large databases,"pradeep shenoy, jayant r. haritsa, s. sundarshan, gaurav bhalotia, mayank bawa, devavrat shah",International Conference on Management of Data,VAL -,
96,0,dwms : data warehouse management system narendra mohan,VAL -,VLDB,1996,,the araneus web-based management system international conference on management of data 1998,"g. mecca, p. atzeni, a. masci, g. sindoni, p. merialdo",SIGMOD Conference,1998,
97,0,editorial richard t. snodgrass 2001,VAL -,ACM Trans. Database Syst.,VAL -,,"guest editorial amr el abbadi , gunter schlageter , kyu-young whang",VAL -,VLDB Journal,2001,
98,0,tracing the lineage of view data in a warehousing environment acm trans . database syst .,"janet l. wiener, yingwei cui, jennifer widom",VAL -,VAL -,,lineage tracing for general data warehouse transformations,"y. cui, j. widom",VLDB Journal,2003,
99,0,influence sets based on reverse nearest neighbor queries,"s. muthukrishnan, flip korn",SIGMOD Conference,2000,VAL -,"nearest neighbor queries nick roussopoulos , stephen kelley , frédéric vincent international conference on management of data 1995",VAL -,SIGMOD Conference,VAL -,VAL -
100,0,repositories and object oriented databases philip a. bernstein,VAL -,SIGMOD Conference,1998,VAL -,"metu object-oriented dbms asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin","asuman dogac, budak arpinar, cem evrendilek, cetin ozkan, ilker altintas, ilker durusoy, mehmet altinel, tansel okay, yuksel saygin",SIGMOD Conference,1994,VAL -
101,0,"groupwise processing of relational queries kenneth a. ross , damianos chatziantoniou",VAL -,SIGMOD Conference,1997,VAL -,congressional samples for approximate answering of group-by queries,"swarup acharya, phillip b. gibbons, viswanath poosala",SIGMOD Conference,2000,VAL -
102,0,optimizing multi-feature queries for image databases,"ulrich güntzer, werner kießling, wolf-tilo balke",VAL -,VAL -,,optimizing queries over multimedia repositories,"surajit chaudhuri, luis gravano",SIGMOD Conference,1996,
103,0,static detection of security flaws in object-oriented databases,VAL -,SIGMOD Conference,VAL -,VAL -,description logics for semantic query optimization in object-oriented database systems,VAL -,ACM SIGMOD Record,2003,VAL -
104,0,the lyric language : querying constraint objects 1995,"alexander brodsky, yoram kornatzky",SIGMOD Conference,VAL -,,themis : a database programming language handling integrity constraints,VAL -,VLDB Journal,VAL -,
105,1,actiview : adaptive data presentation using supersql vldb,"motomichi toyama, yoko maeda",VAL -,2001,,actiview : adaptive data presentation using supersql,VAL -,VLDB,2001,
106,0,distance-based indexing for high-dimensional metric spaces sigmod conference,"z. meral özsoyoglu, tolga bozkaya",VAL -,1997,,the x-tree : an index structure for high-dimensional data,"stefan berchtold, daniel a. keim, hans-peter kriegel",VLDB,1996,
107,0,efficiently instantiating view-objects from remote relational databases,"gio wiederhold, byung suk lee",VAL -,1994,,efficiently publishing relational data as xml documents,"jayavel shanmugasundaram, eugene j. shekita, rimon barr, michael j. carey, bruce g. lindsay, hamid pirahesh, berthold reinwald",VLDB,2000,
108,1,dbsim : a simulation tool for predicting database performance,"craig wong, mark stokrp, mike lefler",SIGMOD Conference,1996,VAL -,dbsim : a simulation tool for predicting database performance,"mark lefler, mark stokrp, craig wong",SIGMOD Conference,1996,VAL -
109,0,report on the 8th international workshop on knowledge representation meets databases (krdb) 2001,"dan suciu, maurizio lenzerini, daniele nardi, werner nutt",ACM SIGMOD Record,VAL -,,report on ngits '99 : the fourth international workshop on next generation information technologies and systems,VAL -,VAL -,VAL -,
110,0,on supporting containment queries in relational database management systems sigmod conference 2001,"guy m. lohman, david j. dewitt, qiong luo, jeffrey f. naughton, chun zhang",SIGMOD Conference,2001,,"querying multiple features of groups in relational databases damianos chatziantoniou , kenneth a. ross 1996",VAL -,VLDB,1996,
111,0,efficient schemes for managing multiversionxml documents,"shu-yao chien, carlo zaniolo, vassilis j. tsotras",VAL -,2002,,efficient filtering of xml documents for selective dissemination of information,"mehmet altinel, michael j. franklin",VLDB,VAL -,
112,0,data extraction and transformation for the data warehouse,VAL -,SIGMOD Conference,1995,,data warehouse configuration,"dimitri theodoratos, timos k. sellis",VLDB,VAL -,
113,0,weaving relations for cache performance vldb,"mark d. hill, anastassia ailamaki, david j. dewitt, marios skounakis",VAL -,2001,,dbsim : a simulation tool for predicting database performance international conference on management of data 1996,"mark lefler, mark stokrp, craig wong",SIGMOD Conference,VAL -,
114,0,trex : dtd-conforming xml to xml transformations,VAL -,SIGMOD Conference,2003,VAL -,composing xsl transformations with xml publishing views,"chengkai li, philip bohannon, p. p. s. narayan",International Conference on Management of Data,2003,VAL -
115,0,reminiscences on influential papers sigmod record,"kenneth a. ross, kyuseok shim, mary f. fernandez",VAL -,2002,,reminiscences in influential papers,richard snodgrass,ACM SIGMOD Record,VAL -,
116,0,"watermarking relational data : framework , algorithms and analysis","peter j. haas, rakesh agrawal, jerry kiernan",VAL -,2003,VLDB Journal,a system for watermarking relational databases,"rakesh agrawal, peter j. haas, jerry kiernan",SIGMOD Conference,2003,VAL -
117,0,report on the fourth international conference on flexible query answering systems,"gabriella pasi, amihai motro, patrick bosc",ACM SIGMOD Record,2001,VAL -,report on fqas 2002 : fifth international conference on flexible query answering systems,"amihai motro, troels andreasen",ACM SIGMOD Record,VAL -,VAL -
118,1,why decision support fails and how to fix it sigmod record 1995,"kevin strehlo , ralph kimball",VAL -,VAL -,,"why decision support fails and how to fix it ralph kimball , kevin strehlo","ralph kimball , kevin strehlo",acm sigmod record,1995,
119,0,data extraction and transformation for the data warehouse,VAL -,SIGMOD Conference,1995,,data warehousing and olap for decision support,VAL -,international conference on management of data,VAL -,
120,0,workshop report : the first international workshop on active and real-time database systems ( artdb-95 ),VAL -,SIGMOD Conference,VAL -,VAL -,report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems,VAL -,ACM SIGMOD Record,1999,VAL -
121,0,reminiscences on influential papers sigmod record,"kaladhar voruganti, renée j. miller, kenneth a. ross, flip korn",VAL -,2002,,influential papers,ken ross,acm sigmod record,2002,
122,0,discover : keyword search in relational databases 2002,"vagelis hristidis, yannis papakonstantinou",VLDB,VAL -,,"data page layouts for relational databases on deep memory hierarchies anastassia ailamaki, david j. dewitt, mark d. hill",VAL -,VLDB Journal,VAL -,
123,0,constructing the next 100 database management systems,VAL -,SIGMOD Conference,1994,,data grid management systems 2003,"arun jagatheesan, arcot rajasekar",SIGMOD Conference,VAL -,
124,1,"views in a large-scale xml repository vincent aguilera , dan vodislav , pierangelo veltri , sophie cluet , tova milo 2002",VAL -,VLDB Journal,VAL -,,"views in a large-scale xml repository vincent aguilera , sophie cluet , tova milo , pierangelo veltri , dan vodislav",VAL -,VLDB Journal,2002,
125,1,automata theory for xml researchers sigmod record,frank neven,VAL -,2002,,automata theory for xml researchers frank neven 2002,VAL -,ACM SIGMOD Record,2002,
126,0,infomaster : an information integration system,VAL -,SIGMOD Conference,1997,VAL -,environmental information systems,VAL -,ACM SIGMOD Record,1997,VAL -
127,0,implementation of two semantic query optimization techniques in db2 universal database,"k. bernhard schiefer, fred koo, t. y. cliff leung, linqi liu, jarek gryz, xiaoyan qian, qi cheng",VLDB,1999,,"investigation of algebraic query optimisation techniques for database programming languages alexandra poulovassilis , carol small",VAL -,VAL -,VAL -,
128,0,"reminiscences on influential papers theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross",VAL -,SIGMOD Conference,VAL -,,reminiscences on influential papers,kenneth a. ross,ACM SIGMOD Record,2003,
