id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
10,0,Query Unnesting in Object-Oriented Databases,Leonidas Fegaras,SIGMOD Conference,1998,"Calibrating the Query Optimizer Cost Model of Iro-DB, an Object-Oriented Federated Database System","Georges Gardarin, Fei Sha, Zhao-Hui Tang",VLDB,1996
11,1,Data Management for Pervasive Computing,"Mitch Cherniack, Stanley B. Zdonik, Michael J. Franklin",VLDB,2001,Data Management for Pervasive Computing,VAL -,VLDB,VAL -
12,0,Secure Transaction Processing in Firm Real-Time Database Systems,"Binto George, Jayant R. Haritsa",SIGMOD Conference,1997,Databases and Transaction Processing: An Application-Oriented Approach,"Philip M. Lewis, Arthur Bernstein, Michael Kifer",ACM SIGMOD Record,2002
13,0,Declarative Updates of Relational Databases,Weidong Chen,TODS,1995,Enhanced Abstract Data Types in Object-Relational Databases,Praveen Seshadri,VLDB Journal,1998
14,1,A Taxonomy for Secure Object-Oriented Databases,"Sebastiaan H. von Solms, Martin S. Olivier",TODS,1994,A Taxonomy for Secure Object-Oriented Databases,"Martin S. Olivier, Sebastiaan H. von Solms",ACM Transactions on Database Systems (TODS),1994
15,0,What Is the Data Warehousing Problem?,"Inderpal Singh Mumick, Ashish Gupta",VLDB Journal,1996,Algorithms for Materialized View Design in Data Warehousing Environment,"Jian Yang, Kamalakar Karlapalem, Qing Li",VLDB,1997
16,1,"Enterprise Objects Framework, A Second Generation Object-Relational Enabler",Charly Kleissner,SIGMOD Conference,1995,Enterprise Objects Framework: A Second Generation Object-Relational Enabler,Charly Kleissner,International Conference on Management of Data,1995
17,0,Effective Timestamping in Databases,"Christian S. Jensen, Kristian Torp, Richard T. Snodgrass",VLDB Journal,2000,Priority Assignment in Real-Time Active Databases,"Rajendran M. Sivasankaran, John A. Stankovic, Don Towsley, Bhaskar Purimetla, Krithi Ramamritham",VLDB Journal -- The International Journal on Very Large Data Bases,1996
18,0,Lambda-DB : An ODMG-Based Object-Oriented DBMS,"Arvind Rajendran, David Maier, Leonidas Fegaras, Chandrasekhar Srinivasan",SIGMOD Conference,2000,ODMG-93 : A Standard for Object-Oriented DBMSS,R. G. G. Cattell,International Conference on Management of Data,1994
19,1,Compressing SQL Workloads,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek R. Narasayya",SIGMOD Conference,2002,Compressing SQL Workloads,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek Narasayya",International Conference on Management of Data,2002
20,0,The Algres Testbed of Chimera: An Active Object-Oriented Database System,"Giuseppe Psaila, Stefano Ceri, Stefano Paraboschi, Piero Fraternali",SIGMOD Conference,1995,The Trigs Active Object-Oriented Database System - An Overview,"G. Kappel, W. Retschitzegger",ACM SIGMOD Record,1998
21,1,On Wrapping Query Languages and Efficient XML Integration,"Jérôme Siméon, Vassilis Christophides, Sophie Cluet",SIGMOD Conference,2000,On Wrapping Query Languages and Efficient XML Integration,VAL -,International Conference on Management of Data,VAL -
22,0,Document Management as a Database Problem,Rudolf Bayer,VLDB,1995,Is Web-Site Management a Database Problem?,"Daniela Florescu, Alon Y. Levy, Dan Suciu",VLDB,1998
23,0,Index Nesting - An Efficient Approach to Indexing in Object-Oriented Databases,"Jiawei Han, Beng Chin Ooi, Hongjun Lu, Kian-Lee Tan",VLDB Journal,1996,Converting Relational to Object-Oriented Databases,Joseph Fong,ACM SIGMOD Record,VAL -
24,1,Controlling Data Warehouses with Knowledge Networks,"Jan-Dirk Becker, Matthias Jarke, Andreas Boehmer, Elvira Schaefer",VLDB,2000,Controlling Data Warehouses with Knowledge Networks Very Large Data Bases 2000,"Elvira Schaefer, Jan-Dirk Becker, Andreas Boehmer, Matthias Jarke",VAL -,VAL -
25,0,Temporal Database System Implementations,Michael H. Böhlen,ACM SIGMOD Record,1995,Temporal Conditions and Integrity Constraints in Active Database Systems,"A. Prasad Sistla, Ouri Wolfson",International Conference on Management of Data (SIGMOD),1995
26,1,ANSI SQL Hierarchical Processing Can Fully Integrate Native XML,Michael M. David,ACM SIGMOD Record,2003,ANSI SQL Hierarchical Processing Can Fully Integrate Native XML,Michael M. David,ACM SIGMOD Record,VAL -
27,1,Warping Indexes with Envelope Transforms for Query by Humming,"Dennis Shasha, Yunyue Zhu",SIGMOD Conference,2003,Warping Indexes with Envelope Transforms for Query by Humming,"Yunyue Zhu, Dennis Shasha",International Conference on Management of Data,2003
28,0,Reminiscences on Influential Papers,"Theodore Johnson, Amr El Abbadi, Richard T. Snodgrass, Kenneth A. Ross",ACM SIGMOD Record,2002,Influential Papers,Ken Ross,ACM SIGMOD Record,2002
29,0,Database Research at UT Arlington SIGMOD Record,"Sharma Chakravarthy, Y. Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, Jung-Hwan Oh",ACM SIGMOD Record,VAL -,Database Research at Arizona State University,"Susan D. Urban, Suzanne W. Dietrich, Forouzan Golshani",ACM SIGMOD Record,1996
30,0,Lore: A Database Management System for Semistructured Data,"Roy Goldman, Serge Abiteboul, Jennifer Widom, Dallan Quass, Jason McHugh",ACM SIGMOD Record,1997,DWMS : Data Warehouse Management System,VAL -,VLDB,VAL -
31,0,Discover: Keyword Search in Relational Databases,"Vagelis Hristidis, Yannis Papakonstantinou",VLDB,2002,Converting Relational to Object-Oriented Databases,Joseph Fong,ACM SIGMOD Record,1997
32,0,Incremental Computation and Maintenance of Temporal Aggregates,"Jun Yang, Jennifer Widom",VLDB Journal,2003,Incremental Maintenance of Recursive Views Using Relational Calculus/SQL,"Guozhu Dong, Jianwen Su",ACM SIGMOD Record,2000
33,0,Procedures in Object-Oriented Query Languages,"Kazimierz Subieta, Jacek Leszczylowski, Yahiko Kambayashi",VLDB,1995,An Effective Deductive Object-Oriented Database through Language Integration,"Maria L. Barja, Norman W. Paton, Alvaro A. A. Fernandes, M. Howard Williams, Andrew Dinn",VLDB,1994
34,1,Opossum: Desk-top Schema Management through Customizable Visualization,"Miron Livny, Eben M. Haber, Yannis E. Ioannidis",VLDB Journal,1995,Opossum: Desk-top Schema Management through Customizable Visualization,"Eben M. Haber, Yannis E. Ioannidis, Miron Livny",VLDB,1995
35,0,DMS : A Parallel Data Mining Server,Felicity A. W. George,VLDB,1998,Scalable Parallel Data Mining for Association Rules,"Eui-Hong Han, George Karypis, Vipin Kumar",SIGMOD Conference,1997
36,1,Naos - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,"Thierry Coupaye, T. Svesnen, Christine Collet",VLDB,1994,Naos - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,"Christine Collet, Thierry Coupaye, T. Svesnen",VLDB,VAL -
37,0,User-Adaptive Exploration of Multidimensional Data,Sunita Sarawagi,VLDB,2000,A Foundation for Multi-Dimensional Databases,"Marc Gyssens, Laks V. S. Lakshmanan",VLDB,1997
38,1,"A Query Language for Multidimensional Arrays: Design, Implementation, and Optimization Techniques","Limsoon Wong, Rona Machlin, Leonid Libkin",SIGMOD Conference,1996,"A Query Language for Multidimensional Arrays: Design, Implementation, and Optimization Techniques","Leonid Libkin, Rona Machlin, Limsoon Wong",International Conference on Management of Data,VAL -
39,1,Comprehension Syntax,"Limsoon Wong, Dan Suciñu, Val Tannen, Peter Buneman, Leonid Libkin",ACM SIGMOD Record,1994,Comprehension Syntax,"Peter Buneman, Leonid Libkin, Dan Suciñu, Val Tannen, Limsoon Wong",ACM SIGMOD Record,1994
40,0,Buffering Accesses to Memory-Resident Index Structures,"Jingren Zhou, Kenneth A. Ross",VLDB,2003,Efficient Index Structures for String Databases,VAL -,VLDB,VAL -
41,0,Secure Transaction Processing in Firm Real-Time Database Systems,"Binto George, Jayant R. Haritsa",SIGMOD Conference,1997,Revisiting Commit Processing in Distributed Database Systems,"Ramesh Gupta, Jayant Haritsa, Krithi Ramamritham",International Conference on Management of Data,VAL -
42,0,Semint: A System Prototype for Semantic Integration in Heterogeneous Databases,"Wen-Syan Li, Chris Clifton",SIGMOD Conference,1995,A Scalable Architecture for Autonomous Heterogeneous Database Interactions,"Steven Milliner, Athman Bouguettaya, Mike P. Papazoglou",VLDB,1995
43,0,Mining System Audit Data: Opportunities and Challenges,"Wei Fan, Wenke Lee",ACM SIGMOD Record,2001,Amicalola Report: Database and Information Systems Research Challenges and Opportunities in Semantic Web and Enterprises,"Amit Sheth, Robert Meersman",ACM SIGMOD Record,2002
44,0,Sit-in: A Real-Life Spatio-Temporal Information System,"Stefano De Francisci, Rossella Molinaro, Oritta Gargano, Mario Paolucci, Leonardo Tininini, Giuseppe Sindoni, Paola Patteri, Amadea Ambrosetti, Pina Ticca, Cristina Bedeschi",VLDB,2001,Environmental Information Systems,Oliver G. Nüther (ACM SIGMOD Record),ACM SIGMOD Record,1997
45,0,Partial Results for Online Query Processing,"Joseph M. Hellerstein, Vijayshankar Raman",SIGMOD Conference,2002,Sequence Query Processing,"Praveen Seshadri, Miron Livny, Raghu Ramakrishnan",International Conference on Management of Data,1994
46,1,Beyond Market Baskets : Generalizing Association Rules to Correlations,"Rajeev Motwani, Sergey Brin, Craig Silverstein",SIGMOD Conference,1997,Beyond Market Baskets : Generalizing Association Rules to Correlations International Conference on Management of Data,"Sergey Brin, Rajeev Motwani, Craig Silverstein",VAL -,1997
47,0,Tracing the Lineage of View Data in a Warehousing Environment,"Janet L. Wiener, Yingwei Cui, Jennifer Widom",TODS,2000,Lineage Tracing for General Data Warehouse Transformations,VAL -,VLDB,2001
48,0,Editorial VLDB J.,"Peter M. G. Apers, Stefano Ceri, Richard T. Snodgrass",VLDB Journal,2002,Editorial,Richard Snodgrass,TODS,2001
49,0,Mining Fuzzy Association Rules in Databases,"Ada Wai-Chee Fu, Man Hon Wong, Chan Man Kuok",ACM SIGMOD Record,1998,A New SQL-Like Operator for Mining Association Rules,"Rosa Meo, Giuseppe Psaila, Stefano Ceri",VLDB,1996
50,0,Query Optimization in the Presence of Limited Access Patterns,"Dan Suciñu, Ioana Manolescu, Daniela Florescu, Alon Y. Levy",SIGMOD Conference,1999,Minimization of Tree Pattern Queries,"Sihem Amer-Yahia, Sungran Cho, Laks V. S. Lakshmanan, Divesh Srivastava",International Conference on Management of Data,VAL -
51,0,Query Optimization for Selections Using Bitmaps,Ming-Chuan Wu,SIGMOD Conference,1999,Query Optimization in Compressed Database Systems,"Zhiyuan Chen, Johannes Gehrke, Flip Korn",International Conference on Management of Data,2001
52,0,Reminiscences on Influential Papers,"Christos H. Papadimitriou, Anant Jhingran, Yannis E. Ioannidis, Kenneth A. Ross",ACM SIGMOD Record,2000,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2003
53,1,User-Defined Table Operators: Enhancing Extensibility for ORDBMS,"Bernhard Mitschang, Michael Jaedicke",VLDB,1999,User-Defined Table Operators: Enhancing Extensibility for ORDBMS,"Michael Jaedicke, Bernhard Mitschang",VLDB,1999
54,0,Distance Browsing in Spatial Databases,"Hanan Samet, Gísli R. Hjaltason",TODS,1999,Selectivity Estimation in Spatial Databases,"Swarup Acharya, Viswanath Poosala, Sridhar Ramaswamy",SIGMOD Conference,1999
55,0,Answering XML Queries on Heterogeneous Data Sources,"Ioana Manolescu, Donald Kossmann, Daniela Florescu",VLDB,2001,Describing and Using Query Capabilities of Heterogeneous Sources,"Vasilis Vassalos, Yannis Papakonstantinou",VLDB,1997
56,0,Index Configuration in Object-Oriented Databases,Elisa Bertino,VLDB Journal,1994,A Cost Model for Clustered Object-Oriented Databases,"Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang",VLDB,1995
57,0,Reminiscences on Influential Papers,"Z. Meral Özsoyoglu, Philip S. Yu, Nick Roussopoulos, Krithi Ramamritham, Alberto O. Mendelzon, Richard T. Snodgrass, Laura M. Haas, Jennifer Widom, Jan Paredaens",ACM SIGMOD Record,1998,Influential Papers,Ken Ross,ACM SIGMOD Record,2002
58,0,Reminiscences on Influential Papers,"Kaladhar Voruganti, Renée J. Miller, Kenneth A. Ross, Flip Korn",ACM SIGMOD Record,2002,Reminiscences on Influential Papers Richard Snodgrass ACM SIGMOD Record 1998,VAL -,VAL -,VAL -
59,1,Filtering with Approximate Predicates,"Hector Garcia-Molina, Narayanan Shivakumar, Chandra Chekuri",VLDB,1998,Filtering with Approximate Predicates,"Narayanan Shivakumar, Hector Garcia-Molina, Chandra Chekuri",VLDB,1998
60,0,SQL Query Optimization: Reordering for a General Class of Queries,"Piyush Goel, Balakrishna R. Iyer",SIGMOD Conference,1996,Probabilistic Optimization of Top N Queries,"Donko Donjerkovic, Raghu Ramakrishnan",VLDB,VAL -
61,1,Hierarchical Compact Cube for Range-Max Queries,"Hua-Gang Li, Sin Yeung Lee, Tok Wang Ling",VLDB,2000,Hierarchical Compact Cube for Range-Max Queries,"Sin Yeung Lee, Tok Wang Ling, Hua-Gang Li",VLDB,2000
62,0,Index Configuration in Object-Oriented Databases,Elisa Bertino,VLDB Journal,1994,Opt + + : An Object-Oriented Implementation for Extensible Database Query Optimization,"Navin Kabra, David J. Dewitt",VLDB Journal,1999
63,0,Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases,"Sin Yeung Lee, Tok Wang Ling",VLDB Journal,1996,Implementing Deductive Databases by Mixed Integer Programming,"Colin Bell, Anil Nerode, Raymond T. Ng, V. S. Subrahmanian",TODS,1996
64,0,Hierarchical Prefix Cubes for Range-Sum Queries,"Chee Yong Chan, Yannis E. Ioannidis",VLDB,1999,Dynamic Update Cube for Range-Sum Queries,"Seok-Ju Chun, Chin-Wan Chung, Ju-Hong Lee, Seok-Lyong Lee",VLDB,2001
65,0,Hypergraph Based Reorderings of Outer Join Queries with Complex Predicates,"Gautam Bhargava, Balakrishna R. Iyer, Piyush Goel",SIGMOD Conference,1995,Factorizing Complex Predicates in Queries to Exploit Indexes,"Surajit Chaudhuri, Prasanna Ganesan, Sunita Sarawagi",International Conference on Management of Data,2003
66,0,The Aditi Deductive Database System,"Kotagiri Ramamohanarao, David B. Kemp, Jayen Vaghani, Tim S. Leask, James Harland, Peter J. Stuckey, Zoltan Somogyi",VLDB Journal,1994,Space Optimization in Deductive Databases,"Divesh Srivastava, S. Sudarshan, Raghu Ramakrishnan, Jeffrey F. Naughton",TODS,1995
67,0,Static Detection of Security Flaws in Object-Oriented Databases,VAL -,SIGMOD Conference,1996,Unisql/X Unified Relational and Object-Oriented Database System,Won Kim,International Conference on Management of Data,1994
68,0,Strudel: A Web-Site Management System,"Alon Y. Levy, Mary F. Fernandez, Jaewoo Kang, Daniela Florescu, Dan Suciu",SIGMOD Conference,1997,Using the Calanda Time Series Management System,"Werner Dreyer, Angelika Kotz Dittrich, Duri Schmidt",International Conference on Management of Data,1995
69,0,Tree Pattern Query Minimization,"Divesh Srivastava, Sungran Cho, Laks V. S. Lakshmanan, Sihem Amer-Yahia",VLDB Journal,2002,Efficient Algorithms for Minimizing Tree Pattern Queries,VAL -,SIGMOD Conference,VAL -
70,0,Implementation of Magic-Sets in a Relational Database System,"Inderpal Singh Mumick, Hamid Pirahesh",SIGMOD Conference,1994,On Efficiently Implementing SchemaSQL on an SQL Database System,"Laks V. S. Lakshmanan, Fereidoon Sadri, Subbu N. Subramanian",VLDB,1999
71,0,"A Robust , Optimization-Based Approach for Approximate Answering of Aggregate Queries","Vivek R. Narasayya, Gautam Das, Surajit Chaudhuri",SIGMOD Conference,2001,The Aqua Approximate Query Answering System,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999
72,0,Selectivity Estimation for Spatio-Temporal Queries to Moving Objects,"Yong-Jin Choi, Chin-Wan Chung",SIGMOD Conference,2002,Selectivity Estimation in Spatial Databases,"Swarup Acharya, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999
73,0,On Supporting Containment Queries in Relational Database Management Systems,"Guy M. Lohman, David J. Dewitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang",SIGMOD Conference,2001,Integrating Modelling Systems for Environmental Management Information Systems,"David J. Abel, Kerry Taylor, Dean Kun",ACM SIGMOD Record,1997
74,0,VIST: A Dynamic Index Method for Querying XML Data by Tree Structures,"Wei Fan, Sanghyun Park, Philip S. Yu, Haixun Wang",SIGMOD Conference,2003,Efficient Index Structures for String Databases,"Tamer Kahveci, Ambuj K. Singh",VLDB,2001
75,0,Foundations of Preferences in Database Systems,Werner Kießling,VLDB Journal,2002,Secure Buffering in Firm Real-Time Database Systems,"Binto George, Jayant R. Haritsa",VLDB Journal,2000
76,1,Towards Automated Performance Tuning for Complex Workloads,"Michael J. Carey, Manish Mehta, Miron Livny, Kurt P. Brown",VLDB,1994,Towards Automated Performance Tuning for Complex Workloads,"Kurt P. Brown, Manish Mehta, Michael J. Carey, Miron Livny",VLDB,VAL -
77,0,Book Review Column,Karl Aberer,ACM SIGMOD Record,2003,Book Reviews ACM SIGMOD Record 2002,Karl Aberer,VAL -,VAL -
78,0,Groupwise Processing of Relational Queries,"Kenneth A. Ross, Damianos Chatziantoniou",VLDB,1997,Cache Conscious Algorithms for Relational Query Processing,"Ambuj Shatdal, Chander Kant, Jeffrey F. Naughton",VLDB,1994
79,0,Efficiently Instantiating View-Objects from Remote Relational Databases,"Gio Wiederhold, Byung Suk Lee",VLDB Journal,1994,Converting Relational to Object-Oriented Databases,Joseph Fong,ACM SIGMOD Record,VAL -
80,0,Constructing the Next 100 Database Management Systems,"Andreas Geppert, Klaus R. Dittrich",ACM SIGMOD Record,1994,The Mariposa Distributed Database Management System,Jeff Sidell,ACM SIGMOD Record,1996
81,0,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),Joachim Hammer,ACM SIGMOD Record,VAL -,Report on the Fourth International Conference on Flexible Query Answering Systems (FQAS 2000),"Patrick Bosc, Amihai Motro, Gabriella Pasi",ACM SIGMOD Record,2001
82,0,Reminiscences on Influential Papers,"Kenneth A. Ross, Kyuseok Shim, Mary F. Fernandez",ACM SIGMOD Record,2002,Influential Papers Ken Ross ACM SIGMOD Record,VAL -,VAL -,2002
83,0,Index Nesting - An Efficient Approach to Indexing in Object-Oriented Databases,"Jiawei Han, Beng Chin Ooi, Hongjun Lu, Kian-Lee Tan",VLDB Journal,1996,Exact: An Extensible Approach to Active Object-Oriented Databases,"Oscar D. íáz, Arturo Jaime",VLDB Journal,1997
84,0,Mocha: A Self-Extensible Database Middleware System for Distributed Data Sources,"Manuel Rodriguez-Martinez, Nick Roussopoulos",SIGMOD Conference,2000,AQR-Toolkit: An Adaptive Query Routing Middleware for Distributed Data Intensive Systems,"Ling Liu, Calton Pu, David Buttler, Wei Han, Henrique Paques, Wei Tang",International Conference on Management of Data,2000
85,0,The Design and Implementation of a Sequence Database System,"Raghu Ramakrishnan, Miron Livny, Praveen Seshadri",VLDB,1996,The Aggregate Data Problem: A System for Their Definition and Management,"M. Rafanelli, A. Bezenchek, L. Tininini",ACM SIGMOD Record,1996
86,0,Approximating Aggregate Queries about Web Pages via Random Walks,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",VLDB,2000,"A Robust, Optimization-Based Approach for Approximate Answering of Aggregate Queries","Surajit Chaudhuri, Gautam Das, Vivek Narasayya",SIGMOD Conference,2001
87,0,Databases and Visualization,Daniel A. Keim,SIGMOD Conference,1996,Delaunay: A Database Visualization System,"Isabel F. Cruz, M. Averbuch, Wendy T. Lucas, Melissa Radzyminski, Kirby Zhang",International Conference on Management of Data,1997
88,0,Closest Pair Queries in Spatial Databases,"Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos",SIGMOD Conference,2000,Location-Based Spatial Queries,"Jun Zhang, Manli Zhu, Dimitris Papadias, Yufei Tao, Dik Lun Lee",International Conference on Management of Data,2003
89,0,Materialized View Selection and Maintenance Using Multi-Query Optimization,"Krithi Ramamritham, Hoshi Mistry, Prasan Roy, S. Sudarshan",SIGMOD Conference,2001,Outerjoin Simplification and Reordering for Query Optimization,"César Galindo-Legaria, Arnon Rosenthal",TODS,1997
90,0,Adaptive Algorithms for Set Containment Joins,"Hector Garcia-Molina, Sergey Melnik",TODS,2003,1-Safe Algorithms for Symmetric Site Configurations,"Rune Humborstad, Maitrayi Sabaratnam, Svein-Olaf Hvasshovd, Øystein Torbjørnsen",VLDB,VAL -
91,0,Book Review Column,Karl Aberer,ACM SIGMOD Record,2002,Book Reviews ACM SIGMOD Record,VAL -,VAL -,2003
92,0,Binding Propagation in Disjunctive Databases,Sergio Greco,VLDB,1998,Tail Recursion Elimination in Deductive Databases,Kenneth A. Ross,TODS,1996
93,0,KRDB '98: The 5th International Workshop on Knowledge Representation Meets Databases,"Alexander Borgida, Martin Staudt, Vinay K. Chaudhri",ACM SIGMOD Record,1998,Report on First International Workshop on Real-Time Database Systems,"Azer Bestavros, Kwei-Jay Lin, Sang Son",ACM SIGMOD Record,1996
94,0,Indexing Very High-Dimensional Sparse and Quasi-Sparse Vectors for Similarity Searches,"Xiaoyang Sean Wang, Changzhou Wang",VLDB Journal,2001,Parallel Algorithms for High-Dimensional Similarity Joins for Data Mining Applications,"John C. Shafer, Rakesh Agrawal",VLDB,VAL -
95,0,Towards On-Line Analytical Mining in Large Databases,Jiawei Han,ACM SIGMOD Record,1998,Turbo-Charging Vertical Mining of Large Databases,"Pradeep Shenoy, Jayant R. Haritsa, S. Sundarshan, Gaurav Bhalotia, Mayank Bawa, Devavrat Shah",International Conference on Management of Data,2000
96,0,DWMS : Data Warehouse Management System,Narendra Mohan,VLDB,1996,The Araneus Web-Based Management System,"G. Mecca, P. Atzeni, A. Masci, G. Sindoni, P. Merialdo",SIGMOD Conference,VAL -
97,0,Editorial,VAL -,ACM Trans. Database Syst.,2001,Guest Editorial,"Amr El Abbadi, Gunter Schlageter, Kyu-Young Whang",VLDB Journal,2001
98,0,Tracing the Lineage of View Data in a Warehousing Environment,"Janet L. Wiener, Yingwei Cui, Jennifer Widom",TODS,2000,Lineage Tracing for General Data Warehouse Transformations,"Y. Cui, J. Widom",VLDB Journal,2003
99,0,Influence Sets Based on Reverse Nearest Neighbor Queries,"S. Muthukrishnan, Flip Korn",SIGMOD Conference,2000,Nearest Neighbor Queries,"Nick Roussopoulos, Stephen Kelley, Frédéric Vincent",International Conference on Management of Data,VAL -
100,0,Repositories and Object Oriented Databases,Philip A. Bernstein,ACM SIGMOD Record,1998,"METU Object-Oriented DBMS Asuman Dogac , Budak Arpinar , Cem Evrendilek , Cetin Ozkan , Ilker Altintas , Ilker Durusoy , Mehmet Altinel , Tansel Okay , Yuksel Saygin",VAL -,International Conference on Management of Data,1994
101,0,Groupwise Processing of Relational Queries,"Kenneth A. Ross, Damianos Chatziantoniou",VLDB,1997,Congressional Samples for Approximate Answering of Group-By Queries,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",SIGMOD Conference,2000
102,0,Optimizing Multi-Feature Queries for Image Databases,"Ulrich Güntzer, Werner Kießling, Wolf-Tilo Balke",VLDB,2000,Optimizing Queries over Multimedia Repositories,"Surajit Chaudhuri, Luis Gravano",SIGMOD Conference,1996
103,0,Static Detection of Security Flaws in Object-Oriented Databases,VAL -,SIGMOD Conference,1996,Description Logics for Semantic Query Optimization in Object-Oriented Database Systems,"Domenico Beneventano, Sonia Bergamaschi, Claudio Sartori",TODS,2003
104,0,The Lyric Language: Querying Constraint Objects,"Alexander Brodsky, Yoram Kornatzky",SIGMOD Conference,1995,Themis: A Database Programming Language Handling Integrity Constraints,"Véronique Benzaken, Anne Doucet",VLDB Journal,1995
105,1,Actiview: Adaptive Data Presentation Using Supersql,"Motomichi Toyama, Yoko Maeda",VLDB,2001,Actiview: Adaptive Data Presentation Using Supersql,"Yoko Maeda, Motomichi Toyama",VLDB,2001
106,0,Distance-Based Indexing for High-Dimensional Metric Spaces,"Z. Meral Özsoyoglu, Tolga Bozkaya",SIGMOD Conference,1997,The X-Tree: An Index Structure for High-Dimensional Data,"Stefan Berchtold, Daniel A. Keim, Hans-Peter Kriegel",VLDB,1996
107,0,Efficiently Instantiating View-Objects from Remote Relational Databases,"Gio Wiederhold, Byung Suk Lee",VLDB Journal,1994,Efficiently Publishing Relational Data as XML Documents,"Jayavel Shanmugasundaram, Eugene J. Shekita, Rimon Barr, Michael J. Carey, Bruce G. Lindsay, Hamid Pirahesh, Berthold Reinwald",VLDB,2000
108,1,Dbsim : A Simulation Tool for Predicting Database Performance,"Craig Wong, Mark Stokrp, Mike Lefler",SIGMOD Conference,1996,Dbsim : A Simulation Tool for Predicting Database Performance International Conference on Management of Data 1996,"Mark Lefler, Mark Stokrp, Craig Wong",VAL -,VAL -
109,0,Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB) 2001,"Dan Sució, Maurizio Lenzerini, Daniele Nardi, Werner Nutt",ACM SIGMOD Record,2001,Report on NGITS '99: The Fourth International Workshop on Next Generation Information Technologies and Systems Opher Etzion ACM SIGMOD Record 1999,VAL -,ACM SIGMOD Record,1999
