id,label,left_Beer_Name,right_Beer_Name,left_Brew_Factory_Name,right_Brew_Factory_Name,left_Style,right_Style,left_ABV,right_ABV,left_name,left_brewery,left_primary_style,left_secondary_style,left_abv,left_is_amber,left_is_ale,left_is_lager,left_is_imperial,left_special_ingredients,right_name,right_brewery,right_primary_style,right_secondary_style,right_abv,right_is_amber,right_is_ale,right_is_lager,right_is_imperial,right_special_ingredients
12,1,Peak Organic The Maple Collaboration,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,Shipyard Brewing Company,American Amber / Red Ale,Amber Ale,7.00 %,6.70 %,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,Red Ale,Amber,7.0,True,True,False,False,none,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,,6.7,True,True,False,False,
13,0,Bourbon Barrel Red Oak Ale,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Tornado Brewing Company,Ballast Point Brewing Company,American Amber / Red Ale,American Strong Ale,-,10 %,Bourbon Barrel Red Oak Ale,Tornado Brewing Company,Red Ale,Amber Barrel-Aged,,true,true,false,false,"bourbon, red oak",Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,Red Ale,Imperial Barrel-Aged,10.0,false,true,false,true,
14,0,John Barleycorn - Bourbon Barrel Aged,AleSmith Old Numbskull - Bourbon Barrel Aged,Mad River Brewing Company,AleSmith Brewing Company,American Barleywine,Barley Wine,12.50 %,11 %,John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,Barleywine,Bourbon Barrel-Aged,12.5,false,true,false,false,bourbon,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,Barrel-Aged,11.0,false,true,false,true,bourbon
15,1,Royal Amber Ale,Kalamazoo Royal Amber Ale,Hops Grillhouse & Brewery,Bells Brewery,American Amber / Red Ale,Amber Ale,4.50 %,-,Royal Amber Ale,Hops Grillhouse & Brewery,Red Ale,Amber,4.5,true,true,false,false,none,Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,,,true,true,false,false,none
16,1,The Gentle Mongoose,Holy City The Gentle Mongoose,Holy City Brewing,Holy City Brewing,American Amber / Red Ale,Amber Ale,6.90 %,6.90 %,The Gentle Mongoose,Holy City Brewing,Red Ale,Amber,6.9,true,true,false,false,none,Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,none,6.9,true,true,false,false,none
17,0,Hop Around Imperial Red Ale,ShuBrew Heart and Sole Imperial Red Ale,Big Bay Brewing Co. .,ShuBrew,American Amber / Red Ale,American Strong Ale,9.00 %,6.80 %,Hop Around Imperial Red Ale,Big Bay Brewing Co.,Red Ale,Imperial,9.0,true,true,false,true,none,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,Red Ale,Imperial,6.8,false,true,false,true,none
18,0,3 Sisters American Red Ale,Saimaan Brewer_s Special American Red Ale,Wild Ride Brewing Co. .,Saimaan Juomatehdas,American Amber / Red Ale,Amber Ale,6.00 %,4.70 %,3 Sisters American Red Ale,Wild Ride Brewing Co.,Red Ale,American Amber,6.0,true,true,false,false,none,Saimaan Brewer's Special American Red Ale,Saimaan Juomatehdas,Red Ale,Amber,4.7,true,true,false,false,none
19,0,Dread Double Red Ale,Wildcard Double Down Imperial Red Ale,Bullfrog Brewery,Wildcard Brewing Company,American Amber / Red Ale,American Strong Ale,7.80 %,7.50 %,Dread Double Red Ale,Bullfrog Brewery,Red Ale,Double Amber,7.8,true,true,false,false,,Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,Red Ale,Imperial Strong,7.5,false,true,false,true,none
20,0,Mountain Series : Love Rhino ( Imperial Red Ale ),Madhouse Venture Series Oak Aged Imperial Red,Breckenridge Brewery,Madhouse Brewing Company,American Amber / Red Ale,American Strong Ale,8.90 %,8.50 %,Mountain Series : Love Rhino,Breckenridge Brewery,Red Ale,Imperial,8.9,false,true,false,true,none,Madhouse Venture Series Oak Aged Imperial Red,Madhouse Brewing Company,Red Ale,American Imperial Barrel-Aged,8.5,false,true,false,true,"oak, bourbon"
21,1,Cow Catcher Red,Mountain Town Cow Catcher Red Ale,Mountain Town Station Brewing Co. & Steakhouse,Mountain Town Brewing Company,American Amber / Red Ale,Amber Ale,-,5.80 %,Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,Red Ale,Amber,,true,true,false,false,none,Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Red Ale,Amber,5.8,true,true,false,false,none
22,0,Texas Red Amber Ale,William Street Red Sky Amber Ale,Big Texan Brewery,William Street Beer Co. .,American Amber / Red Ale,Amber Ale,4.50 %,5 %,Texas Red Amber Ale,Big Texan Brewery,Red Ale,Amber,4.5,true,true,false,false,none,William Street Red Sky Amber Ale,William Street Beer Co.,Amber Ale,none,5.0,true,true,false,false,none
23,0,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Kern River Brewing Company,Cigar City Brewing,American Amber / Red Ale,Irish Ale,8.00 %,5 %,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,Red Ale,Imperial Amber,8.0,true,true,false,true,none,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Cigar City Brewing,Irish Ale,Wood-Aged,5.0,false,true,false,false,wood-aged
24,0,Saint Gleason Imperial Red Ale,Mission Carrack Imperial Red Ale,Abita Brewing Co. .,Mission Brewery,American Amber / Red Ale,American Strong Ale,-,10.20 %,Saint Gleason Imperial Red Ale,Abita Brewing Co.,Red Ale,Imperial,,true,true,false,true,none,Mission Carrack Imperial Red Ale,Mission Brewery,Red Ale,Imperial,10.2,false,true,false,true,none
25,0,Bourbon Barrel Ro Shampo Imperial Red Ale,Sick N Twisted Naughty Redhead Imperial Red Ale,Figure 8 Brewing,Sick N Twisted Brewing Company,American Amber / Red Ale,Amber Ale,-,8 %,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,Red Ale,Amber Imperial Barrel-Aged,,true,true,false,true,bourbon,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Amber Ale,Imperial Red,8.0,true,true,false,true,none
26,0,Ruby River Ruby Red Ale,Pokertree Red Earl Ruby Ale,Ruby River Steakhouse & Brewery,Pokertree,American Amber / Red Ale,Amber Ale,4.00 %,5.50 %,Ruby River Ruby Red Ale,Ruby River Steakhouse & Brewery,Red Ale,Amber,4.0,true,true,false,false,none,Pokertree Red Earl Ruby Ale,Pokertree,Amber,Ruby Ale,5.5,true,true,false,false,none
27,0,Stone Liberty Station Outbreak Series : Red Ale,Liberty High Point Rocket_s Red Ale,Stone Brewing Co. .,Liberty Brewery & Grill - High Point,American Amber / Red Ale,Irish Ale,7.00 %,-,Stone Liberty Station Outbreak Series : Red Ale,Stone Brewing Co.,Red Ale,American Amber,7.0,true,true,false,false,none,Liberty High Point Rocket_s Red Ale,Liberty Brewery & Grill - High Point,Red Ale,Irish,,false,true,false,false,none
28,0,Channary Imperial Red Ale,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Narrows Brewing Co. .,Fulton Beer Company,American Amber / Red Ale,American Strong Ale,9.40 %,8.50 %,Channary Imperial Red Ale,Narrows Brewing Co.,Red Ale,Imperial,9.4,true,true,false,true,none,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,Ale,Imperial Barrel-Aged Strong,8.5,false,true,false,true,heaven hill rye whiskey
29,0,Constanza _ ™ s Hoppy Red Ale,Spiteful Angry Adam Hoppy Red Ale,Bomber Brewing,Spiteful Brewing,American Amber / Red Ale,Amber Ale,6.20 %,6 %,Constanza's Hoppy Red Ale,Bomber Brewing,Red Ale,Amber,6.2,True,True,False,False,,Spiteful Angry Adam Hoppy Red Ale,Spiteful Brewing,Red Ale,Amber Hoppy,6.0,true,true,false,false,hoppy
30,0,Arsenal Imperial Red Ale,Wynwood Fox Imperial Red Ale,Great River Brewery,Wynwood Brewing Company,American Amber / Red Ale,American Strong Ale,9.00 %,7.70 %,Arsenal Imperial Red Ale,Great River Brewery,Red Ale,Imperial,9.0,true,true,false,true,none,Wynwood Fox Imperial Red Ale,Wynwood Brewing Company,Red Ale,Imperial,7.7,false,true,false,true,none
31,0,Double Dragon Imperial Red Ale,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Phillips Brewing Company,Edge Brewing Company,American Amber / Red Ale,American Strong Ale,8.20 %,8.50 %,Double Dragon Imperial Red Ale,Phillips Brewing Company,Red Ale,Imperial Amber,8.2,true,true,false,true,none,Edge Imperial Red Ale (Spring Seasonal),Edge Brewing Company,Red Ale,Imperial,8.5,false,true,false,true,none
32,0,Bourbon Barrel Aged Auld Bitch,Aspen Bourbon Barrel Aged Conundrum Red Ale,Tahoe Mountain Brewing Co. .,Aspen Brewing Company,American Barleywine,Amber Ale,11.00 %,6.50 %,Bourbon Barrel Aged Auld Bitch,Tahoe Mountain Brewing Co.,Barleywine,Barrel-Aged,11.0,false,true,false,false,bourbon,Aspen Bourbon Barrel Aged Conundrum Red Ale,Aspen Brewing Company,Red Ale,"Amber, Barrel-Aged",6.5,true,true,false,false,bourbon
33,1,Kuhnhenn Extraneous Ale,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,Kuhnhenn Brewing,American Barleywine,Barley Wine,17.00 %,17.50 %,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,Barleywine,American,17.0,false,true,false,false,none,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Barley Wine,,17.5,false,true,false,false,
34,0,Lavery Imperial Red Ale,Oak Creek King Crimson Imperial Red Ale,Lavery Brewing Company,Oak Creek Brewing Co. .,American Amber / Red Ale,American Strong Ale,8.20 %,9.50 %,Lavery Imperial Red Ale,Lavery Brewing Company,Red Ale,Imperial,8.2,true,true,false,true,none,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co.,Red Ale,Imperial,9.5,false,true,false,true,none
35,0,Broadhead Bourbon Barrel Aged Red,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Bainbridge Island Brewing Company,Ballast Point Brewing Company,American Amber / Red Ale,American Strong Ale,8.50 %,10 %,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,Red Ale,Amber Barrel-Aged,8.5,true,true,false,false,bourbon,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,Red Ale,Imperial Strong Barrel-Aged,10.0,false,true,false,true,bourbon
36,1,Ballistic Brewing Co. - Gorgon Red Ale,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing Company,Indian Wells Brewing,American Amber / Red Ale,Amber Ale,5.50 %,5.50 %,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,Red Ale,Amber,5.5,true,true,false,false,none,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Red Ale,Amber,5.5,true,true,false,false,none
37,1,Hearthstone Red Rye Ale,Hearthstone Red Rye Ale,Hearthstone Brewery,Hearthstone Brewery,American Amber / Red Ale,Specialty Grain,5.00 %,5 %,Hearthstone Red Rye Ale,Hearthstone Brewery,Red Ale,Amber Rye,5.0,true,true,false,false,rye,Hearthstone Red Rye Ale,Hearthstone Brewery,Ale,Rye,5.0,false,true,false,false,rye
38,1,River Otter Ale,Sacramento River Otter Ale,Union Station Brewery,Sacramento Brewing Company,American Amber / Red Ale,English Pale Ale,5.10 %,5.50 %,River Otter Ale,Union Station Brewery,Red Ale,Amber,5.1,True,True,False,False,,Sacramento River Otter Ale,Sacramento Brewing Company,Pale Ale,English,5.5,false,true,false,false,none
39,0,Deputation Imperial Red Ale,Yukon You Only Live Once Imperial Red Ale,Brannon 's Pub and Brewery,Yukon Brewing Company,American Amber / Red Ale,Amber Ale,8.00 %,7.50 %,Deputation Imperial Red Ale,Brannon's Pub and Brewery,Red Ale,Imperial,8.0,true,true,false,true,none,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Red Ale,Imperial,7.5,true,true,false,true,none
40,0,Batch 200 _ `` Olympus Mons Imperial Red Ale,Three Heads Buffalo Soul Jah Imperial Red Ale,Due South Brewing Co. .,Custom Brewcrafters,American Amber / Red Ale,American Strong Ale,9.20 %,9.20 %,Batch 200 Olympus Mons Imperial Red Ale,Due South Brewing Co.,Red Ale,Imperial,9.2,true,true,false,true,none,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,Red Ale,Imperial Strong Ale,9.2,false,true,false,true,none
41,0,Climax Noel - Imperial Red Ale,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Eel River Brewing Co. .,Fulton Beer Company,American Amber / Red Ale,American Strong Ale,9.20 %,8.50 %,Climax Noel - Imperial Red Ale,Eel River Brewing Co.,Red Ale,Imperial,9.2,true,true,false,true,none,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,Ale,Barrel-Aged Imperial Amber,8.5,true,true,false,true,heaven hill rye whiskey
42,0,Old Cascade Amber Ale,Central Coast Old Mission Amber Ale,Roosterfish Brewing Co. .,Central Coast Brewing,American Amber / Red Ale,Amber Ale,5.50 %,5.50 %,Old Cascade Amber Ale,Roosterfish Brewing Co.,Red Ale,Amber,5.5,True,True,False,False,none,Central Coast Old Mission Amber Ale,Central Coast Brewing,Amber Ale,,5.5,True,True,False,False,
43,0,Single Hop # 3 Amber Ale W / Citra,Lancaster Hop Buggy Amber Ale,Three Palms Brewing Co. .,Lancaster Brewing Co. .,American Amber / Red Ale,Amber Ale,6.80 %,5.60 %,Single Hop # 3 Amber Ale W / Citra,Three Palms Brewing Co.,Amber Ale,American Single Hop,6.8,true,true,false,false,Citra,Lancaster Hop Buggy Amber Ale,Lancaster Brewing Co.,Amber Ale,,5.6,true,true,false,false,none
44,0,Bourbon Barrel Ro Shampo Imperial Red Ale,Spring House Atomic Raygun Imperial Red Ale,Figure 8 Brewing,Spring House Brewing Company,American Amber / Red Ale,American Strong Ale,-,8.30 %,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,Red Ale,Amber Imperial Barrel-Aged,,True,True,False,True,bourbon,Spring House Atomic Raygun Imperial Red Ale,Spring House Brewing Company,Red Ale,Imperial,8.3,false,true,false,true,none
45,0,Red Dirt Imperial Red Ale,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Wiley Roots Brewing Co,Rock Bottom Orland Park,American Amber / Red Ale,American Strong Ale,8.20 %,7.60 %,Red Dirt Imperial Red Ale,Wiley Roots Brewing Co,Red Ale,Imperial Amber,8.2,true,true,false,true,none,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,Red Ale,Imperial,7.6,false,true,false,true,none
46,0,Bourbon Barrel Aged Redrum,Aspen Bourbon Barrel Aged Conundrum Red Ale,Trinity Brewhouse,Aspen Brewing Company,American Amber / Red Ale,Amber Ale,9.50 %,6.50 %,Bourbon Barrel Aged Redrum,Trinity Brewhouse,Red Ale,Amber Barrel-Aged,9.5,true,true,false,false,bourbon,Aspen Bourbon Barrel Aged Conundrum Red Ale,Aspen Brewing Company,Red Ale,Amber,6.5,true,true,false,false,bourbon
47,1,Freedom Soho Red,Freedom Soho Red,Freedom Brewery Ltd,Freedom,American Amber / Red Ale,Amber Lager/Vienna,4.70 %,4.70 %,Freedom Soho Red,Freedom Brewery Ltd,Red Ale,Amber,4.7,True,True,False,False,,Freedom Soho Red,Freedom,Vienna,Amber Lager,4.7,true,false,true,false,none
48,1,Heavyweight Ticklefight Champion Of The World,Solemn Oath Heavyweight Ticklefight Champion of the World,Solemn Oath Brewery,Solemn Oath Brewery,American Barleywine,Barley Wine,12.00 %,12 %,Heavyweight Ticklefight Champion Of The World,Solemn Oath Brewery,Barleywine,American,12.0,false,true,false,false,none,Solemn Oath Heavyweight Ticklefight Champion of the World,Solemn Oath Brewery,Barley Wine,,12.0,false,true,false,false,
49,0,Barrel Aged Moustache Ride Red,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Flat 12 Bierwerks,Fulton Beer Company,American Amber / Red Ale,American Strong Ale,6.10 %,8.50 %,Barrel Aged Moustache Ride Red,Flat 12 Bierwerks,Red Ale,Amber Barrel-Aged,6.1,true,true,false,false,barrel-aged,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,Red Ale,Imperial Barrel-Aged,8.5,false,true,false,true,heaven hill rye whiskey
50,1,Neudorf Red Ale,Bendorf Neudorf Red Ale,Brasserie Bendorf,Bendorf,American Amber / Red Ale,Irish Ale,-,6 %,Neudorf Red Ale,Brasserie Bendorf,Red Ale,American,,false,true,false,false,none,Bendorf Neudorf Red Ale,Bendorf,Red Ale,Irish,6.0,false,true,false,false,none
51,0,Arthur 's Imperial Red Ale,Proof Abandoned Planet Imperial Red Ale,Otto 's Pub and Brewery,Proof Brewing Company,American Amber / Red Ale,Amber Ale,6.90 %,7.50 %,Arthur's Imperial Red Ale,Otto's Pub and Brewery,Red Ale,Imperial,6.9,true,true,false,true,none,Proof Abandoned Planet Imperial Red Ale,Proof Brewing Company,Red Ale,Imperial,7.5,false,true,false,true,
52,0,Three Beavers Imperial Red Ale,406 Imperial Red Ale,Howe Sound Inn & Brewing Company,406 Brewing Company,American Amber / Red Ale,American Strong Ale,7.50 %,9.20 %,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,Red Ale,Imperial,7.5,true,true,false,true,none,406 Imperial Red Ale,406 Brewing Company,Red Ale,Imperial Strong,9.2,false,true,false,true,none
53,0,Arthur 's Imperial Red Ale,Two Brothers Revelry Imperial Red Ale,Otto 's Pub and Brewery,Two Brothers Brewing Company,American Amber / Red Ale,American Strong Ale,6.90 %,9.50 %,Arthur's Imperial Red Ale,Otto's Pub and Brewery,Red Ale,Imperial Amber,6.9,true,true,false,true,none,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,Red Ale,Imperial Strong,9.5,false,true,false,true,none
54,0,Red Dragon Smoked Amber Ale,Baird Smoked Amber Ale,Hoppy Brewing Co. .,Baird Brewing Co. .,American Amber / Red Ale,Smoked,5.50 %,-,Red Dragon Smoked Amber Ale,Hoppy Brewing Co.,Red Ale,Amber,5.5,true,true,false,false,smoked,Baird Smoked Amber Ale,Baird Brewing Co.,Amber Ale,Smoked,,true,true,false,false,smoke
55,0,Batch 200 _ `` Olympus Mons Imperial Red Ale,Ale Mania Imperial Red Ale,Due South Brewing Co. .,Ale Mania &#40; Fritz Ale &#41;,American Amber / Red Ale,American Strong Ale,9.20 %,9.50 %,Batch 200 Olympus Mons Imperial Red Ale,Due South Brewing Co.,Red Ale,Imperial,9.2,true,true,false,true,none,Ale Mania Imperial Red Ale,Ale Mania (Fritz Ale),Red Ale,Imperial,9.5,false,true,false,true,
56,0,Mr. Grain Jeans Organic Amber Ale,Squatters Respect Your Mother Organic Amber Ale,Outpost Natural Foods,Squatters Craft Beers,American Amber / Red Ale,Amber Ale,5.50 %,4 %,Mr. Grain Jeans Organic Amber Ale,Outpost Natural Foods,Red Ale,Amber,5.5,true,true,false,false,organic,Squatters Respect Your Mother Organic Amber Ale,Squatters Craft Beers,Amber Ale,Organic,4.0,true,true,false,false,organic
57,0,Smuttynose Kindest Find Imperial Red Ale,Two Brothers Revelry Imperial Red Ale,Smuttynose Brewing Company,Two Brothers Brewing Company,American Amber / Red Ale,American Strong Ale,8.50 %,9.50 %,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,Red Ale,Imperial,8.5,false,true,false,true,,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,Red Ale,Imperial,9.5,false,true,false,true,none
58,0,Broadhead Bourbon Barrel Aged Red,Flat 12 Barrel Aged Moustache Ride Red,Bainbridge Island Brewing Company,Flat 12 Bierwerks,American Amber / Red Ale,Amber Ale,8.50 %,-,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,Red Ale,Amber,8.5,true,true,false,false,bourbon,Flat 12 Barrel Aged Moustache Ride Red,Flat 12 Bierwerks,Amber Ale,Barrel-Aged,,true,true,false,false,none
59,0,Pizza Orgasmica Amber Ale,Pizza Port Acacia Amber Ale,Devil 's Canyon Brewing Company,Pizza Port &#40; Solana Beach &#41;,American Amber / Red Ale,Belgian Ale,6.50 %,-,Pizza Orgasmica Amber Ale,Devil's Canyon Brewing Company,Red Ale,Amber,6.5,true,true,false,false,none,Pizza Port Acacia Amber Ale,Pizza Port ( Solana Beach ),Amber Ale,Belgian,,true,true,false,false,none
60,0,Iron Mike 's Amber Ale,Railway City Iron Spike Amber Ale,Jacob Leinenkugel Brewing Company,Railway City Brewing Company,American Amber / Red Ale,Amber Ale,-,4.60 %,Iron Mike's Amber Ale,Jacob Leinenkugel Brewing Company,Red Ale,Amber,,true,true,false,false,none,Railway City Iron Spike Amber Ale,Railway City Brewing Company,Amber Ale,none,4.6,true,true,false,false,none
61,0,Lagunitas Imperial Red Ale,Three Heads Buffalo Soul Jah Imperial Red Ale,Lagunitas Brewing Company,Custom Brewcrafters,American Amber / Red Ale,American Strong Ale,7.80 %,9.20 %,Lagunitas Imperial Red Ale,Lagunitas Brewing Company,Red Ale,Amber,7.8,True,True,False,True,none,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,Red Ale,Imperial Strong,9.2,false,true,false,true,none
62,0,Photobomb Imperial Red Ale,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Crooked Ladder Brewing Company,Fulton Beer Company,American Amber / Red Ale,American Strong Ale,8.50 %,8.50 %,Photobomb Imperial Red Ale,Crooked Ladder Brewing Company,Red Ale,Imperial,8.5,true,true,false,true,none,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,Red Ale,"Imperial, Barrel-Aged",8.5,false,true,false,true,rye whiskey
