id,label,left_text,right_text
10,0,"Aorta Ale by Short's Brewing Company. Style: Red Ale, Double. ABV: 8.3%. Type: ale. Ingredients: none.","Destihl Barrel Aged Deadhead Double Red Ale by Destihl Brewery. Style: Strong Ale, Barrel-Aged Double Red. ABV: undefined%. Type: ale. Ingredients: barrel-aged, red."
11,0,"Three Sheets Barleywine ( Barrel Aged ) by Ballast Point Brewing Company. Style: Barleywine, American Barrel-Aged. ABV: 9.0%. Type: ale. Ingredients: barrel-aged.","(512) Cabernet Barrel Aged Three by (512) Brewing Company. Style: Tripel, Barrel-Aged Belgian. ABV: 9.5%. Type: ale. Ingredients: cabernet."
12,1,"Peak Organic The Maple Collaboration by Peak Organic Brewing Company. Style: Red Ale, Amber. ABV: 7.0%. Type: ale, amber. Ingredients: none.","Peak Organic The Maple Collaboration by Shipyard Brewing Company. Style: Amber Ale. ABV: 6.7%. Type: ale, amber. Ingredients: none."
13,0,"Bourbon Barrel Red Oak Ale by Tornado Brewing Company. Style: Red Ale, Amber. ABV: . Type: ale, amber. Ingredients: bourbon.","Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged by Ballast Point Brewing Company. Style: Red Ale, Imperial. ABV: 10%. Type: ale, imperial. Ingredients: bourbon."
14,0,"John Barleycorn - Bourbon Barrel Aged by Mad River Brewing Company. Style: Barleywine, Bourbon Barrel-Aged. ABV: 12.5%. Type: ale. Ingredients: bourbon.","AleSmith Old Numbskull - Bourbon Barrel Aged by AleSmith Brewing Company. Style: Barley Wine, Barrel-Aged. ABV: 11.0%. Type: ale. Ingredients: bourbon."
15,1,"Royal Amber Ale by Hops Grillhouse & Brewery. Style: Red Ale, Amber. ABV: 4.5%. Type: ale, amber. Ingredients: none.","Kalamazoo Royal Amber Ale by Bells Brewery. Style: Amber Ale. ABV: nan%. Type: ale, amber. Ingredients: none."
16,1,"The Gentle Mongoose by Holy City Brewing. Style: Red Ale, Amber. ABV: 6.9%. Type: ale, amber. Ingredients: none.","Holy City The Gentle Mongoose by Holy City Brewing. Style: Amber Ale. ABV: 6.9%. Type: ale, amber. Ingredients: none."
17,0,"Hop Around Imperial Red Ale by Big Bay Brewing Co. Style: Red Ale, Imperial Amber. ABV: 9.0%. Type: ale, amber, imperial. Ingredients: none.","ShuBrew Heart and Sole Imperial Red Ale by ShuBrew. Style: Red Ale, Imperial Strong. ABV: 6.8%. Type: ale, imperial. Ingredients: none."
18,0,"3 Sisters American Red Ale by Wild Ride Brewing Co. Style: Red Ale, Amber. ABV: 6.0%. Type: ale, amber. Ingredients: none.","Saimaan Brewer_s Special American Red Ale by Saimaan Juomatehdas. Style: Red Ale, Amber. ABV: 4.7%. Type: ale, amber. Ingredients: none."
19,0,"Dread Double Red Ale by Bullfrog Brewery. Style: Red Ale, Double Amber. ABV: 7.8%. Type: ale, amber. Ingredients: none.","Wildcard Double Down Imperial Red Ale by Wildcard Brewing Company. Style: Red Ale, Imperial Strong. ABV: 7.5%. Type: ale, imperial. Ingredients: none."
20,0,"Mountain Series : Love Rhino by Breckenridge Brewery. Style: Red Ale, Imperial Amber. ABV: 8.9%. Type: ale, amber, imperial. Ingredients: none.","Madhouse Venture Series Oak Aged Imperial Red by Madhouse Brewing Company. Style: Red Ale, Imperial Oak-Aged. ABV: 8.5%. Type: ale, imperial. Ingredients: oak-aging."
21,1,"Cow Catcher Red by Mountain Town Station Brewing Co. & Steakhouse. Style: Red Ale, Amber. ABV: . Type: ale, amber. Ingredients: none.","Mountain Town Cow Catcher Red Ale by Mountain Town Brewing Company. Style: Ale, Red. ABV: 5.8%. Type: ale. Ingredients: none."
22,0,"Texas Red Amber Ale by Big Texan Brewery. Style: Red Ale, Amber. ABV: 4.5%. Type: ale, amber. Ingredients: none.","William Street Red Sky Amber Ale by William Street Beer Co. Style: Amber Ale. ABV: 5.0%. Type: ale, amber. Ingredients: none."
23,0,"6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ) by Kern River Brewing Company. Style: Red Ale, Imperial. ABV: 8.0%. Type: ale, amber, imperial. Ingredients: none.","Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged by Cigar City Brewing. Style: Red Ale, Irish / Barrel-Aged. ABV: 5.0%. Type: ale. Ingredients: none."
24,0,"Saint Gleason Imperial Red Ale by Abita Brewing Co. Style: Red Ale, Imperial. ABV: nan%. Type: ale, amber, imperial. Ingredients: none.","Mission Carrack Imperial Red Ale by Mission Brewery. Style: Red Ale, Imperial. ABV: 10.2%. Type: ale, amber, imperial. Ingredients: none."
25,0,"Bourbon Barrel Ro Shampo Imperial Red Ale by Figure 8 Brewing. Style: Red Ale, American Amber, Imperial, Bourbon Barrel-Aged. ABV: unknown%. Type: ale, amber, imperial. Ingredients: bourbon.","Sick N Twisted Naughty Redhead Imperial Red Ale by Sick N Twisted Brewing Company. Style: Red Ale, Imperial Amber. ABV: 8.0%. Type: ale, amber, imperial. Ingredients: none."
26,0,"Ruby River Ruby Red Ale by Ruby River Steakhouse & Brewery. Style: Red Ale, Amber. ABV: 4.0%. Type: ale, amber. Ingredients: none.","Pokertree Red Earl Ruby Ale by Pokertree. Style: Amber Ale. ABV: 5.5%. Type: ale, amber. Ingredients: none."
27,0,"Stone Liberty Station Outbreak Series : Red Ale by Stone Brewing Co. Style: Red Ale, Amber. ABV: 7.0%. Type: ale, amber. Ingredients: none.","Liberty High Point Rocket's Red Ale by Liberty Brewery & Grill - High Point. Style: Irish, Red Ale. ABV: n/a%. Type: ale. Ingredients: none."
28,0,"Channary Imperial Red Ale by Narrows Brewing Co. Style: Red Ale, Imperial. ABV: 9.4%. Type: ale, imperial. Ingredients: none.","Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged by Fulton Beer Company. Style: Red Ale, Imperial Barrel-Aged. ABV: 8.5%. Type: ale, imperial. Ingredients: heaven hill rye whiskey."
29,0,"Constanza Hoppy Red Ale by Bomber Brewing. Style: Red Ale, Amber. ABV: 6.2%. Type: ale, amber. Ingredients: none.","Spiteful Angry Adam Hoppy Red Ale by Spiteful Brewing. Style: Red Ale, Amber. ABV: 6.0%. Type: ale, amber. Ingredients: hoppy."
30,0,"Arsenal Imperial Red Ale by Great River Brewery. Style: Red Ale, Imperial Amber. ABV: 9.0%. Type: ale, amber, imperial. Ingredients: none.","Wynwood Fox Imperial Red Ale by Wynwood Brewing Company. Style: Red Ale, Imperial. ABV: 7.7%. Type: ale, imperial. Ingredients: none."
31,0,"Double Dragon Imperial Red Ale by Phillips Brewing Company. Style: Red Ale, Imperial. ABV: 8.2%. Type: ale, imperial. Ingredients: none.","Edge Imperial Red Ale (Spring Seasonal) by Edge Brewing Company. Style: Red Ale, Imperial Strong. ABV: 8.5%. Type: ale, imperial. Ingredients: none."
32,0,"Bourbon Barrel Aged Auld Bitch by Tahoe Mountain Brewing Co. Style: Barleywine, Barrel-Aged. ABV: 11.0%. Type: ale. Ingredients: bourbon.","Aspen Bourbon Barrel Aged Conundrum Red Ale by Aspen Brewing Company. Style: Red Ale, Amber. ABV: 6.5%. Type: ale, amber. Ingredients: bourbon."
33,1,Kuhnhenn Extraneous Ale by Kuhnhenn Brewing Company. Style: Barleywine. ABV: 17.0%. Type: ale. Ingredients: none.,Kuhnhenn Extraneous Ale by Kuhnhenn Brewing. Style: Barley Wine. ABV: 17.5%. Type: ale. Ingredients: none.
34,0,"Lavery Imperial Red Ale by Lavery Brewing Company. Style: Red Ale, Imperial. ABV: 8.2%. Type: ale, imperial. Ingredients: none.","Oak Creek King Crimson Imperial Red Ale by Oak Creek Brewing Co. Style: Red Ale, Imperial. ABV: 9.5%. Type: ale, imperial. Ingredients: none."
35,0,"Broadhead Bourbon Barrel Aged Red by Bainbridge Island Brewing Company. Style: Red Ale, American Amber. ABV: 8.5%. Type: ale, amber. Ingredients: bourbon.","Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged by Ballast Point Brewing Company. Style: Red Ale, Imperial Barrel-Aged. ABV: 10.0%. Type: ale, imperial. Ingredients: none."
36,1,"Ballistic Brewing Co. - Gorgon Red Ale by Indian Wells. Style: Red Ale, Amber. ABV: 5.5%. Type: ale, amber. Ingredients: none.","Ballistic Brewing Gorgon Red Ale by Indian Wells Brewing. Style: Amber, Ale. ABV: 5.5%. Type: ale, amber. Ingredients: none."
37,1,"Hearthstone Red Rye Ale by Hearthstone Brewery. Style: American Amber, Red Ale. ABV: 5.0%. Type: ale, amber. Ingredients: rye.","Hearthstone Red Rye Ale by Hearthstone Brewery. Style: Ale, Rye. ABV: 5.0%. Type: ale. Ingredients: rye."
38,1,"River Otter Ale by Union Station Brewery. Style: Red Ale, Amber. ABV: 5.1%. Type: ale, amber. Ingredients: none.","Sacramento River Otter Ale by Sacramento Brewing Company. Style: Pale Ale, English. ABV: 5.5%. Type: ale. Ingredients: none."
39,0,"Deputation Imperial Red Ale by Brannon's Pub and Brewery. Style: Red Ale, Imperial. ABV: 8.0%. Type: ale, amber, imperial. Ingredients: none.","Yukon You Only Live Once Imperial Red Ale by Yukon Brewing Company. Style: Red Ale, Imperial Amber. ABV: 7.5%. Type: ale, amber, imperial. Ingredients: none."
40,0,"Batch 200 Olympus Mons Imperial Red Ale by Due South Brewing Co. Style: Red Ale, Imperial. ABV: 9.2%. Type: ale, amber, imperial. Ingredients: none.","Three Heads Buffalo Soul Jah Imperial Red Ale by Custom Brewcrafters. Style: Red Ale, Imperial Strong. ABV: 9.2%. Type: ale, imperial. Ingredients: none."
41,0,"Climax Noel - Imperial Red Ale by Eel River Brewing Co. Style: Red Ale, Imperial. ABV: 9.2%. Type: ale, imperial. Ingredients: none.","Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged by Fulton Beer Company. Style: Ale, Imperial Strong. ABV: 8.5%. Type: ale, imperial. Ingredients: none."
42,0,"Old Cascade Amber Ale by Roosterfish Brewing Co. Style: Red Ale, Amber. ABV: 5.5%. Type: ale, amber. Ingredients: none.","Central Coast Old Mission Amber Ale by Central Coast Brewing. Style: Amber Ale. ABV: 5.5%. Type: ale, amber. Ingredients: none."
43,0,"Single Hop #3 Amber Ale W/Citra by Three Palms Brewing Co. Style: Red Ale, Amber. ABV: 6.8%. Type: ale, amber. Ingredients: citra.","Lancaster Hop Buggy Amber Ale by Lancaster Brewing Co. Style: Amber Ale. ABV: 5.6%. Type: ale, amber. Ingredients: none."
44,0,"Bourbon Barrel Ro Shampo Imperial Red Ale by Figure 8 Brewing. Style: Red Ale, Imperial Bourbon Barrel-Aged. ABV: unknown%. Type: ale, amber, imperial. Ingredients: bourbon.","Spring House Atomic Raygun Imperial Red Ale by Spring House Brewing Company. Style: Red Ale, Imperial. ABV: 8.3%. Type: ale, imperial. Ingredients: none."
45,0,"Red Dirt Imperial Red Ale by Wiley Roots Brewing Co. Style: Red Ale, Imperial. ABV: 8.2%. Type: ale, imperial. Ingredients: none.","Rock Bottom Orland Park King of Hearts Imperial Red Ale by Rock Bottom Orland Park. Style: Red Ale, Imperial. ABV: 7.6%. Type: ale, imperial. Ingredients: none."
46,0,"Bourbon Barrel Aged Redrum by Trinity Brewhouse. Style: Red Ale, Amber Barrel-Aged. ABV: 9.5%. Type: ale, amber. Ingredients: bourbon.","Aspen Bourbon Barrel Aged Conundrum Red Ale by Aspen Brewing Company. Style: Red Ale, Amber Barrel-Aged. ABV: 6.5%. Type: ale, amber. Ingredients: bourbon."
47,1,"Freedom Soho Red by Freedom Brewery Ltd. Style: Red Ale, Amber. ABV: 4.7%. Type: ale, amber. Ingredients: none.","Freedom Soho Red by Freedom. Style: Vienna, Amber Lager. ABV: 4.7%. Type: lager, amber. Ingredients: none."
48,1,Heavyweight Ticklefight Champion Of The World by Solemn Oath Brewery. Style: American Barleywine. ABV: 12.0%. Type: ale. Ingredients: none.,Solemn Oath Heavyweight Ticklefight Champion of the World by Solemn Oath Brewery. Style: Barley Wine. ABV: 12.0%. Type: ale. Ingredients: none.
49,0,"Barrel Aged Moustache Ride Red by Flat 12 Bierwerks. Style: Red Ale, Amber Barrel-Aged. ABV: 6.1%. Type: ale, amber. Ingredients: none.","Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged by Fulton Beer Company. Style: Red Ale, Barrel-Aged Imperial. ABV: 8.5%. Type: ale, imperial. Ingredients: heaven hill rye whiskey."
50,1,"Neudorf Red Ale by Brasserie Bendorf. Style: Red Ale, American Amber. ABV: NaN%. Type: ale. Ingredients: none.","Bendorf Neudorf Red Ale by Bendorf. Style: Irish, Red Ale. ABV: 6.0%. Type: ale. Ingredients: none."
51,0,"Arthur's Imperial Red Ale by Otto's Pub and Brewery. Style: Red Ale, Imperial. ABV: 6.9%. Type: ale, amber, imperial. Ingredients: none.","Proof Abandoned Planet Imperial Red Ale by Proof Brewing Company. Style: Red Ale, Imperial Amber. ABV: 7.5%. Type: ale, amber, imperial. Ingredients: none."
52,0,"Three Beavers Imperial Red Ale by Howe Sound Inn & Brewing Company. Style: Red Ale, Imperial. ABV: 7.5%. Type: ale, amber, imperial. Ingredients: none.","406 Imperial Red Ale by 406 Brewing Company. Style: Red Ale, Imperial. ABV: 9.2%. Type: ale, imperial. Ingredients: none."
53,0,"Arthur's Imperial Red Ale by Otto's Pub and Brewery. Style: Red Ale, Amber Imperial. ABV: 6.9%. Type: ale, amber, imperial. Ingredients: none.","Two Brothers Revelry Imperial Red Ale by Two Brothers Brewing Company. Style: Red Ale, Imperial Strong. ABV: 9.5%. Type: ale, imperial. Ingredients: none."
54,0,"Red Dragon Smoked Amber Ale by Hoppy Brewing Co.. Style: Amber Ale, Smoked Red Ale. ABV: 5.5%. Type: ale, amber. Ingredients: smoked.","Baird Smoked Amber Ale by Baird Brewing Co. Style: Amber Ale, Smoked. ABV: %. Type: ale, amber. Ingredients: smoked."
55,0,"Batch 200 Olympus Mons Imperial Red Ale by Due South Brewing Co. Style: Red Ale, Imperial. ABV: 9.2%. Type: ale, amber, imperial. Ingredients: none.","Ale Mania Imperial Red Ale by Ale Mania (Fritz Ale). Style: Red Ale, Imperial. ABV: 9.5%. Type: ale, imperial. Ingredients: none."
56,0,"Mr. Grain Jeans Organic Amber Ale by Outpost Natural Foods. Style: American, Amber Ale. ABV: 5.5%. Type: ale, amber. Ingredients: organic.","Squatters Respect Your Mother Organic Amber Ale by Squatters Craft Beers. Style: Amber Ale, Organic. ABV: 4.0%. Type: ale, amber. Ingredients: organic."
57,0,"Smuttynose Kindest Find Imperial Red Ale by Smuttynose Brewing Company. Style: Red Ale, Imperial. ABV: 8.5%. Type: ale, imperial. Ingredients: none.","Two Brothers Revelry Imperial Red Ale by Two Brothers Brewing Company. Style: Red Ale, Imperial Strong. ABV: 9.5%. Type: ale, imperial. Ingredients: none."
58,0,"Broadhead Bourbon Barrel Aged Red by Bainbridge Island Brewing Company. Style: Red Ale, Amber. ABV: 8.5%. Type: ale, amber. Ingredients: bourbon.","Flat 12 Barrel Aged Moustache Ride Red by Flat 12 Bierwerks. Style: Amber Ale, Barrel-Aged. ABV: nan%. Type: ale, amber. Ingredients: barrel-aged."
59,0,"Pizza Orgasmica Amber Ale by Devil's Canyon Brewing Company. Style: Amber Ale, Red. ABV: 6.5%. Type: ale, amber. Ingredients: none.","Pizza Port Acacia Amber Ale by Pizza Port (Solana Beach). Style: Belgian, Ale. ABV: nan%. Type: ale. Ingredients: none."
60,0,"Iron Mike's Amber Ale by Jacob Leinenkugel Brewing Company. Style: Red Ale, Amber. ABV: . Type: ale, amber. Ingredients: none.","Railway City Iron Spike Amber Ale by Railway City Brewing Company. Style: Amber Ale. ABV: 4.6%. Type: ale, amber. Ingredients: none."
61,0,"Lagunitas Imperial Red Ale by Lagunitas Brewing Company. Style: Red Ale, Imperial. ABV: 7.8%. Type: ale, amber, imperial. Ingredients: none.","Three Heads Buffalo Soul Jah Imperial Red Ale by Custom Brewcrafters. Style: Red Ale, Imperial Strong. ABV: 9.2%. Type: ale, imperial. Ingredients: none."
62,0,"Photobomb Imperial Red Ale by Crooked Ladder Brewing Company. Style: Red Ale, Imperial. ABV: 8.5%. Type: ale, amber, imperial. Ingredients: none.","Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged by Fulton Beer Company. Style: Red Ale, Imperial Barrel-Aged. ABV: 8.5%. Type: ale, imperial. Ingredients: rye whiskey."
63,0,"Arthur's Imperial Red Ale by Otto's Pub and Brewery. Style: Amber, Red Ale. ABV: 6.9%. Type: ale, amber, imperial. Ingredients: none.","Kinetic Infrared Imperial Red Ale by Kinetic Brewing Company. Style: Red Ale, Imperial Strong. ABV: 9.3%. Type: ale, imperial. Ingredients: none."
64,0,"Red Rocket Amber Ale by Third Base Sports Bar & Brewery. Style: Red Ale, Amber. ABV: 6.4%. Type: ale, amber. Ingredients: none.","Blue Cat Red Toad Amber Ale by Blue Cat Brew Pub. Style: Amber Ale, Premium Bitter/ESB. ABV: 5.7%. Type: ale, amber. Ingredients: none."
65,0,"Eruption Imperial Red Ale by Worthy Brewing Co. Style: Red Ale, Imperial Amber. ABV: 8.0%. Type: ale, amber, imperial. Ingredients: none.","Three Heads Buffalo Soul Jah Imperial Red Ale by Custom Brewcrafters. Style: Red Ale, Imperial Strong. ABV: 9.2%. Type: ale, imperial. Ingredients: none."
66,0,"Barrel Aged Red Ale by BearWaters Brewing Co.. Style: Red Ale, Amber Barrel-Aged. ABV: 6.7%. Type: ale, amber. Ingredients: barrel-aged.","Ballast Point Calico Amber Ale - Rum Barrel Aged by Ballast Point Brewing Company. Style: Amber Ale, Barrel-Aged. ABV: 5.0%. Type: ale, amber. Ingredients: rum."
67,0,"Ballistic Brewing Co. - Gorgon Red Ale by Indian Wells. Style: Red Ale, Amber. ABV: 5.5%. Type: ale, amber. Ingredients: none.","Red Horn Drink Well Red Ale by Red Horn Coffee House and Brewing Company. Style: Amber, Ale. ABV: 5.5%. Type: ale, amber. Ingredients: none."
68,0,"The Ginger A Red Ale by Elk Street  & Tap Room. Style: Red Ale, American Amber. ABV: 6.8%. Type: ale, amber. Ingredients: ginger.","The Beer Company Wyatt Earp Red Ale by The Beer Company. Style: Irish, Red Ale. ABV: 7.0%. Type: ale. Ingredients: none."
69,0,"North 45 Amber Ale by Petoskey Brewing Company. Style: Red Ale, Amber. ABV: 5.8%. Type: ale, amber. Ingredients: none.","Thirsty Pagan North Coast Amber Ale by Thirsty Pagan Brewing. Style: Amber Ale. ABV: NaN%. Type: ale, amber. Ingredients: none."
70,1,"Red 's On Vacation by Barley John 's Brew Pub. Style: Red Ale, Amber. ABV: 5.44%. Type: ale, amber. Ingredients: none.","Barley Johns Reds on Vacation by Barley Johns Brew Pub. Style: Amber Ale. ABV: 5.44%. Type: ale, amber. Ingredients: none."
71,1,Old Cellar Dweller by Driftwood Brewery. Style: Barleywine. ABV: 11.6%. Type: ale. Ingredients: none.,"Driftwood Old Cellar Dweller Barleywine by Driftwood Brewery (Canada). Style: Barley Wine, Old Aged. ABV: 14.0%. Type: lager. Ingredients: none."
72,0,"Lavery Imperial Red Ale by Lavery Brewing Company. Style: Red Ale, Imperial. ABV: 8.2%. Type: ale, imperial. Ingredients: none.","Lagunitas Imperial Red Ale by Lagunitas Brewing Company (Heineken). Style: Red Ale, Imperial. ABV: 7.8%. Type: ale, imperial. Ingredients: none."
73,0,"Double Dread Imperial Red Ale by Mad River Brewing Company. Style: Red Ale, Amber. ABV: 8.6%. Type: ale, amber, imperial. Ingredients: none.","Scuttlebutt Mateo Loco Imperial Red Ale by Scuttlebutt Brewing Co. Style: Red Ale, Imperial. ABV: 7.1%. Type: ale, imperial. Ingredients: none."
74,0,"Roundabout Imperial Red Ale by Bonfire Brewing Co. Style: Red Ale, Imperial Amber. ABV: 8.8%. Type: ale, amber, imperial. Ingredients: none.","AleSmith YuleSmith (Winter) Imperial Red Ale by AleSmith Brewing Company. Style: Red Ale, Imperial. ABV: 8.5%. Type: ale, imperial. Ingredients: none."
75,0,"Port Chester Red Ale by Greenpoint Beerworks / Kelso of Brooklyn. Style: Red Ale, Amber. ABV: 5.5%. Type: ale, amber. Ingredients: none.","Pizza Port Rhino Chaser Imperial Red Ale by Pizza Port (Ocean Beach). Style: Red Ale, Imperial. ABV: 9.5%. Type: ale, imperial. Ingredients: none."
76,0,"Red Hopper ( Imperial Red Ale ) by Black Acre Brewing Co. Style: Red Ale, Imperial Amber. ABV: 6.2%. Type: ale, amber, imperial. Ingredients: none.","Proof Abandoned Planet Imperial Red Ale by Proof. Style: Red Ale, Imperial Amber. ABV: 7.5%. Type: ale, amber, imperial. Ingredients: none."
77,1,"Sons Of Anarchy Amber Ale by Sudwerk Brewing Company. Style: Red Ale, Amber. ABV: 4.7%. Type: ale, amber. Ingredients: none.","Sudwerk Sons Of Anarchy Amber Ale by Sudwerk Brewing Company. Style: Amber Ale. ABV: 4.7%. Type: ale, amber. Ingredients: none."
78,1,"Eldred Rock Amber by Haines Brewing Company. Style: Red Ale, Amber. ABV: 5.0%. Type: ale, amber. Ingredients: none.","Haines Eldred Rock Amber by Haines Brewing Co. Style: Amber Ale. ABV: 5.0%. Type: ale, amber. Ingredients: none."
79,0,"Double Dread Imperial Red Ale by Mad River Brewing Company. Style: Red Ale, Amber. ABV: 8.6%. Type: ale, amber, imperial. Ingredients: none.","406 Imperial Red Ale by 406 Brewing Company. Style: Red Ale, Imperial. ABV: 9.2%. Type: ale, amber, imperial. Ingredients: none."
80,0,"Blood On The Blade Red IPA by Backpocket Brewing. Style: IPA, Red. ABV: 7.0%. Type: ale. Ingredients: none.","Bacchus / Burrow Bloodhound Blood Red IPA by Bacchus Brewing Company (Australia). Style: IPA, Red Blood. ABV: 6.0%. Type: ale. Ingredients: none."
81,1,"My Hoppy Valentine by Excel Brewing Company. Style: Red Ale, Amber. ABV: 6.5%. Type: ale, amber. Ingredients: none.","Excel My Hoppy Valentine by Excel Brewing Company. Style: Amber Ale. ABV: 6.5%. Type: ale, amber. Ingredients: none."
82,0,"Hop Around Imperial Red Ale by Big Bay Brewing Co. Style: Red Ale, Imperial Amber. ABV: 9.0%. Type: ale, amber, imperial. Ingredients: none.","Austin Beerworks Battle Axe Imperial Red Ale by Austin Beerworks. Style: Red Ale, Imperial Strong. ABV: 8.0%. Type: ale, amber, imperial. Ingredients: none."
83,0,"6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ) by Kern River Brewing Company. Style: Red Ale, Imperial. ABV: 8.0%. Type: ale, imperial. Ingredients: none.","Tumbledown Imp Imperial Red Ale by Tumbledown Brewing LLC. Style: Red Ale, Imperial Strong. ABV: 7.8%. Type: ale, imperial. Ingredients: none."
84,0,"Photobomb Imperial Red Ale by Crooked Ladder Brewing Company. Style: Red Ale, Imperial. ABV: 8.5%. Type: ale, amber, imperial. Ingredients: none.","ShuBrew Heart and Sole Imperial Red Ale by ShuBrew. Style: Red Ale, Imperial. ABV: 6.8%. Type: ale, imperial. Ingredients: none."
85,0,"C N Red Imperial Red Ale by Redwood Lodge. Style: Red Ale, Imperial Amber. ABV: 8.1%. Type: ale, amber, imperial. Ingredients: none.","Ballast Point Tongue Buckler Imperial Red Ale by Ballast Point Brewing Company. Style: Red Ale, Imperial Strong. ABV: 10.0%. Type: ale, imperial. Ingredients: none."
86,0,"Deranger Imperial Red Ale by Laurelwood Public House & Brewery. Style: Red Ale, Imperial. ABV: 8.6%. Type: ale, amber, imperial. Ingredients: none.","Renegade Scarlett Letter Imperial Red Ale by Renegade Brewing Company. Style: Ale, Imperial. ABV: 8.5%. Type: ale, imperial. Ingredients: none."
87,0,"All American Red Ale by Centennial Beer Co. Style: Red Ale, Amber. ABV: 5.0%. Type: ale, amber. Ingredients: none.","Stadin American Red Ale by Stadin Panimo. Style: Red Ale, American Amber. ABV: 4.5%. Type: ale, amber. Ingredients: none."
88,0,"Bulleit Bourbon Barrel Aged G'Knight by Oskar Blues Grill & Brew. Style: Amber Ale, Barrel-Aged. ABV: 8.7%. Type: ale, amber. Ingredients: bourbon.","Lompoc Bourbon Barrel Aged Old Tavern Rat by Lompoc Brewing. Style: Barley Wine, Barrel-Aged. ABV: 9.7%. Type: ale. Ingredients: bourbon."
89,0,"Big V Amber Ale by FreeWheel Brewing Company. Style: Red Ale, Amber. ABV: 4.0%. Type: ale, amber. Ingredients: none.","Big Texan Texas Red Amber Ale by Big Texan Brewery. Style: Red Ale, Amber. ABV: 4.5%. Type: ale, amber. Ingredients: none."
90,0,"Double Dread Imperial Red Ale by Mad River Brewing Company. Style: Red Ale, Imperial. ABV: 8.6%. Type: ale, amber, imperial. Ingredients: none.","Lagunitas Imperial Red Ale by Lagunitas Brewing Company (Heineken). Style: Red Ale, Imperial. ABV: 7.8%. Type: ale, imperial. Ingredients: none."
