id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price,left_normalized_title,right_normalized_title,left_brand,right_brand,left_product_line,right_product_line,left_version,right_version,left_edition,right_edition,left_is_upgrade,right_is_upgrade,left_product_type,right_product_type,left_normalized_price,right_normalized_price,left_price_category,right_price_category,left_platform,right_platform
19,0,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),,719.04,Microsoft Windows Server 2003,Microsoft Windows Terminal Server 2003 Client,Microsoft,Microsoft,Windows Server,Windows Terminal Server,2003,2003,,,False,False,server software,software,3371.85,719.04,high,high,,
20,0,microsoft office & windows training professional,topics entertainment,49.95,adobe after effects cs3 professional software for windows effects software,,998.95,Microsoft Office & Windows Training Professional,Adobe After Effects CS3 Professional,Microsoft,Adobe,,After Effects,,CS3,,Professional,False,,training software,software,49.95,998.95,low,high,,Windows
21,0,dk smart steps 3rd grade,global-software-publishing,9.99,smart steps 4th grade ( jc ),dorling-kindersley-multimedia - ( dk ),11.95,DK Smart Steps 3rd Grade,Dorling-Kindersley-Multimedia Smart Steps 4th Grade,Global-Software-Publishing,Dorling-Kindersley-Multimedia,Smart Steps,Smart Steps,,,3rd Grade,4th grade (JC),False,False,educational software,education software,9.99,11.95,low,low,,
22,0,microsoft office small business 2007 full version,microsoft,449.95,microsoft office 2004 std upgrade,,219.99,Microsoft Office Small Business 2007,Microsoft Office 2004 Std,Microsoft,Microsoft,Office Small Business,Office,2007,2004,Full Version,Std,False,True,software,software,449.95,219.99,high,medium,,
23,0,best of card games ( jewel case ),on-hand-software,9.99,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59,Best of Card Games,Geometry,On-Hand Software,,,,,10158,,,False,False,game,video game,9.99,9.59,low,low,,win/mac
24,0,instant immersion german audio,topics entertainment,,topics entertainment instant immersion italian 2.0,,17.55,Instant Immersion German Audio,Instant Immersion Italian,Topics Entertainment,,,,,2.0,,,False,False,language learning software,language learning software,,17.55,,low,,
25,0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft ( r ) money 2004 standard,,29.99,Microsoft PowerPoint,Microsoft Money 2004 Standard,Microsoft,Microsoft,PowerPoint,Money,2004,2004,,Standard,True,,software,software,109.99,29.99,low,low,Mac,
26,0,onone software pxl smartscale windows and macintosh ),onone software,,onone software inc. mpr-40212,onone software inc.,66.27,Onone Pxl Smartscale,onone mpr-40212,Onone Software,onone software inc.,Pxl Smartscale,,,,,,False,False,software,software,0.0,66.27,low,low,"['Windows', 'Macintosh']",
27,0,microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,5479.0,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0,Microsoft Visual Studio Team Edition for Software Developers 2005,Microsoft Visual Studio Pro,Microsoft,Microsoft,Visual Studio,,2005,2005,Team Edition for Software Developers,,False,True,software development tool,software,5479.0,549.0,extremely high,high,,PC
28,1,microsoft word 2007 version upgrade,microsoft,109.95,microsoft word 2007 upgrade ( pc ),,109.95,Microsoft Word 2007,Microsoft Word 2007,Microsoft,Microsoft,,Word,2007,2007,,,true,True,software,software,109.95,109.95,low,low,,PC
29,0,microsoft word 2007 version upgrade,microsoft,109.95,word mac 2004 upgrade microsoft d48-00488,,97.36,Microsoft Word 2007,Microsoft Word Mac,Microsoft,Microsoft,Word,,2007,2004,,,True,true,software,office software,109.95,97.36,low,low,,Mac
30,0,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96,Adobe Dreamweaver CS3,Adobe Creative Suite 3 Design Standard,Adobe,Adobe,Dreamweaver,Creative Suite,CS3,3,,,True,True,software,software,199.0,859.96,medium,high,Mac,Mac
31,1,hoyle : classic collection 2006,encore,19.99,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,,18.97,Encore Hoyle Classic Collection,Encore Hoyle Classic Collection,Encore,Encore,Hoyle Classic Collection,Hoyle Classic Collection,2006,2006,,,False,False,board game or card collection software,software,19.99,18.97,low,low,,Windows
32,0,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,adobe cs3 design premium academic,,575.99,Adobe InDesign CS3,Adobe Creative Suite 3 Design Premium,Adobe,Adobe,InDesign,Creative Suite,CS3,3,,Design Premium (Academic),True,False,software,software,199.0,575.99,low,high,Mac,
33,0,midway arcade treasures ( jewel case ),encore software,9.99,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59,Midway Arcade Treasures,Cross Stitch Design Studio,Encore Software,M-and-R-Technologies,,,,8006,,,False,False,game,software,9.99,9.59,low,low,,
34,0,digital vault,stompsoft inc.,29.99,digital video & audio prod book,sony-pictures-digital-entertainment,27.5,Digital Vault,Digital Video & Audio Production Book,Stompsoft Inc.,Sony Pictures Digital Entertainment,,,,,,,False,False,unknown,book,29.99,27.5,low,low,,
35,0,microsoft windows vista business full version [ dvd ],microsoft,299.95,microsoft powerpoint mac 2004 version upgrade,,89.99,Microsoft Windows Vista Business,Microsoft PowerPoint Mac,Microsoft,Microsoft,Windows Vista,,Full Version,2004,Business,,false,true,operating system,software,299.95,89.99,medium,low,,Mac
36,0,zero-g pro pack for garageband ( appleloops ),zero-g,169.95,apple garageband jam pack : symphony orchestra,,95.99,Zero-G Pro Pack for GarageBand (AppleLoops),GarageBand Jam Pack: Symphony Orchestra,Zero-G,Apple,,GarageBand,,,,Jam Pack,False,False,software instrument pack,software,169.95,95.99,high,low,Mac,Mac
37,0,microsoft asp net web matrix,microsoft,30.0,microsoft ( r ) word 2007,,109.99,Microsoft ASP .NET Web Matrix,Microsoft Word 2007,Microsoft,Microsoft,,Word,,2007,,,False,False,development tool,software,30.0,109.99,low,low,,
38,0,instant immersion german deluxe 2.0,topics entertainment,39.99,instant immersion japanese 2.0,,22.43,Instant Immersion German Deluxe,Instant Immersion Japanese,Topics Entertainment,,,,2.0,2.0,Deluxe,,False,False,language learning software,language learning software,39.99,22.43,low,low,,
39,0,punch ! professional home design platinum v10,punch ! software,99.0,punch software 41100 punch ! home design architectural series 18,punch software,118.99,Punch ! Professional Home Design Platinum,Punch Software Home Design Architectural Series,Punch ! Software,Punch Software,Professional Home Design,Home Design Architectural Series,10,,Platinum,,False,False,home design software,software,99.0,118.99,low,low,,
40,0,instant immersion german deluxe 2.0,topics entertainment,39.99,instant immers french dlx 2,,27.57,Instant Immersion German Deluxe,Instant Immers French DLX,Topics Entertainment,,,immers,2.0,2,Deluxe,DLX,False,False,language learning software,instant coffee,39.99,27.57,low,low,,
41,0,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87,Adobe Creative Suite CS3 Design Standard,Adobe Creative Suite 3 Web Premium,Adobe,Adobe,Creative Suite,Creative Suite,CS3,3,Design Standard,,,,software,software,1199.0,1691.87,high,high,Mac,Mac
42,0,microsoft crm small business ed cal 3.0 license pack user cal,microsoft software,9929.0,r18-00144 microsoft windows server license & software assurance 1 cal open business,,41.58,Microsoft CRM Small Business Edition,Microsoft Windows Server,Microsoft,Microsoft,CRM,Windows Server,3.0,,Small Business Ed,Standard,False,False,software,software,9929.0,41.58,very high,low,,server
43,0,digidesign music production toolkit ( pro tools le ),digidesign,495.0,apple/emagic logic pro 7.2 software music production software,,999.0,Digidesign Pro Tools LE,Logic Pro 7.2,Digidesign,Apple/E-magic,Pro Tools,Logic Pro,,7.2,LE,,False,False,audio software,audio software,495.0,999.0,high,high,,
44,0,adobe creative suite cs3 master collection upsell,adobe,1999.0,adobe cs3 after effects,,1025.99,Adobe Creative Suite CS3 Master Collection,Adobe Creative Suite 3 After Effects,Adobe,Adobe,Creative Suite,Creative Suite,CS3,3,,,False,False,software,software,1999.0,1025.99,high,high,,
45,0,hoyle kids ' games jc,encore,9.99,hoyle card games,,9.95,Encore Hoyle Kids' Games,Hoyle Card Games,Encore,Hoyle,Hoyle,,,,Kids' Games,,False,False,board game or card game,game,9.99,9.95,low,low,,
46,0,net ad creator,laughing bird,39.99,laughingbird the logo creator,,34.99,Net Ad Creator,Laughingbird The Logo Creator,Laughing Bird,,,,,,,,False,False,software,software,39.99,34.99,low,low,,
47,1,reel deal slots 2.0 for pc,phantom efx,9.99,phantom efx reel deal slots v 2.0,,7.36,Reel Deal Slots 2.0,Phantom EFX Reel Deal Slots V2,Phantom Efx,Phantom EFX,,,2.0,V2.0,,,False,False,casino game,game/software,9.99,7.36,low,low,pc,
48,0,adobe creative suite cs3 web standard [ mac ],adobe,999.0,adobe production premium cs3 software suite for mac av production software,,1698.95,Adobe Creative Suite CS3 Web Standard,Adobe Production Premium CS3,Adobe,Adobe,Creative Suite,Production Premium,CS3,CS3,Web Standard,,,False,software,software suite,999.0,1698.95,very high,high,Mac,Mac
49,0,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87,Adobe Creative Suite CS3 Design Premium,Adobe Creative Suite 3 Web Premium,Adobe,Adobe,Creative Suite,Creative Suite,CS3,3,Design Premium,Web Premium,true,False,software,software,1599.0,1691.87,high,high,Mac,Mac
50,0,windows vista business spanish full version [ dvd ],microsoft,329.95,microsoft windows vista business full version,,249.95,Windows Vista Business,Microsoft Windows Vista Business,Microsoft,Microsoft,Vista,Windows Vista,full,,Business,Business Full Version,,False,operating system,operating system,329.95,249.95,high,medium,,
51,0,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,quickbooks ( r ) pro 2007 edition 3-user,,499.99,QuickBooks POS Pro Multi-Store,QuickBooks Pro 2007,Intuit,Intuit,QuickBooks POS,QuickBooks,6.0,2007,Pro Multi-Store,3-user,,,point of sale software,accounting software,1399.95,499.99,high,high,,
52,0,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,,microsoft ( r ) office word 2004 for mac full version,,231.29,Microsoft Office Mac,Microsoft Office Word 2004,Microsoft Corporation,Microsoft,Office,Office,2004,2004,,,False,False,office software,software,,231.29,,medium,Mac,Mac
53,0,instant immersion spanish deluxe 2.0,topics entertainment,49.99,instant immersion italian 2.0,topics entertainment,20.99,Instant Immersion Spanish Deluxe,Instant Immersion Italian,Topics Entertainment,Topics Entertainment,,,2.0,2.0,Deluxe,,False,False,language learning software,language learning software,49.99,20.99,low,low,,
54,0,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe software,273.0,adobe acrobat v8 .0 professional for mac,,405.99,Adobe Acrobat Pro,Adobe Acrobat V8.0 Professional,Adobe,Adobe,Acrobat,,,V8.0,Pro Upgrade,Professional,True,False,software,software,273.0,405.99,medium,high,Mac,Mac
55,0,apple final cut studio 2 ( mac ),apple,1299.0,adobe flash cs3 professional ( mac ),,699.0,Apple Final Cut Studio 2,Adobe Flash CS3 Professional,Apple,Adobe,Final Cut Studio,Flash,2,CS3,,Professional,False,,video editing software,software,1299.0,699.0,high,high,Mac,Mac
56,0,reference success deluxe 2006,topics entertainment,49.95,high school success deluxe 2006,,7.9,Topics Entertainment Success Deluxe,High School Success Deluxe,Topics Entertainment,,Success,Success,2006,2006,,Deluxe,False,False,software,educational software,49.95,7.9,low,low,,
57,0,microsoft windows vista business 32-bit for system builders,microsoft,179.99,microsoft ( r ) windows vista ( tm ) home basic,,99.99,Microsoft Windows Vista Business,Microsoft Windows Vista Home Basic,Microsoft,Microsoft,Windows Vista,,,,Business,Home Basic,False,False,operating system,operating system,179.99,99.99,medium,low,Windows,
58,0,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,microsoft ( r ) excel 2007,,109.99,Microsoft Visual Studio Professional,Microsoft Excel 2007,Microsoft,Microsoft,Visual Studio,,2005,2007,Professional,,True,False,software,software,549.0,109.99,high,low,,
59,0,peachtree by sage premium accounting 2007,sage software,499.99,sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,,590.35,Sage Peachtree Premium Accounting,Sage Premium Accounting for Nonprofits,Sage,Sage,Peachtree,Premium Accounting,2007,2007,Premium,RT,,False,accounting software,accounting software,499.99,590.35,high,high,,
60,0,adobe creative suite cs3 production premium,adobe,1699.0,adobe cs3 production premium upgrade,,822.99,Adobe Creative Suite CS3 Production Premium,Adobe Creative Suite 3 Production Premium,Adobe,Adobe,Creative Suite,Creative Suite,CS3,3,Production Premium,Production Premium,,True,software,software,1699.0,822.99,very high,high,,
61,0,microsoft sql server developer edition 2005 cd/dvd,microsoft software,49.95,395-03824 microsoft exchange server 2007 enterprise edition complete package 1 server,,6594.2,Microsoft SQL Server Developer Edition,Microsoft Exchange Server 2007 Enterprise Edition,Microsoft,Microsoft,SQL Server,Exchange Server,2005,2007,Developer,Enterprise Edition,False,False,database software,server software,49.95,6594.2,low,very high,,
62,0,computrace lojack for laptops 1 year license ( mac ),absolute software,49.95,lfl-n2-12 computrace lojack for laptops subscription package 1 year 1 notebook m,,39.95,Absolute Software Computrace Lojack for Laptops,LoJack for Laptops Subscription Package,Absolute Software,,Computrace Lojack,,,,,,False,False,software license,software_subscription,49.95,39.95,low,low,Mac,
63,0,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,pinnacle mobile media converter software for windows ipod software,,29.95,ValueSoft Tune Transfer for iPod,Pinnacle Mobile Media Converter Software,ValueSoft,,,Mobile Media Converter Software,,,,,False,False,software,software,29.95,29.95,low,low,Windows XP,Windows
64,0,sibelius 4 professional edition,sibelius-software-ltd .,599.99,sibelius sibelius 5 software music production software,sibelius-software-ltd .,449.95,Sibelius Professional Edition,Sibelius Sibelius 5,Sibelius-Software-Ltd,Sibelius Software Ltd.,Sibelius,Sibelius,,5,Professional,,,False,audio software,audio software,599.99,449.95,high,high,,
65,0,microsoft entertainment pack ce,microsoft,49.5,entertainment partners ep budgeting for film,,415.99,Microsoft Entertainment Pack CE,Entertainment Partners EP Budgeting for Film,Microsoft,,,EP Budgeting,,,,,False,False,software,software,49.5,415.99,low,high,,
66,0,adobe premiere pro 2.0,adobe,849.0,premiere pro cs3 mac upgrade,,320.25,Adobe Premiere Pro,Premiere Pro CS3,Adobe,,Premiere Pro,Premiere Pro,2.0,CS3,,,False,true,video editing software,video editing software,849.0,320.25,high,medium,,Mac
67,0,microsoft office small business 2007,microsoft software,735.33,microsoft windows vista business retail no open box returns,,299.99,Microsoft Office Small Business,Microsoft Windows Vista Business,Microsoft,Microsoft,Office,Windows Vista,2007,,,Business Retail No Open Box Returns,False,False,office software,operating system,735.33,299.99,high,low,,
68,1,world of rainbow fish,global-software-publishing,19.99,world of rainbow fish ( a9839m2h ),global-software-publishing,19.19,World of Rainbow Fish,World of Rainbow Fish,Global Software Publishing,Global Software Publishing,,,,,,,False,False,software,unknown,19.99,19.19,low,low,,
69,0,mcafee internet security suite 2007 3 users,mcafee,89.99,f-secure internet security 2007 3 pcs ( global marketing partners ),global-marketing-partners,63.35,Mcafee Internet Security Suite,F-Secure Internet Security 2007,Mcafee,F-Secure,Internet Security Suite,,2007,2007,,,False,False,antivirus software,security software,89.99,63.35,low,low,,
70,0,sonicwall gms standard edition 10 node license,sonicwall,,01-ssc-7309 sonicwall cfs standard edition for sonicwall pro 1260/2040/3060 / 4060 subscript,,2124.92,SonicWall GMS Standard Edition,SonicWall CFS Standard Edition,SonicWall,SonicWall,GMS,CFS,10,,Standard,Standard Edition,,False,security software,security software,,2124.92,,high,,
71,0,microsoft windows vista ultimate full version [ dvd ],microsoft,399.95,microsoft ( r ) windows vista ( tm ) home premium,,239.99,Microsoft Windows Vista Ultimate,Microsoft Windows Vista Home Premium,Microsoft,Microsoft,,Windows,,Vista,Ultimate Full Version,Home Premium,False,,operating system,operating system,399.95,239.99,high,medium,,
72,1,irispen express translator,iris,149.99,iris inc irispen express translator,,142.29,IrisPen Express Translator,Iris IrisPen Express Translator,iris,iris inc,,IrisPen,,,,,False,False,other,hardware/accessory,149.99,142.29,low,medium,,
73,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft mappoint 2006 with gps locator ( pc ),,349.99,Microsoft Office 2004 Standard,Microsoft MapPoint 2006,Microsoft,Microsoft,Office,MapPoint,2004,2006,Standard,,True,False,office software,software,239.99,349.99,medium,high,Mac,PC
74,0,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,adobe dreamweaver cs3 upgrade windows,,236.74,Adobe InDesign CS3,Adobe Dreamweaver CS3,Adobe,Adobe,InDesign,Dreamweaver,CS3,CS3,,,true,true,software,software,199.0,236.74,medium,medium,,Windows
75,0,microsoft powerpoint 2004 ( mac ),microsoft,229.99,microsoft ( r ) office ultimate 2007,,539.95,Microsoft PowerPoint 2004,Microsoft Office Ultimate 2007,Microsoft,Microsoft,PowerPoint,Office,2004,2007,,,False,False,software,software,229.99,539.95,high,high,Mac,
76,0,microspot macdraft professional ( mac ),microspot ltd.,349.99,adobe acrobat v8 .0 professional for mac,,405.99,Microspot MacDraft Professional,Adobe Acrobat V8.0 Professional,Microspot,Adobe,MacDraft,Acrobat,,V8.0,Professional,Professional,False,,software,software,349.99,405.99,medium,high,Mac,Mac
77,0,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,,adobe photoshop cs3 extended complete package 1 user academic cd mac,,279.0,Adobe Photoshop Elements 4.0,Adobe Photoshop CS3 Extended,Adobe,Adobe,Elements,,4.0,CS3,,Extended Complete Package 1 User Academic CD Mac,False,False,creative software,software,,279.0,,medium,"Windows, French",Mac
78,1,snap ! spelling ( jewel case ),topics entertainment,19.95,spelling,,4.93,Snap Spelling (Jewel Case),Spelling,Topics Entertainment,,,,,,,,False,False,software,education software,19.95,4.93,low,low,,
79,0,netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ),netmanage,,bhe3dus installanywhere enterprise edition v. 8 product upgrade license + 1 year,,4746.16,NetManage Rumba Unix-Hp Edition,InstallAnywhere Enterprise Edition,NetManage,,,installanywhere,7.3,8,Unix-Hp,Enterprise,True,True,software,software,,4746.16,,high,,
80,0,zonealarm internet security suite,zone labs,49.99,panda software panda internet security 2007,,69.99,ZoneAlarm Internet Security Suite,Panda Software Panda Internet Security,Zone Labs,Panda Software,Internet Security Suite,Internet Security,,2007,,,False,False,security software,antivirus software,49.99,69.99,low,low,,
81,0,mediafour macdrive 6 for windows,mediafour corporation,49.99,quark quarkxpress 7 upgrade for mac & windows,,244.99,Mediafour MacDrive 6,Quark QuarkXPress 7,Mediafour Corporation,Quark,MacDrive,QuarkXPress,6,7,,,False,True,software,software,49.99,244.99,low,medium,Windows,"['Mac', 'Windows']"
82,0,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft ( r ) office 2004 for mac student and teacher edition,,146.95,Microsoft Office Student and Teacher Edition,Microsoft Office 2004 for Mac Student and Teacher Edition,Microsoft,Microsoft,Office,Office,2004,2004,Student and Teacher Edition,Student and Teacher,,False,office software,software,149.99,146.95,low-medium,medium,Mac,Mac
83,1,microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95,Microsoft Visio Standard 2007,Microsoft Visio Standard 2007,Microsoft,Microsoft,Visio,Visio,2007,2007,Standard,Standard,True,True,software,software,129.95,129.95,medium,medium,,PC
84,0,quicken 2007 premier,intuit,79.95,quickbooks pro 2007 3 user,intuit,398.99,Quicken Premier 2007,QuickBooks Pro,Intuit,Intuit,,QuickBooks,2007,2007,Premier,,False,False,software,accounting software,79.95,398.99,low,high,,
85,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft ( r ) word 2007,,109.99,Microsoft Office 2004 Standard,Microsoft Word 2007,Microsoft,Microsoft,Office,Word,2004,2007,Standard,,True,,software,software,239.99,109.99,high,low,Mac,
86,0,peachtree by sage premium accounting 2007,sage software,499.99,laser checks for peachtree ( r ) accounting for windows 8.0-2005,,106.29,Sage Peachtree Premium Accounting,Peachtree Accounting Checks,Sage,Nan,Peachtree,,2007,,Premium Accounting,,,False,accounting software,checks,499.99,106.29,high,low,,Windows
87,0,adobe dreamweaver cs3 upgrade,adobe,199.0,adobe cs3 flash professional upgrade,,205.99,Adobe Dreamweaver CS3,Adobe Creative Suite 3 Flash Professional,Adobe,Adobe,Dreamweaver,,CS3,3,,,True,true,software,software,199.0,205.99,low,medium,,
88,1,national geographic presents : redshift 5 planetarium software,topics entertainment,39.99,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),,39.99,National Geographic Redshift 5 Planetarium Software,Redshift 5,National Geographic,National Geographic,Redshift,,5,,,,False,False,software,video,39.99,39.99,low,low,,Windows
89,0,the print shop 22 deluxe,encore,49.99,encore software 11941 the print shop zoom,,17.97,The Print Shop 22 Deluxe,Encore Software The Print Shop Zoom,Encore,,The Print Shop,,,,Deluxe,,,False,software,unknown,49.99,17.97,low,low,,
90,0,panda antivirus 2007,panda software,29.95,norton antivirus 2007 3 user pack,,49.95,Panda Antivirus 2007,Norton Antivirus 2007,Panda Software,Norton,Antivirus,,2007,2007,,,False,False,antivirus software,software,29.95,49.95,low,low,,
91,0,adobe creative suite cs3 production premium upgrade,adobe,799.0,adobe acrobat v8 .0 professional for mac upgrade,,145.99,Adobe Creative Suite CS3 Production Premium,Adobe Acrobat V8,Adobe,Adobe,Creative Suite,Acrobat,CS3,8.0,,Professional,true,True,software,software,799.0,145.99,high,medium,,Mac
92,0,power production storyboard artist 4,power production,,power production storyboard quick 5 software for mac and windows animation software,,299.0,Power Production Storyboard Artist 4,Power Production Storyboard Quick 5,Power Production,,Storyboard Artist,Storyboard Quick,4,5,,,False,False,software,animation software,,299.0,low,medium,,Mac and Windows
93,0,adobe cs3 design standard macosx dvd,adobe,399.0,adobe cs3 web standard,,1035.99,Adobe Creative Suite 3 Design Standard,Adobe CS3 Web Standard,Adobe,Adobe,Creative Suite,CS3,3,3,,Web Standard,False,,software,software,399.0,1035.99,high,high,MacOSX,
