id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price,left_normalized_title,left_brand,left_product_line,left_version,left_edition,left_is_upgrade,left_product_type,left_normalized_price,left_price_category,right_normalized_title,right_brand,right_product_line,right_version,right_edition,right_is_upgrade,right_product_type,right_normalized_price,right_price_category,right_platform,left_platform,left_license_type,right_package_type,left_platforms,right_user_count,right_cal_option,left_node_license,right_license_type,right_packaging,left_media_format,right_quantity,right_platforms,left_language,left_manufacturer_normalized,left_user_limit,right_license,left_medium,left_is_subscription,left_sp_version,right_language,left_region,right_service_pack,left_pack_size,right_user_license,left_from_edition,left_to_edition,left_os,right_publisher,right_ISBN,left_packaging,right_media,left_user_count,left_term_length,left_retail_version,right_os_requirement,left_grade_level,left_device_pack,right_installation_type,left_is_bundle,left_media_type,left_number_of_users,left_os_version,right_number_of_agents,left_media,right_retail_box,left_operating_system,left_subscription_length,right_media_type,left_is_full_version,right_license_duration,left_license_term,left_service_pack,right_retail,right_license_count,right_device_cals,right_operating_system,left_package_type,left_subscription_term,right_grade_range,left_quantity,right_business_model,left_grade_range,right_return_policy,right_operating_systems_supported,right_returns_allowed,right_license_quantity,right_device_type,right_download_type,right_retail_status,left_package_quantity,right_academic,right_os_type,left_number_of_clients,left_with_msdn,left_format,right_warranty,right_sp_version,left_features,right_condition,right_client_count,left_manufacturer_sku,right_additions,right_is_academic,right_licensing_type,right_max_managed_systems,left_includes_dvd,left_package,left_num_devices,right_os_version,right_includes,right_duration,right_activation_key,right_language_support,right_number_of_users,right_numLicenses,left_multi_user_support,left_max_users_supported,right_university_licensing,left_duration,left_from_version,right_software_assurance,right_device_count,left_with_sp2,left_subscription_period,right_operating_system_version,right_license_term,right_package_size,right_grade_level,right_os_versions,right_asin,left_os_integration,right_os_service_pack,right_num_licenses,right_inclusions,left_subscription_duration,right_user_limitation,right_university_edition,right_licenses,right_user_type,right_user_limit,right_manufacturer_id,right_is_oem,right_supported_platforms,left_user_license,right_os_supported,left_package_format,right_cal_license_quantity,left_normalized_pages
26,0,onone software pxl smartscale windows and macintosh ),onone software,,onone software inc. mpr-40212,onone software inc.,66.27,onone Software PXL Smartscale,onone software,PXL Smartscale,,,False,software,,,onone software inc. mpr-40212,onone software inc.,mpr-40212,,,False,unknown,66.27,low,,,,,"['Windows', 'Macintosh']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,5479.0,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0,Microsoft Visual Studio Team Edition for Software Developers 2005,Microsoft,Visual Studio,2005,Team Edition for Software Developers,false,software development environment,5479.0,very high,Microsoft Visual Studio Pro 2005,Microsoft,Visual Studio,2005,Pro,true,software,549.0,high,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,microsoft word 2007 version upgrade,microsoft,109.95,microsoft word 2007 upgrade ( pc ),,109.95,Microsoft Word 2007,Microsoft,Word,2007,,true,software,109.95,low,Microsoft Word 2007,Microsoft,Word,2007,,true,software,109.95,low,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,microsoft word 2007 version upgrade,microsoft,109.95,word mac 2004 upgrade microsoft d48-00488,,97.36,Microsoft Word 2007,Microsoft,Word,2007,,true,software,109.95,low,Microsoft Word Mac 2004 Upgrade,Microsoft,Word,2004,,true,office software,97.36,low,Mac,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96,Adobe Dreamweaver CS3,Adobe,Dreamweaver,CS3,,true,software,199.0,medium,Adobe Creative Suite 3 Design Standard,Adobe,Creative Suite,3,Design Standard,true,software,859.96,very high,Mac,Mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,hoyle : classic collection 2006,encore,19.99,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,,18.97,Hoyle Classic Collection,Encore,Classic Collection,2006,,False,video game,19.99,low,Encore Hoyle Classic Collection,Encore Software,Hoyle,2006,,False,board game or card game software,18.97,low,"Windows 98, ME, XP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,adobe cs3 design premium academic,,575.99,Adobe InDesign CS3,Adobe,InDesign,CS3,,true,software,199.0,medium,Adobe CS3 Design Premium,Adobe,CS3 Design,CS3,Design Premium Academic,false,software,575.99,high,,Mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,midway arcade treasures ( jewel case ),encore software,9.99,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59,Midway Arcade Treasures,Encore Software,Arcade Treasures,,,False,video game,9.99,low,Cross Stitch Design Studio,M and R Technologies,Cross Stitch Design Studio,,,False,software or digital product,9.59,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,digital vault,stompsoft inc.,29.99,digital video & audio prod book,sony-pictures-digital-entertainment,27.5,Digital Vault,StompSoft Inc.,,,,False,unknown/software,29.99,low,Digital Video & Audio Production Book,Sony Pictures Digital Entertainment,,,,False,book,27.5,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,microsoft windows vista business full version [ dvd ],microsoft,299.95,microsoft powerpoint mac 2004 version upgrade,,89.99,Microsoft Windows Vista Business,Microsoft,Windows Vista,Vista,Business,false,operating system,299.95,high,Microsoft PowerPoint Mac 2004,Microsoft,PowerPoint,2004,,True,software,89.99,low,Mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,zero-g pro pack for garageband ( appleloops ),zero-g,169.95,apple garageband jam pack : symphony orchestra,,95.99,Zero-G Pro Pack for GarageBand (AppleLoops),Zero-G,,,,False,music software,169.95,high,Apple GarageBand Jam Pack - Symphony Orchestra,Apple,GarageBand,,,False,software,95.99,low,,Mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,microsoft asp net web matrix,microsoft,30.0,microsoft ( r ) word 2007,,109.99,Microsoft ASP .NET Web Matrix,Microsoft,ASP .NET,,,False,software,30.0,low,Microsoft Word 2007,Microsoft,,2007,,False,software,109.99,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,instant immersion german deluxe 2.0,topics entertainment,39.99,instant immersion japanese 2.0,,22.43,Instant Immersion German Deluxe,Topics Entertainment,Instant Immersion,2.0,,False,language learning software,39.99,low,Instant Immersion Japanese 2.0,NAN,Instant Immersion,2.0,,False,language learning software,22.43,low,,multi-platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,punch ! professional home design platinum v10,punch ! software,99.0,punch software 41100 punch ! home design architectural series 18,punch software,118.99,Punch ! Professional Home Design Platinum,Punch ! Software,Professional Home Design,10,Platinum,false,home design software,99.0,low,Punch Software Punch ! Home Design Architectural Series 18,Punch Software,Punch ! Home Design Architectural,18,,False,software,118.99,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,instant immersion german deluxe 2.0,topics entertainment,39.99,instant immers french dlx 2,,27.57,Instant Immersion German Deluxe 2.0,Topics Entertainment,,2.0,Deluxe,False,language learning software,39.99,low,Instant Immers French Deluxe,Nan,,,DLX 2,False,language software,27.57,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87,Adobe Creative Suite CS3 Design Standard,Adobe,Creative Suite,CS3,Design Standard,False,software,1199.0,high,Adobe Creative Suite 3 Web Premium Complete Package,Adobe,Creative Suite,3,,False,software,1691.87,very high,Mac,Mac,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,microsoft crm small business ed cal 3.0 license pack user cal,microsoft software,9929.0,r18-00144 microsoft windows server license & software assurance 1 cal open business,,41.58,Microsoft CRM Small Business Edition 3.0,Microsoft,CRM (Customer Relationship Management),3.0,Small Business Edition,false,software,9929.0,high,Microsoft Windows Server,Microsoft,Windows Server,,,False,server software,41.58,low,open business,,,,,,1 cal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
