id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price,left_canonical_name,left_base_product,left_brand,left_version,left_edition,left_category,left_is_upgrade,left_platform,right_canonical_name,right_base_product,right_brand,right_version,right_edition,right_category,right_is_upgrade,right_platform,left_windows_version
19,0,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),,719.04,win svr 2003 ext conn lic,win svr,microsoft,2003,ext conn,operating system,False,windows,windows terminal server 2003 client,terminal,microsoft,2003,client,operating system,False,windows,
20,0,microsoft office & windows training professional,topics entertainment,49.95,adobe after effects cs3 professional software for windows effects software,,998.95,office & windows training professional,office,microsoft,unknown,professional,education,False,windows,after effects cs3 professional,adobe after effects,adobe,cs3,professional,design,False,windows,
21,0,dk smart steps 3rd grade,global-software-publishing,9.99,smart steps 4th grade ( jc ),dorling-kindersley-multimedia - ( dk ),11.95,dk smart steps 3rd grade,dk smart steps,global-software-publishing,3rd grade,unknown,education,False,unknown,smart steps 4th grade,smart steps,dorling-kindersley-multimedia - ( dk ),4th grade,unknown,education,False,unknown,
22,0,microsoft office small business 2007 full version,microsoft,449.95,microsoft office 2004 std upgrade,,219.99,microsoft office small business 2007,office,microsoft,2007,small business,office,False,windows,microsoft office 2004 std,office,microsoft,2004,std,office,True,unknown,
23,0,best of card games ( jewel case ),on-hand-software,9.99,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59,best of card games,card games,on-hand-software,unknown,unknown,utility,False,unknown,geometry,geometry,unknown,unknown,unknown,utility,False,windows/mac,
24,0,instant immersion german audio,topics entertainment,,topics entertainment instant immersion italian 2.0,,17.55,instant immersion german audio,instant immersion,topics entertainment,unknown,unknown,media,False,unknown,topics entertainment instant immersion italian,topics,unknown,2.0,unknown,unknown,False,unknown,
25,0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft ( r ) money 2004 standard,,29.99,powerpoint 2004,powerpoint,microsoft,2004,unknown,office,True,mac,money 2004 standard,microsoft money,microsoft,2004,standard,utility,False,windows,
26,0,onone software pxl smartscale windows and macintosh ),onone software,,onone software inc. mpr-40212,onone software inc.,66.27,pxl smartscale,pxl,onone software,unknown,unknown,utility,False,"windows, macintosh",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
27,0,microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,5479.0,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0,visual studio team edition for software developers 2005,visual studio,microsoft,2005,team edition for software developers,office,False,windows,visual studio pro 2005,visual studio,microsoft,2005,pro,office,True,windows,
28,1,microsoft word 2007 version upgrade,microsoft,109.95,microsoft word 2007 upgrade ( pc ),,109.95,word 2007,word,microsoft,2007,unknown,office,True,windows,word 2007,word,microsoft,2007,unknown,office,True,windows,
29,0,microsoft word 2007 version upgrade,microsoft,109.95,word mac 2004 upgrade microsoft d48-00488,,97.36,word 2007,word,microsoft,2007,standard,office,True,windows,word mac 2004,word,microsoft,2004,unknown,office,True,mac,
30,0,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96,dreamweaver cs3,creative suite,adobe,cs3,upgrade,design,True,mac,creative suite 3 design standard,creative suite,adobe,cs3,standard,design,True,mac,
31,1,hoyle : classic collection 2006,encore,19.99,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,,18.97,hoyle classic collection 2006,hoyle,encore,2006,classic collection,utility,False,unknown,hoyle classic collection 2006,encore software hoyle,encore software,2006,classic collection,utility,False,windows,
32,0,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,adobe cs3 design premium academic,,575.99,indesign cs3,creative suite,adobe,cs3,upgrade from pagemaker,design,True,mac,cs3 design premium,creative suite,adobe,cs3,premium,design,False,unknown,
33,0,midway arcade treasures ( jewel case ),encore software,9.99,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59,midway arcade treasures,arcade treasures,encore software,unknown,unknown,utility,False,unknown,cross stitch design studio,cross stitch design studio,m-and-r-technologies,unknown,unknown,design,False,unknown,
34,0,digital vault,stompsoft inc.,29.99,digital video & audio prod book,sony-pictures-digital-entertainment,27.5,digital vault,vault,stompsoft,unknown,unknown,utility,False,unknown,digital video & audio prod book,digital video & audio production book,sony-pictures-digital-entertainment,unknown,unknown,utility,False,unknown,
35,0,microsoft windows vista business full version [ dvd ],microsoft,299.95,microsoft powerpoint mac 2004 version upgrade,,89.99,windows vista business,windows,microsoft,vista,business,operating system,False,windows,powerpoint 2004,powerpoint,microsoft,2004,unknown,office,True,mac,
36,0,zero-g pro pack for garageband ( appleloops ),zero-g,169.95,apple garageband jam pack : symphony orchestra,,95.99,zero-g pro pack for garageband,garageband,apple,unknown,pro,education,False,mac,garageband jam pack symphony orchestra,garageband,apple,unknown,unknown,utility,False,unknown,
37,0,microsoft asp net web matrix,microsoft,30.0,microsoft ( r ) word 2007,,109.99,asp net web matrix,asp net,microsoft,web matrix,unknown,utility,False,windows,word 2007,word,microsoft (r),2007,unknown,office,False,windows,
38,0,instant immersion german deluxe 2.0,topics entertainment,39.99,instant immersion japanese 2.0,,22.43,instant immersion german deluxe 2.0,instant immersion,topics entertainment,2.0,deluxe,education,False,unknown,instant immersion japanese 2.0,instant immersion,unknown,2.0,unknown,education,False,unknown,
39,0,punch ! professional home design platinum v10,punch ! software,99.0,punch software 41100 punch ! home design architectural series 18,punch software,118.99,punch ! professional home design platinum v10,punch!,punch ! software,v10,platinum,design,False,unknown,punch ! home design architectural series,punch software,punch,18,home,design,False,unknown,
40,0,instant immersion german deluxe 2.0,topics entertainment,39.99,instant immers french dlx 2,,27.57,instant immersion german deluxe 2.0,instant immersion,topics entertainment,2.0,deluxe,education,False,unknown,instant immers french dlx,instant,unknown,2,dlx,education,False,unknown,
41,0,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87,creative suite cs3 design standard,creative suite,adobe,cs3,design standard,design,False,mac,creative suite 3 web premium,creative suite,adobe,cs3,web premium,design,False,mac,
42,0,microsoft crm small business ed cal 3.0 license pack user cal,microsoft software,9929.0,r18-00144 microsoft windows server license & software assurance 1 cal open business,,41.58,microsoft crm small business ed cal 3.0,dynamics crm,microsoft,3.0,small business ed cal,office,False,unknown,windows server license & software assurance,windows server,microsoft,unknown,license & software assurance,operating system,False,windows,
43,0,digidesign music production toolkit ( pro tools le ),digidesign,495.0,apple/emagic logic pro 7.2 software music production software,,999.0,pro tools le,pro tools,digidesign,le,unknown,education,False,unknown,logic pro 7.2,logic pro,apple/emagic,7.2,unknown,music,False,unknown,
44,0,adobe creative suite cs3 master collection upsell,adobe,1999.0,adobe cs3 after effects,,1025.99,creative suite cs3 master collection,creative suite,adobe,cs3,master collection,design,False,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
45,0,hoyle kids ' games jc,encore,9.99,hoyle card games,,9.95,hoyle kids' games jc,hoyle,encore,unknown,jc,education,False,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
46,0,net ad creator,laughing bird,39.99,laughingbird the logo creator,,34.99,net ad creator,adobe net,laughing bird,unknown,unknown,design,False,windows,the logo creator,logo creator,laughingbird,unknown,unknown,design,False,unknown,
47,1,reel deal slots 2.0 for pc,phantom efx,9.99,phantom efx reel deal slots v 2.0,,7.36,reel deal slots 2.0,reel deal slots,phantom efx,2.0,unknown,utility,False,pc,phantom efx reel deal slots v 2.0,reel deal slots,phantom efx,v 2.0,unknown,utility,False,unknown,
48,0,adobe creative suite cs3 web standard [ mac ],adobe,999.0,adobe production premium cs3 software suite for mac av production software,,1698.95,creative suite cs3 web standard,creative suite,adobe,cs3,web standard,design,False,mac,production premium cs3,creative suite,adobe,cs3,premium,media,False,mac,
49,0,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87,creative suite cs3 design premium,creative suite,adobe,cs3,premium,design,False,mac,creative suite 3 web premium,creative suite,adobe,cs3,web premium,design,False,mac,
50,0,windows vista business spanish full version [ dvd ],microsoft,329.95,microsoft windows vista business full version,,249.95,windows vista business,windows vista,microsoft,vista,business,operating system,False,windows,windows vista business,windows vista,microsoft,vista,business,operating system,False,windows,
51,0,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,quickbooks ( r ) pro 2007 edition 3-user,,499.99,quickbooks pos : pro multistore,quickbooks,intuit,6.0,pro multistore,utility,False,unknown,quickbooks pro 2007,quickbooks,intuit,2007,3-user pro edition,education,False,unknown,
52,0,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,,microsoft ( r ) office word 2004 for mac full version,,231.29,office mac 2004,office,microsoft corporation,2004,english 3pk,office,False,mac,office word 2004,word,microsoft (r),2004,full version,office,False,mac,
53,0,instant immersion spanish deluxe 2.0,topics entertainment,49.99,instant immersion italian 2.0,topics entertainment,20.99,instant immersion spanish deluxe,instant immersion,topics entertainment,2.0,deluxe,education,False,unknown,instant immersion italian,instant immersion,topics entertainment,2.0,unknown,education,False,unknown,
54,0,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe software,273.0,adobe acrobat v8 .0 professional for mac,,405.99,acrobat pro upgrd pro-pro,acrobat,adobe software,pro-upgrd pro-pro,unknown,utility,True,mac,acrobat v8.0 professional,adobe acrobat,adobe,v8.0,professional,utility,False,mac,
55,0,apple final cut studio 2 ( mac ),apple,1299.0,adobe flash cs3 professional ( mac ),,699.0,final cut studio 2,final cut studio,apple,2,studio,media,False,mac,flash cs3 professional,flash,adobe,cs3,professional,design,False,mac,
56,0,reference success deluxe 2006,topics entertainment,49.95,high school success deluxe 2006,,7.9,reference success deluxe 2006,reference success,topics entertainment,2006,deluxe,unknown,False,unknown,high school success deluxe 2006,high school success,unknown,2006,deluxe,education,False,unknown,
57,0,microsoft windows vista business 32-bit for system builders,microsoft,179.99,microsoft ( r ) windows vista ( tm ) home basic,,99.99,windows vista business,windows vista,microsoft,vista,business,operating system,False,32-bit,windows vista home basic,windows,microsoft,vista,home basic,operating system,False,windows,
58,0,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,microsoft ( r ) excel 2007,,109.99,visual studio professional 2005,visual studio,microsoft,2005,professional,education,True,windows,excel 2007,excel,microsoft,2007,unknown,office,False,windows,
59,0,peachtree by sage premium accounting 2007,sage software,499.99,sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,,590.35,peachtree premium accounting 2007,peachtree,sage software,2007,premium,accounting,False,unknown,ptree vernfp2007rt premium accounting for nonprofits 2007,sage ( ptree ) vernfp2007rt,sage,2007,premium,accounting,False,unknown,
60,0,adobe creative suite cs3 production premium,adobe,1699.0,adobe cs3 production premium upgrade,,822.99,creative suite cs3 production premium,creative suite,adobe,cs3,production premium,design,False,unknown,cs3 production premium,creative suite,adobe,cs3,premium,design,True,unknown,
61,0,microsoft sql server developer edition 2005 cd/dvd,microsoft software,49.95,395-03824 microsoft exchange server 2007 enterprise edition complete package 1 server,,6594.2,sql server developer edition 2005,sql server,microsoft software,2005,developer,database management,False,windows,microsoft exchange server 2007 enterprise edition,exchange server,microsoft,2007,enterprise edition,office,False,windows,
62,0,computrace lojack for laptops 1 year license ( mac ),absolute software,49.95,lfl-n2-12 computrace lojack for laptops subscription package 1 year 1 notebook m,,39.95,lojack for laptops,computrace lojack,absolute software,1 year license,unknown,utility,False,mac,lfl-n2-12 computrace lojack for laptops,lojack,mcafee,1 year,subscription package,utility,False,unknown,
63,0,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,pinnacle mobile media converter software for windows ipod software,,29.95,valuesoft tune transfer,valuesoft tune,valuesoft,unknown,unknown,utility,False,windows,pinnacle mobile media converter software,mobile media converter,pinnacle,unknown,unknown,utility,False,windows,
64,0,sibelius 4 professional edition,sibelius-software-ltd .,599.99,sibelius sibelius 5 software music production software,sibelius-software-ltd .,449.95,sibelius 4 professional edition,sibelius,sibelius-software-ltd,4,professional,education,False,unknown,sibelius 5,sibelius,sibelius-software-ltd,5,software,music production,False,unknown,
65,0,microsoft entertainment pack ce,microsoft,49.5,entertainment partners ep budgeting for film,,415.99,entertainment pack ce,windows entertainment pack,microsoft,ce,unknown,utility,False,windows,ep budgeting for film,ep budgeting for film,entertainment partners,unknown,unknown,utility,False,unknown,
66,0,adobe premiere pro 2.0,adobe,849.0,premiere pro cs3 mac upgrade,,320.25,adobe premiere pro 2.0,premiere pro,adobe,2.0,pro,video editing,False,unknown,premiere pro cs3,premiere pro,adobe,cs3,unknown,video editing,True,mac,
67,0,microsoft office small business 2007,microsoft software,735.33,microsoft windows vista business retail no open box returns,,299.99,microsoft office small business 2007,office,microsoft,2007,small business,office,False,windows,windows vista business retail,windows vista,microsoft,vista,business,operating system,False,unknown,
68,1,world of rainbow fish,global-software-publishing,19.99,world of rainbow fish ( a9839m2h ),global-software-publishing,19.19,world of rainbow fish,world of rainbow,global software publishing,unknown,unknown,unknown,False,unknown,world of rainbow fish,world of rainbow fish,global-software-publishing,unknown,unknown,unknown,False,unknown,
69,0,mcafee internet security suite 2007 3 users,mcafee,89.99,f-secure internet security 2007 3 pcs ( global marketing partners ),global-marketing-partners,63.35,mcafee internet security suite 2007,internet security suite,mcafee,2007,3 users,utility,False,windows,f-secure internet security 2007,internet security,f-secure,2007,3 pcs (global marketing partners),utility,False,unknown,
70,0,sonicwall gms standard edition 10 node license,sonicwall,,01-ssc-7309 sonicwall cfs standard edition for sonicwall pro 1260/2040/3060 / 4060 subscript,,2124.92,sonicwall gms standard edition,gms,sonicwall,10,standard,security,False,unknown,sonicwall cfs standard edition,sonicwall,sonicwall,unknown,standard,security,False,unknown,
71,0,microsoft windows vista ultimate full version [ dvd ],microsoft,399.95,microsoft ( r ) windows vista ( tm ) home premium,,239.99,windows vista ultimate,windows vista,microsoft,vista,ultimate,operating system,False,unknown,windows vista home premium,windows vista,microsoft ( r ),vista,home premium,operating system,False,windows,
72,1,irispen express translator,iris,149.99,iris inc irispen express translator,,142.29,irispen express translator,irispen,iris,unknown,express,education,False,unknown,irispen express translator,irispen express,iris inc,unknown,unknown,utility,False,unknown,
73,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft mappoint 2006 with gps locator ( pc ),,349.99,office 2004 standard,office,microsoft,2004,standard,office,True,mac,mappoint 2006,mappoint,microsoft,2006,with gps locator,utility,False,pc,
74,0,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,adobe dreamweaver cs3 upgrade windows,,236.74,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,dreamweaver cs3,dreamweaver,adobe,cs3,upgrade,design,True,windows,
75,0,microsoft powerpoint 2004 ( mac ),microsoft,229.99,microsoft ( r ) office ultimate 2007,,539.95,powerpoint 2004,powerpoint,microsoft,2004,unknown,office,False,mac,office ultimate 2007,office,microsoft (r),2007,ultimate,office,False,windows,
76,0,microspot macdraft professional ( mac ),microspot ltd.,349.99,adobe acrobat v8 .0 professional for mac,,405.99,macdraft professional,macdraft,microspot ltd.,unknown,professional,design,False,mac,acrobat v8 .0 professional,acrobat,adobe,v8.0,professional,media,False,mac,
77,0,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,,adobe photoshop cs3 extended complete package 1 user academic cd mac,,279.0,photoshop elements 4.0 plus premiere elements 2.0,photoshop elements,adobe,4.0,complete package,design,False,windows,photoshop cs3 extended,creative suite,adobe,cs3,extended,design,False,mac,
78,1,snap ! spelling ( jewel case ),topics entertainment,19.95,spelling,,4.93,snap ! spelling,snap!,topics entertainment,unknown,unknown,utility,False,unknown,spelling,spelling,unknown,unknown,unknown,utility,False,,
79,0,netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ),netmanage,,bhe3dus installanywhere enterprise edition v. 8 product upgrade license + 1 year,,4746.16,rumba unix-hp edition v. 7.3,rumba,netmanage,v. 7.3,unix-hp edition,utility,True,linux,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
80,0,zonealarm internet security suite,zone labs,49.99,panda software panda internet security 2007,,69.99,zonealarm internet security suite,zonealarm,zone labs,unknown,internet security suite,utility,False,unknown,panda internet security 2007,panda,panda software,2007,internet security,utility,False,unknown,
81,0,mediafour macdrive 6 for windows,mediafour corporation,49.99,quark quarkxpress 7 upgrade for mac & windows,,244.99,macdrive 6,macdrive,mediafour,6,unknown,utility,False,windows,quarkxpress 7,quarkxpress,quark,7,upgrade,design,True,"windows, mac",
82,0,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft ( r ) office 2004 for mac student and teacher edition,,146.95,office student and teacher edition 2004,office,microsoft,2004,student and teacher edition,office,False,macintosh,office 2004,office,microsoft (r),2004,student and teacher,office,False,mac,
83,1,microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95,visio standard 2007,visio,microsoft,2007,standard,office,True,windows,office visio standard 2007,visio,microsoft,2007,standard,office,True,windows,
84,0,quicken 2007 premier,intuit,79.95,quickbooks pro 2007 3 user,intuit,398.99,quicken 2007 premier,quicken,intuit,2007,premier,finance,False,windows,quickbooks pro 2007,quickbooks,intuit,2007,pro,utility,False,unknown,
85,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft ( r ) word 2007,,109.99,office standard 2004,microsoft office,microsoft,2004,standard,office,True,mac,microsoft word 2007,word,microsoft (r),2007,unknown,office,False,unknown,
86,0,peachtree by sage premium accounting 2007,sage software,499.99,laser checks for peachtree ( r ) accounting for windows 8.0-2005,,106.29,peachtree premium accounting 2007,peachtree,sage software,2007,premium,utility,False,unknown,peachtree accounting,peachtree,sage,2005,unknown,accounting,False,windows,
87,0,adobe dreamweaver cs3 upgrade,adobe,199.0,adobe cs3 flash professional upgrade,,205.99,dreamweaver cs3,dreamweaver,adobe,cs3,upgrade,design,True,unknown,cs3 flash professional,creative suite,adobe,cs3,professional,design,True,unknown,
88,1,national geographic presents : redshift 5 planetarium software,topics entertainment,39.99,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),,39.99,redshift 5 planetarium software,redshift,national geographic presents,5,unknown,utility,False,unknown,redshift 5,redshift,national geographic,5,unknown,education,False,windows,
89,0,the print shop 22 deluxe,encore,49.99,encore software 11941 the print shop zoom,,17.97,the print shop 22 deluxe,the print shop,encore,22,deluxe,utility,False,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
90,0,panda antivirus 2007,panda software,29.95,norton antivirus 2007 3 user pack,,49.95,panda antivirus 2007,antivirus,panda software,2007,unknown,utility,False,unknown,norton antivirus 2007,norton antivirus,norton,2007,3 user pack,utility,False,unknown,
91,0,adobe creative suite cs3 production premium upgrade,adobe,799.0,adobe acrobat v8 .0 professional for mac upgrade,,145.99,creative suite cs3 production premium,creative suite,adobe,cs3,production,design,True,unknown,acrobat v8 .0 professional,acrobat,adobe,v8 .0,professional,utility,True,mac,
92,0,power production storyboard artist 4,power production,,power production storyboard quick 5 software for mac and windows animation software,,299.0,storyboard artist 4,storybook artist,power production,4,artist,education,False,unknown,power production storyboard quick software,storyboard,power production,5,quick,animation,False,"mac, windows",
93,0,adobe cs3 design standard macosx dvd,adobe,399.0,adobe cs3 web standard,,1035.99,cs3 design standard,creative suite,adobe,cs3,standard,design,False,macosx,cs3 web standard,creative suite,adobe,cs3,web standard,design,False,unknown,
94,0,peachtree by sage premium accounting 2007,sage software,499.99,peachtree ( r ) compatible continuous checks-office accounting 12.0,,91.59,peachtree premium accounting 2007,peachtree,sage software,2007,premium,accounting,False,unknown,peachtree (r) compatible continuous checks-office accounting,peachtree,sage,12.0,unknown,accounting,False,unknown,
95,0,adobe after effects cs3 upgrade,adobe,299.0,adobe contribute cs3 upgrade,,82.99,after effects cs3,after effects,adobe,cs3,unknown,design,True,unknown,contribute cs3,contribute,adobe,cs3,unknown,design,True,windows,
96,0,symc backup exec sbs aws 11d win sbs agent for windows systems,symantec,447.74,10759328 symantec backup exec 11d for windows servers agent for db2 on windows servers -,,644.84,symc backup exec sbs aws,backup exec,symantec,11d,sbs agent,utility,False,windows,backup exec 11d,backup exec,symantec,11d,agent for db2 on windows servers,utility,False,windows,
97,0,station access collection,sony-creative-software,29.99,ultimate puzzle collection,,9.95,station access collection,station,sony-creative-software,unknown,unknown,utility,False,unknown,ultimate puzzle collection,puzzle,unknown,unknown,unknown,utility,False,unknown,
98,0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft windows vista home basic upgrade ( pc ),,99.99,powerpoint 2004,powerpoint,microsoft,2004,upgrade,office,True,mac,windows vista home basic,windows,microsoft,vista,home basic,operating system,True,pc,
99,0,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft word 2007 upgrade ( pc ),,109.95,office standard,office,microsoft,2004,standard,office,False,mac,microsoft word 2007,word,microsoft,2007,unknown,office,True,windows,
100,0,instant immersion spanish ( audio book ),topics entertainment,,instant immers italian dlux 2 .,,36.11,instant immersion spanish,immersion,topics entertainment,unknown,unknown,education,False,unknown,instant immers italian dlux 2,dlux,unknown,2,unknown,utility,False,unknown,
101,0,rollercoaster tycoon 3 ( mac ),aspyr media,49.99,roller coaster tycoon 3 for pc,,29.99,rollercoaster tycoon 3,rollercoaster tycoon,aspyr media,3,unknown,education,False,mac,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
102,0,peachtree by sage complete accounting 2007,sage software,269.99,sage ( ptree ) premium accounting for manufacturing 2007 multi-user,,1180.37,peachtree complete accounting 2007,peachtree,sage software,2007,complete accounting,accounting,False,unknown,sage (ptree) premium accounting for manufacturing 2007 multi-user,sage,sage,2007,premium,accounting,False,unknown,
103,0,recam remote monitoring software,mobi-technologies-inc .,129.0,corel ulead dvd workshop 2 authoring software,,299.95,recam remote monitoring software,recam,mobi-technologies-inc,unknown,unknown,utility,False,unknown,ulead dvd workshop 2 authoring software,dvds,corel,2,authoring software,utility,False,unknown,
104,0,quickbooks premier professional services edition 2007,intuit,399.95,adobe production premium cs3 software suite for windows professional editing software,,1698.95,quickbooks premier professional services edition 2007,quickbooks,intuit,2007,premier professional services,education,False,unknown,production premium cs3,production suite,adobe,cs3,premium,editing,False,windows,
105,1,logic pro 6 upgrade from logic platinum/gold 5 & 6,apple,199.99,apple software t9161ll/a logic platinum / gold 5 & 6 to logic pro 6 update,apple software,149.0,logic pro 6,logic pro,apple,6,unknown,education,True,mac,logic platinum / gold 5 & 6 to logic pro 6 update,logic,apple software,pro 6,platinum/gold 5 & 6 to update,music/editing,True,unknown,
106,0,britannica deluxe,avanquest software,29.95,britannica deluxe 2008,,26.5,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,britannica deluxe 2008,britannica,unknown,2008,deluxe,utility,False,unknown,
