"id","label","left_title","right_title","left_authors","right_authors","left_venue","right_venue","left_year","right_year"
83,0,"index nesting - an efficient approach to indexing in object-oriented databases jiawei han , beng chin ooi , hongjun lu , kian-lee tan","exact : an extensible approach to active object-oriented databases","","oscar d &#237; az , arturo jaime","vldb j.","the vldb journal -- the international journal on very large data bases","1996","1997"
84,0,"mocha : a self-extensible database middleware system for distributed data sources manuel rodriguez-martinez , nick roussopoulos 2000","aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems ling liu , calton pu , david buttler , wei han , henrique paques , wei tang","","","sigmod conference","international conference on management of data","","2000"
85,0,"the design and implementation of a sequence database system raghu ramakrishnan , miron livny , praveen seshadri 1996","the aggregate data problem : a system for their definition and management m. rafanelli , a. bezenchek , l. tininini 1996","","","vldb","acm sigmod record","",""
86,0,"approximating aggregate queries about web pages via random walks vldb 2000","a robust , optimization-based approach for approximate answering of aggregate queries 2001","jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz","surajit chaudhuri , gautam das , vivek narasayya","","international conference on management of data","",""
87,0,"databases and visualization","delaunay : a database visualization system isabel f. cruz , m. averbuch , wendy t. lucas , melissa radzyminski , kirby zhang","daniel a. keim","","sigmod conference","international conference on management of data","1996","1997"
88,0,"closest pair queries in spatial databases 2000","location-based spatial queries jun zhang , manli zhu , dimitris papadias , yufei tao , dik lun lee 2003","yannis theodoridis , yannis manolopoulos , antonio corral , michael vassilakopoulos","","sigmod conference","international conference on management of data","",""
89,0,"materialized view selection and maintenance using multi-query optimization sigmod conference 2001","outerjoin simplification and reordering for query optimization acm transactions on database systems ( tods )","krithi ramamritham , hoshi mistry , prasan roy , s. sudarshan","c &#233; sar galindo-legaria , arnon rosenthal","","","","1997"
90,0,"adaptive algorithms for set containment joins acm trans . database syst .","1-safe algorithms for symmetric site configurations rune humborstad , maitrayi sabaratnam , svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen 1997","hector garcia-molina , sergey melnik","","","very large data bases","2003",""
91,0,"book review column","book reviews acm sigmod record","karl aberer","","sigmod record","","2002","2003"
92,0,"binding propagation in disjunctive databases vldb 1998","tail recursion elimination in deductive databases acm transactions on database systems ( tods )","sergio greco","kenneth a. ross","","","","1996"
93,0,"krdb ' 98 : the 5th international workshop on knowledge representation meets databases 1998","report on first international workshop on real-time database systems azer bestavros , kwei-jay lin , sang son","alexander borgida , martin staudt , vinay k. chaudhri","","sigmod record","acm sigmod record","","1996"
94,0,"indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches vldb j.","parallel algorithms for high-dimensional similarity joins for data mining applications very large data bases 1997","xiaoyang sean wang , changzhou wang","john c. shafer , rakesh agrawal","","","2001",""
95,0,"towards on-line analytical mining in large databases jiawei han 1998","turbo-charging vertical mining of large databases international conference on management of data 2000","","pradeep shenoy , jayant r. haritsa , s. sundarshan , gaurav bhalotia , mayank bawa , devavrat shah","sigmod record","","",""
96,0,"dwms : data warehouse management system narendra mohan","the araneus web-based management system international conference on management of data 1998","","g. mecca , p. atzeni , a. masci , g. sindoni , p. merialdo","vldb","","1996",""
97,0,"editorial richard t. snodgrass 2001","guest editorial amr el abbadi , gunter schlageter , kyu-young whang the vldb journal -- the international journal on very large data bases","","","acm trans . database syst .","","","2001"
98,0,"tracing the lineage of view data in a warehousing environment acm trans . database syst . 2000","lineage tracing for general data warehouse transformations the vldb journal -- the international journal on very large data bases","janet l. wiener , yingwei cui , jennifer widom","y. cui , j. widom","","","","2003"
99,0,"influence sets based on reverse nearest neighbor queries","nearest neighbor queries nick roussopoulos , stephen kelley , fr &#233; d &#233; ric vincent international conference on management of data 1995","s. muthukrishnan , flip korn","","sigmod conference","","2000",""
100,0,"repositories and object oriented databases philip a. bernstein","metu object-oriented dbms asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin international conference on management of data 1994","","","sigmod record","","1998",""
101,0,"groupwise processing of relational queries kenneth a. ross , damianos chatziantoniou vldb","congressional samples for approximate answering of group-by queries international conference on management of data","","swarup acharya , phillip b. gibbons , viswanath poosala","","","1997","2000"
102,0,"optimizing multi-feature queries for image databases vldb 2000","optimizing queries over multimedia repositories","ulrich güntzer , werner kießling , wolf-tilo balke","surajit chaudhuri , luis gravano","","international conference on management of data","","1996"
103,0,"static detection of security flaws in object-oriented databases keishi tajima sigmod conference 1996","description logics for semantic query optimization in object-oriented database systems domenico beneventano , sonia bergamaschi , claudio sartori acm transactions on database systems ( tods ) 2003","","","","","",""
104,0,"the lyric language : querying constraint objects 1995","themis : a database programming language handling integrity constraints v &#233; ronique benzaken , anne doucet the vldb journal -- the international journal on very large data bases 1995","alexander brodsky , yoram kornatzky","","sigmod conference","","",""
105,1,"actiview : adaptive data presentation using supersql vldb","actiview : adaptive data presentation using supersql yoko maeda , motomichi toyama 2001","motomichi toyama , yoko maeda","","","very large data bases","2001",""
106,0,"distance-based indexing for high-dimensional metric spaces sigmod conference","the x-tree : an index structure for high-dimensional data","z. meral özsoyoglu , tolga bozkaya","stefan berchtold , daniel a. keim , hans-peter kriegel","","very large data bases","1997","1996"
107,0,"efficiently instantiating view-objects from remote relational databases vldb j.","efficiently publishing relational data as xml documents","gio wiederhold , byung suk lee","jayavel shanmugasundaram , eugene j. shekita , rimon barr , michael j. carey , bruce g. lindsay , hamid pirahesh , berthold reinwald","","very large data bases","1994","2000"
108,1,"dbsim : a simulation tool for predicting database performance","dbsim : a simulation tool for predicting database performance international conference on management of data 1996","craig wong , mark stokrp , mike lefler","mark lefler , mark stokrp , craig wong","sigmod conference","","1996",""
109,0,"report on the 8th international workshop on knowledge representation meets databases ( krdb ) 2001","report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems opher etzion acm sigmod record 1999","dan suciu , maurizio lenzerini , daniele nardi , werner nutt","","sigmod record","","",""
110,0,"on supporting containment queries in relational database management systems sigmod conference 2001","querying multiple features of groups in relational databases damianos chatziantoniou , kenneth a. ross 1996","guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang","","","very large data bases","",""
111,0,"efficient schemes for managing multiversionxml documents vldb j.","efficient filtering of xml documents for selective dissemination of information 2000","shu-yao chien , carlo zaniolo , vassilis j. tsotras","mehmet altinel , michael j. franklin","","very large data bases","2002",""
112,0,"data extraction and transformation for the data warehouse cass squire sigmod conference","data warehouse configuration very large data bases 1997","","dimitri theodoratos , timos k. sellis","","","1995",""
113,0,"weaving relations for cache performance vldb","dbsim : a simulation tool for predicting database performance international conference on management of data 1996","mark d. hill , anastassia ailamaki , david j. dewitt , marios skounakis","mark lefler , mark stokrp , craig wong","","","2001",""
114,0,"trex : dtd-conforming xml to xml transformations xueqing gong , kun yue , aoying zhou , zhimao guo , jianchang xiao , wenfei fan , hongwei wu , qing wang , shihui zheng sigmod conference 2003","composing xsl transformations with xml publishing views international conference on management of data 2003","","chengkai li , philip bohannon , p. p. s. narayan","","","",""
115,0,"reminiscences on influential papers sigmod record","reminiscences in influential papers 1998","kenneth a. ross , kyuseok shim , mary f. fernandez","richard snodgrass","","acm sigmod record","2002",""
116,0,"watermarking relational data : framework , algorithms and analysis vldb j.","a system for watermarking relational databases","peter j. haas , rakesh agrawal , jerry kiernan","rakesh agrawal , peter j. haas , jerry kiernan","","international conference on management of data","2003","2003"
117,0,"report on the fourth international conference on flexible query answering systems","report on fqas 2002 : fifth international conference on flexible query answering systems acm sigmod record 2003","gabriella pasi , amihai motro , patrick bosc","amihai motro , troels andreasen","sigmod record","","2001",""
118,1,"why decision support fails and how to fix it sigmod record 1995","why decision support fails and how to fix it ralph kimball , kevin strehlo","kevin strehlo , ralph kimball","","","acm sigmod record","","1995"
119,0,"data extraction and transformation for the data warehouse cass squire sigmod conference","data warehousing and olap for decision support surajit chaudhuri , umeshwar dayal 1997","","","","international conference on management of data","1995",""
120,0,"workshop report : the first international workshop on active and real-time database systems ( artdb-95 ) mikael berndtsson , jörgen hansson sigmod record 1996","report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems opher etzion acm sigmod record 1999","","","","","",""
121,0,"reminiscences on influential papers sigmod record","influential papers","kaladhar voruganti , renée j. miller , kenneth a. ross , flip korn","ken ross","","acm sigmod record","2002","2002"
122,0,"discover : keyword search in relational databases 2002","data page layouts for relational databases on deep memory hierarchies anastassia ailamaki , david j. dewitt , mark d. hill the vldb journal -- the international journal on very large data bases 2002","vagelis hristidis , yannis papakonstantinou","","vldb","","",""
123,0,"constructing the next 100 database management systems andreas geppert , klaus r. dittrich sigmod record","data grid management systems 2003","","arun jagatheesan , arcot rajasekar","","international conference on management of data","1994",""
124,1,"views in a large-scale xml repository vincent aguilera , dan vodislav , pierangelo veltri , sophie cluet , tova milo 2002","views in a large-scale xml repository vincent aguilera , sophie cluet , tova milo , pierangelo veltri , dan vodislav","","","vldb j.","the vldb journal -- the international journal on very large data bases","","2002"
125,1,"automata theory for xml researchers sigmod record","automata theory for xml researchers frank neven 2002","frank neven","","","acm sigmod record","2002",""
126,0,"infomaster : an information integration system arthur m. keller , michael r. genesereth , oliver m. duschka sigmod conference","environmental information systems oliver g &#252; nther acm sigmod record","","","","","1997","1997"
127,0,"implementation of two semantic query optimization techniques in db2 universal database","investigation of algebraic query optimisation techniques for database programming languages alexandra poulovassilis , carol small very large data bases 1994","k. bernhard schiefer , fred koo , t. y. cliff leung , linqi liu , jarek gryz , xiaoyan qian , qi cheng","","vldb","","1999",""
128,0,"reminiscences on influential papers theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross 2002","reminiscences on influential papers","","kenneth a. ross","sigmod record","acm sigmod record","","2003"
129,0,"adapting materialized views after redefinitions 1995","rainbow : multi-xquery optimization using materialized xml views xin zhang , katica dimitrova , ling wang , maged el sayed , brian murphy , bradford pielech , mukesh mulchandani , luping ding , elke a. rundensteiner international conference on management of data","ashish gupta , inderpal singh mumick , kenneth a. ross","","sigmod conference","","","2003"
130,0,"editor 's notes 1996","editorial","jennifer widom","richard snodgrass","sigmod record","acm transactions on database systems ( tods )","","2001"
131,0,"automated resolution of semantic heterogeneity in multidatabases","semantic integration in heterogeneous databases using neural networks 1994","a. r. hurson , simin h. pakzad , m. w. bright","wen-syan li , chris clifton","acm trans . database syst .","very large data bases","1994",""
132,0,"lambda-db : an odmg-based object-oriented dbms 2000","metu object-oriented dbms asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin international conference on management of data 1994","arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan","","sigmod conference","","",""
133,0,"a query language for a web-site management system dan suciu , daniela florescu , alon y. levy , mary f. fernandez 1997","catching the boat with strudel : experiences with a web-site management system 1998","","mary fern &#225; ndez , daniela florescu , jaewoo kang , alon levy , dan suciu","sigmod record","international conference on management of data","",""
134,0,"applying update streams in a soft real-time database system 1995","index concurrency control in firm real-time database systems","brad adelberg , hector garcia-molina , ben kao","brajesh goyal , jayant r. haritsa , s. seshadri , v. srinivasan","sigmod conference","very large data bases","","1995"
