id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,left_vldb,right_vldb
16,1,"enterprise objects framework , a second generation object-relational enabler charly kleissner sigmod conference",VAL -,SIGMOD Conference,1995,enterprise objects framework : a second generation object-relational enabler charly kleissner international conference on management of data,VAL -,SIGMOD Conference,1995,VAL -,VAL -
17,0,"effective timestamping in databases christian s. jensen , kristian torp , richard t. snodgrass vldb j. ",VAL -,VAL -,VAL -,"priority assignment in real-time active databases rajendran m. sivasankaran , john a. stankovic , don towsley , bhaskar purimetla , krithi ramamritham the vldb journal -- the international journal on very large data bases","rajendran m. sivasankaran, john a. stankovic, don towsley, bhaskar purimetla, krithi ramamritham",VLDB Journal,1996,,
18,0,lambda-db : an odmg-based object-oriented dbms,"arvind rajendran, david maier, leonidas fegaras, chandrasekhar srinivasan",SIGMOD Conference,VAL -,odmg-93 : a standard for object-oriented dbmss,VAL -,International Conference on Management of Data,1994,,
19,1,"Compressing SQL Workloads Surajit Chaudhuri , Ashish Kumar Gupta , Vivek R. Narasayya SIGMOD Conference","Surajit Chaudhuri , Ashish Kumar Gupta , Vivek R. Narasayya",VAL -,2002,Compressing SQL Workloads International Conference on Management of Data,"Surajit Chaudhuri , Ashish Kumar Gupta , Vivek Narasayya",SIGMOD Conference,2002,,
20,0,The Algres Testbed of Chimera : An Active Object-Oriented Database System,"Giuseppe Psaila, Stefano Ceri, Stefano Paraboschi, Piero Fraternali",SIGMOD Conference,1995,The Trigs Active Object-Oriented Database System - An Overview,"G. Kappel, W. Retschitzegger",ACM SIGMOD Record,1998,,
21,1,on wrapping query languages and efficient xml integration sigmod conference,"Jérôme Siméon, Vassilis Christophides, Sophie Cluet",SIGMOD Conference,2000,On Wrapping Query Languages and Efficient XML Integration,VAL -,International Conference on Management of Data,VAL -,,
22,0,document management as a database problem,VAL -,VLDB,1995,is web-site management a database problem ?,"Daniela Florescu, Alon Y. Levy, Dan Suciu",Very Large Data Bases,1998,VLDB,VLDB
23,0,Index nesting - an efficient approach to indexing in object-oriented databases,"Jiawei Han, Beng Chin Ooi, Hongjun Lu, Kian-Lee Tan",VLDB Journal,1996,Converting relational to object-oriented databases,Joseph Fong,ACM SIGMOD Record,VAL -,VLDB,VAL -
24,1,controlling data warehouses with knowledge networks,"Jan-Dirk Becker, Matthias Jarke, Andreas Boehmer, Elvira Schaefer",VLDB,2000,Controlling Data Warehouses with Knowledge Networks Very Large Data Bases 2000,"Elvira Schaefer, Jan-Dirk Becker, Andreas Boehmer, Matthias Jarke",VAL -,VAL -,,
25,0,Temporal Database System Implementations,VAL -,SIGMOD Record,VAL -,Temporal Conditions and Integrity Constraints in Active Database Systems International Conference on Management of Data,"A. Prasad Sistla, Uri Wolfson",VAL -,1995,,
26,1,ANSI SQL hierarchical processing can fully integrate native XML ACM SIGMOD Record,Michael M. David,VAL -,2003,ANSI SQL hierarchical processing can fully integrate native XML ACM SIGMOD Record 2003,Michael M. David,VAL -,VAL -,VAL -,VAL -
27,1,"warping indexes with envelope transforms for query by humming dennis shasha , yunyue zhu",VAL -,SIGMOD Conference,2003,"warping indexes with envelope transforms for query by humming yunyue zhu , dennis shasha",VAL -,SIGMOD Conference,2003,VAL -,VAL -
28,0,"reminiscences on influential papers theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross",VAL -,ACM SIGMOD Record,VAL -,influential papers ken ross acm sigmod record,VAL -,VAL -,2002,,
29,0,database research at ut arlington sigmod record,"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh",SIGMOD Record,VAL -,database research at arizona state university,"susan d. urban , suzanne w. dietrich , forouzan golshani",ACM SIGMOD Record,1996,,
30,0,lore: a database management system for semistructured data SIGMOD Record,"Roy Goldman, Serge Abiteboul, Jennifer Widom, Dallan Quass, Jason McHugh",SIGMOD Conference,1997,DWMS: Data Warehouse Management System Very Large Data Bases 1996,VAL -,VLDB,VAL -,VAL -,VLDB
31,0,discover : keyword search in relational databases,"Vagelis Hristidis, Yannis Papakonstantinou",VLDB,VAL -,converting relational to object-oriented databases,Joseph Fong,ACM SIGMOD Record,1997,VLDB,VAL -
32,0,Incremental Computation and Maintenance of Temporal Aggregates,"Jun Yang, Jennifer Widom",VLDB Journal,2003,Incremental Maintenance of Recursive Views Using Relational Calculus/SQL,"Guozhu Dong, Jianwen Su",ACM SIGMOD Record,2000,VLDB,VAL -
33,0,"procedures in object-oriented query languages kazimierz subieta , jacek leszczylowski , yahiko kambayashi","Kazimierz Subieta, Jacek Leszczylowski, Yahiko Kambayashi",VLDB,1995,"an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn","Maria L. Barja, Norman W. Paton, Alvaro A. A. Fernandes, M. Howard Williams, Andrew Dinn",VAL -,1994,,
34,1,opossum : desk-top schema management through customizable visualization,"miron livny , eben m. haber , yannis e. ioannidis",VAL -,VAL -,opossum : desk-top schema management through customizable visualization very large data bases,"eben m. haber , yannis e. ioannidis , miron livny",VLDB,1995,,
35,0,dms : a parallel data mining server felicity a. w. george,VAL -,VLDB,1998,"scalable parallel data mining for association rules eui-hong han , george karypis , vipin kumar international conference on management of data",VAL -,SIGMOD Conference,1997,,
36,1,"naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet",VAL -,VLDB,1994,naos - efficient and modular reactive capabilities in an object-oriented database system 1994,"christine collet , thierry coupaye , t. svensen",Very Large Data Bases,VAL -,VLDB,VLDB
37,0,user-adaptive exploration of multidimensional data,Sunita Sarawagi,VLDB,VAL -,A Foundation for Multi-Dimensional Databases,"Marc Gyssens, Laks V. S. Lakshmanan",Very Large Data Bases,1997,,
38,1,"a query language for multidimensional arrays : design , implementation , and optimization techniques sigmod conference","limsoon wong, rona machlin, leonid libkin",VAL -,1996,"a query language for multidimensional arrays : design , implementation , and optimization techniques 1996","leonid libkin, rona machlin, limsoon wong",SIGMOD Conference,VAL -,VAL -,VAL -
39,1,"comprehension syntax limsoon wong , dan suciu , val tannen , peter buneman , leonid libkin sigmod record",VAL -,VAL -,1994,comprehension syntax,"peter buneman , leonid libkin , dan suciu , val tannen , limsoon wong",ACM SIGMOD Record,1994,VAL -,VAL -
40,0,buffering accesses to memory-resident index structures,"Jingren Zhou, Kenneth A. Ross",VLDB,VAL -,efficient index structures for string databases,"Tamer Kahveci, Ambuj K. Singh",Very Large Data Bases,2001,,
41,0,Secure transaction processing in firm real-time database systems,"Binto George, Jayant R. Haritsa",SIGMOD Conference,1997,Revisiting commit processing in distributed database systems,"Ramesh Gupta, Jayant Haritsa, Krithi Ramamritham",SIGMOD Conference,1997,VAL -,VAL -
42,0,semint : a system prototype for semantic integration in heterogeneous databases,"wen-syan li , chris clifton",SIGMOD Conference,1995,a scalable architecture for autonomous heterogeneous database interactions very large data bases,"steven milliner , athman bouguettaya , mike p. papazoglou",VAL -,1995,,
43,0,"mining system audit data : opportunities and challenges wei fan , wenke lee",VAL -,SIGMOD Record,VAL -,"amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman",VAL -,ACM SIGMOD Record,2002,,
44,0,"sit-in : a real-life spatio-temporal information system stefano de francisci , rossella molinaro , orietta gargano , mario paolucci , leonardo tininini , giuseppe sindoni , paola patteri , amedea ambrosetti , pina ticca , cristina bedeschi","Stefano De Francisci, Rossella Molinaro, Oritta Gargano, Mario Paolucci, Leonardo Tininini, Giuseppe Sindoni, Paola Patteri, Amedea Ambrosetti, Pina Ticca, Cristina Bedeschi",VLDB,2001,Environmental Information Systems,"Oliver Gönther, ACM SIGMOD Record",VAL -,1997,,
45,0,"partial results for online query processing joseph m. hellerstein , vijayshankar raman sigmod conference",VAL -,SIGMOD Conference,2002,"sequence query processing praveen seshadri , miron livny , raghu ramakrishnan","praveen seshadri, miron livny, raghu ramakrishnan",SIGMOD Conference,1994,VAL -,VAL -
46,1,beyond market baskets : generalizing association rules to correlations,"rajeev motwani , sergey brin , craig silverstein",SIGMOD Conference,1997,beyond market baskets : generalizing association rules to correlations international conference on management of data,"sergey brin , rajeev motwani , craig silverstein",VAL -,1997,,
47,0,tracing the lineage of view data in a warehousing environment ACM Trans. Database Syst.,"Janet L. Wiener, Yingwei Cui, Jennifer Widom",VAL -,2000,Lineage Tracing for General Data Warehouse Transformations Very Large Data Bases,VAL -,VAL -,2001,VAL -,VLDB
48,0,editorial VLDB J.,"Peter M. G. Apers , Stefano Ceri , Richard T. Snodgrass",VAL -,2002,editorial,Richard Snodgrass,ACM Transactions on Database Systems ( TODS ),2001,VLDB Journal,VAL -
49,0,"mining fuzzy association rules in databases ada wai-chee fu , man hon wong , chan man kuok sigmod record","Ada Wai-Chee Fu, Man Hon Wong, Chan Man Kuok",ACM SIGMOD Record,1998,a new sql-like operator for mining association rules very large data bases,"Rosa Meo, Giuseppe Psaila, Stefano Ceri",VLDB,1996,,
50,0,query optimization in the presence of limited access patterns,"Dan Sució, Ioana Manolescu, Daniela Florescu, Alon Y. Levy",SIGMOD Conference,1999,minimization of tree pattern queries,"Sihem Amer-Yahia, Sungur Gran Cho, Laks V. S. Lakshmanan, Divesh Srivastava",International Conference on Management of Data,VAL -,VAL -,VAL -
51,0,query optimization for selections using bitmaps,VAL -,SIGMOD Conference,1999,query optimization in compressed database systems,"Zhiyuan Chen, Johannes Gehrke, Flip Korn",SIGMOD Conference,2001,VAL -,VAL -
52,0,"reminiscences on influential papers christos h. papadimitriou , anant jhingran , yannis e. ioannidis , kenneth a. ross sigmod record",VAL -,VAL -,VAL -,reminiscences on influential papers,kenneth a. ross,ACM SIGMOD Record,2003,,
53,1,user-defined table operators : enhancing extensibility for ordbms,"bernhard mitschang , michael jaedicke",VAL -,1999,user-defined table operators : enhancing extensibility for ordbms,"michael jaedicke, bernhard mitschang",Very Large Data Bases,1999,,
54,0,"distance browsing in spatial databases Hanan Samet , Gísli R. Hjaltason","Hanan Samet, Gísli R. Hjaltason",ACM Trans. Database Syst.,1999,Selectivity Estimation in Spatial Databases,"Swarup Acharya , Viswanath Poosala , Sridhar Ramaswamy",SIGMOD Conference,1999,,
55,0,"answering xml queries on heterogeneous data sources ioana manolescu , donald kossmann , daniela florescu vldb",VAL -,VAL -,2001,describing and using query capabilities of heterogeneous sources,"vasilis vassalos , yannis papakonstantinou",VLDB,1997,VAL -,VLDB
56,0,index configuration in object-oriented databases,VAL -,VAL -,VAL -,a cost model for clustered object-oriented databases very large data bases,"georges gardarin, jean-robert gruser, zhao-hui tang",Very Large Data Bases,1995,VAL -,VLDB
57,0,"reminiscences on influential papers z. meral özsoyoglu , philip s. yu , nick roussopoulos , krithi ramamritham , alberto o. mendelzon , richard t. snodgrass , laura m. haas , jennifer widom , jan paredaens sigmod record",VAL -,SIGMOD Record,1998,influential papers,ken ross,ACM SIGMOD Record,2002,,
58,0,reminiscences on influential papers sigmod record,"Kaladhar Voruganti, Renee J. Miller, Kenneth A. Ross, Flip Korn",VAL -,2002,reminiscences on influential papers richard snodgrass acm sigmod record 1998,VAL -,ACM SIGMOD Record,VAL -,VAL -,VAL -
59,1,"filtering with approximate predicates hector garcia-molina , narayanan shivakumar , chandra chekuri 1998",VAL -,VLDB,1998,"filtering with approximate predicates narayanan shivakumar , hector garcia-molina , chandra chekuri 1998",VAL -,VLDB,1998,,
60,0,sql query optimization : reordering for a general class of queries sigmod conference,"piyush goel , balakrishna r. iyer",SIGMOD Conference,1996,"probabilistic optimization of top n queries donko donjerkovic , raghu ramakrishnan very large data bases 1999",VAL -,VLDB,1999,VAL -,VLDB
61,1,hierarchical compact cube for range-max queries,"Hua-Gang Li , Sin Yeung Lee , Tok Wang Ling",VLDB,2000,hierarchical compact cube for range-max queries,"Sin Yeung Lee , Tok Wang Ling , Hua-Gang Li",Very Large Data Bases,2000,VLDB,VLDB
62,0,index configuration in object-oriented databases,VAL -,VAL -,VAL -,Opt + + : An Object-Oriented Implementation for Extensible Database Query Optimization The VLDB Journal -- The International Journal on Very Large Data Bases,"Navin Kabra , David J. Dewitt",VLDB Journal,1999,VAL -,VLDB Journal
63,0,"further improvements on integrity constraint checking for stratifiable deductive databases sin yeung lee , tok wang ling vldb",VAL -,VAL -,VAL -,"implementing deductive databases by mixed integer programming colin bell , anil nerode , raymond t. ng , v. s. subrahmanian","colin bell, anil nerode, raymond t. ng, v. s. subrahmanian",ACM Transactions on Database Systems (TODS),1996,VAL -,VAL -
64,0,hierarchical prefix cubes for range-sum queries,"Chee Yong Chan , Yannis E. Ioannidis",VAL -,VAL -,dynamic update cube for range-sum queries very large data bases,"Seok-Ju Chun , Chin-Wan Chung , Ju-Hong Lee , Seok-Lyong Lee",VLDB,2001,VAL -,VLDB
65,0,Hypergraph Based Reorderings of Outer Join Queries with Complex Predicates,"Gautam Bhargava, Balakrishna R. Iyer, Piyush Goel",VAL -,VAL -,Factorizing Complex Predicates in Queries to Exploit Indexes,"Surajit Chaudhuri, Prasanna Ganesan, Sunita Sarawagi",SIGMOD Conference,2003,,
66,0,"The Aditi Deductive Database System Kotagiri Ramamohanarao, David B. Kemp, Jayen Vaghani, Tim S. Leask, James Harland, Peter J. Stuckey, Zoltan Somogyi","Kotagiri Ramamohanarao, David B. Kemp, Jayen Vaghani, Tim S. Leask, James Harland, Peter J. Stuckey, Zoltan Somogyi",VLDB Journal,1994,Space Optimization in Deductive Databases,"Divesh Srivastava, S. Sudarshan, Raghu Ramakrishnan, Jeffrey F. Naughton",ACM Transactions on Database Systems (TODS),1995,,
67,0,static detection of security flaws in object-oriented databases,VAL -,VAL -,VAL -,unisql/x unified relational and object-oriented database system,won kim,SIGMOD Conference,1994,VAL -,VAL -
68,0,strudel : a web-site management system,"Alon Y. Levy, Mary F. Fernandez, Jaewoo Kang, Daniela Florescu, Dan Suciu",SIGMOD Conference,1997,Using the Calanda Time Series Management System,"Werner Dreyer, Angelika Kotz Dittrich, Duri Schmidt",International Conference on Management of Data,1995,,
69,0,tree pattern query minimization,"Divesh Srivastava , SunGren Cho , Laks V. S. Lakshmanan , Sihem Amer-Yahia",VLDB Journal,2002,efficient algorithms for minimizing tree pattern queries Prakash Ramanan International Conference on Management of Data 2002,VAL -,VAL -,VAL -,VLDB Journal,VAL -
70,0,Implementation of Magic-Sets in a Relational Database System SIGMOD Conference,"Inderpal Singh Mumick, Hamid Pirahesh",VAL -,1994,On Efficiently Implementing SchemaSQL on an SQL Database System,"Laks V. S. Lakshmanan, Fereidoon Sadri, Subbu N. Subramanian",VLDB,1999,VAL -,VLDB
71,0,"a robust , optimization-based approach for approximate answering of aggregate queries","vivek r. narasayya, gautam das, surajit chaudhuri",SIGMOD Conference,VAL -,"the aqua approximate query answering system swarup acharya, phillip b. gibbons, viswanath poosala, sridhar ramaswamy",VAL -,International Conference on Management of Data,VAL -,,
72,0,"selectivity estimation for spatio-temporal queries to moving objects yong-jin choi , chin-wan chung SIGMOD Conference",VAL -,SIGMOD Conference,VAL -,selectivity estimation in spatial databases,"swarup acharya , viswanath poosala , sridhar ramaswamy",International Conference on Management of Data,1999,,
73,0,on supporting containment queries in relational database management systems sigmod conference,"guy m. lohman, david j. dewitt, qiong luo, jeffrey f. naughton, chun zhang",SIGMOD Conference,2001,integrating modelling systems for environmental management information systems,"david j. abel, kerry taylor, dean kun",ACM SIGMOD Record,1997,,
74,0,"vist : a dynamic index method for querying xml data by tree structures wei fan , sanghyun park , philip s. yu , haixun wang sigmod conference","wei fan, sanghyun park, philip s. yu, haixun wang",SIGMOD Conference,2003,"efficient index structures for string databases tamer kahveci , ambuj k. singh","tamer kahveci, ambuj k. singh",VLDB,2001,VAL -,VLDB
75,0,Foundations of Preferences in Database Systems,VAL -,VLDB,VAL -,Secure Buffering in Firm Real-Time Database Systems,"Binto George, Jayant R. Haritsa",VLDB Journal,2000,,
76,1,"Towards Automated Performance Tuning for Complex Workloads Michael J. Carey , Manish Mehta , Miron Livny , Kurt P. Brown","Michael J. Carey, Manish Mehta, Miron Livny, Kurt P. Brown",VLDB,1994,"Towards Automated Performance Tuning for Complex Workloads Kurt P. Brown , Manish Mehta , Michael J. Carey , Miron Livny 1994",VAL -,Very Large Data Bases,VAL -,,
77,0,book review column karl aberer,VAL -,SIGMOD Record,2003,book reviews acm sigmod record 2002,karl aberer,VAL -,VAL -,VAL -,VAL -
78,0,"Groupwise Processing of Relational Queries Kenneth A. Ross , Damianos Chatziantoniou VLDB","Kenneth A. Ross, Damianos Chatziantoniou",VLDB,1997,"Cache Conscious Algorithms for Relational Query Processing Ambuj Shatdal , Chander Kant , Jeffrey F. Naughton","Ambuj Shatdal, Chander Kant, Jeffrey F. Naughton",VLDB,1994,VLDB,VAL -
79,0,Efficiently Instantiating View-Objects from Remote Relational Databases,"Gio Wiederhold, Byung Suk Lee",VAL -,1994,Converting Relational to Object-Oriented Databases,Joseph Fong,ACM SIGMOD Record,VAL -,VLDB,VAL -
80,0,"constructing the next 100 database management systems andreas geppert , klaus r. dittrich sigmod record","Andreas Geppert, Klaus R. Dittrich",SIGMOD Record,1994,the mariposa distributed database management system acm sigmod record,Jeff Sidell,ACM SIGMOD Record,1996,VAL -,VAL -
81,0,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),VAL -,VAL -,VAL -,Report on the Fourth International Conference on Flexible Query Answering Systems (FQAS 2000),"Patrick Bosc, Amihai Motro, Gabriella Pasi",ACM SIGMOD Record,2001,VAL -,VAL -
82,0,reminiscences on influential papers sigmod record,"Kenneth A. Ross, Kyuseok Shim, Mary F. Fernandez",VAL -,2002,influential papers ken ross acm sigmod record,VAL -,VAL -,2002,VAL -,VAL -
83,0,index nesting - an efficient approach to indexing in object-oriented databases,"Jiawei Han, Beng Chin Ooi, Hongjun Lu, Kian-Lee Tan",VLDB Journal,1996,exact : an extensible approach to active object-oriented databases,"Oscar D. íáz, Arturo Jaime",VLDB Journal,1997,,
84,0,"mocha : a self-extensible database middleware system for distributed data sources Manuel Rodriguez-Martinez , Nick Roussopoulos",VAL -,SIGMOD Conference,VAL -,"aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems Ling Liu , Calton Pu , David Buttler , Wei Han , Henrique Paques , Wei Tang","Ling Liu, Calton Pu, David Buttler, Wei Han, Henrique Paques, Wei Tang",International Conference on Management of Data,2000,,
85,0,the design and implementation of a sequence database system,"Raghu Ramakrishnan, Miron Livny, Praveen Seshadri",VLDB,1996,the aggregate data problem : a system for their definition and management,"M. Rafanelli, A. Bezenchek, L. Tininini",ACM SIGMOD Record,1996,VLDB,VAL -
86,0,approximating aggregate queries about web pages via random walks vldb,"jittat fakcharoenphol, steve chien, ziv bar-yossef, alexander berg, dror weitz",VAL -,2000,"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri, gautam das, vivek narasayya",SIGMOD Conference,2001,,
87,0,databases and visualization,Daniel A. Keim,SIGMOD Conference,1996,"Delaunay: A Database Visualization System Isabel F. Cruz, M. Averbuch, Wendy T. Lucas, Melissa Radzyminski, Kirby Zhang",VAL -,International Conference on Management of Data,1997,,
88,0,closest pair queries in spatial databases,"Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos",SIGMOD Conference,VAL -,Location-Based Spatial Queries,"Jun Zhang, Manli Zhu, Dimitris Papadias, Yufei Tao, Dik Lun Lee",International Conference on Management of Data,2003,,
89,0,Materialized View Selection and Maintenance Using Multi-Query Optimization SIGMOD Conference,"Krithi Ramamritham, Hoshi Mistry, Prasan Roy, S. Sudarshan",VAL -,VAL -,Outerjoin Simplification and Reordering for Query Optimization ACM Transactions on Database Systems (TODS),"César Galindo-Legaria, Arnon Rosenthal",ACM Transactions on Database Systems (TODS),1997,,
90,0,adaptive algorithms for set containment joins ACM Trans. Database Syst.,"Hector Garcia-Molina, Sergey Melnik",VAL -,2003,"1-safe algorithms for symmetric site configurations Rune Humborstad, Maitrayi Sabaratnam, Svein-Olaf Hvasshovd, Øystein Torbjørnsen",VAL -,VLDB,VAL -,VAL -,VAL -
91,0,book review column,Karl Aberer,SIGMOD Record,2002,Book Reviews ACM SIGMOD Record,VAL -,VAL -,2003,VAL -,VAL -
92,0,binding propagation in disjunctive databases,sergio greco,VAL -,VAL -,tail recursion elimination in deductive databases acm transactions on database systems ( TODS ),kenneth a. ross,ACM Transactions on Database Systems (TODS),1996,VAL -,VAL -
93,0,krdb '98: the 5th international workshop on knowledge representation meets databases,"Alexander Borgida, Martin Staudt, Vinay K. Chaudhri",ACM SIGMOD Record,VAL -,Report on First International Workshop on Real-Time Database Systems,"Azer Bestavros, Kwei-Jay Lin, Sang Son",ACM SIGMOD Record,1996,,
94,0,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"xiaoyang sean wang, changzhou wang",VAL -,2001,parallel algorithms for high-dimensional similarity joins for data mining applications very large data bases,"john c. shafer, rakesh agrawal",VAL -,VAL -,VLDB Journal,VAL -
95,0,Towards on-line analytical mining in large databases Jiawei Han,VAL -,SIGMOD Record,1998,Turbo-charging vertical mining of large databases International Conference on Management of Data,"Pradeep Shenoy, Jayant R. Haritsa, S. Sundarshan, Gaurav Bhalotia, Mayank Bawa, Devavrat Shah",VAL -,2000,,
96,0,dwms : data warehouse management system narendra mohan,VAL -,VLDB,1996,The Araneus Web-Based Management System International Conference on Management of Data 1998,"G. Mecca, P. Atzeni, A. Masci, G. Sindoni, P. Merialdo",SIGMOD Conference,VAL -,VLDB,VAL -
97,0,editorial richard t. snodgrass,VAL -,ACM Trans. Database Syst.,VAL -,"Guest Editorial Amr El Abbadi , Gunter Schlageter , Kyu-Young Whang The VLDB Journal -- The International Journal on Very Large Data Bases","Amr El Abbadi, Gunter Schlageter, Kyu-Young Whang",VLDB Journal,2001,,
98,0,tracing the lineage of view data in a warehousing environment ACM Trans. Database Syst.,"Janet L. Wiener, Yingwei Cui, Jennifer Widom",VAL -,VAL -,Lineage Tracing for General Data Warehouse Transformations The VLDB Journal -- The International Journal on Very Large Data Bases,"Y. Cui, J. Widom",VLDB Journal,2003,VAL -,VLDB Journal
99,0,influence sets based on reverse nearest neighbor queries,"S. Muthukrishnan, Flip Korn",SIGMOD Conference,2000,"nearest neighbor queries Nick Roussopoulos , Stephen Kelley , Frédéric Vincent International Conference on Management of Data 1995",VAL -,VAL -,VAL -,VAL -,VAL -
100,0,repositories and object oriented databases philip a bernstein,VAL -,SIGMOD Record,1998,"metu object-oriented dbms asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin international conference on management of data 1994",VAL -,International Conference on Management of Data,1994,,
101,0,"groupwise processing of relational queries kenneth a. ross , damianos chatziantoniou vldb","Kenneth A. Ross, Damianos Chatziantoniou",VAL -,1997,congressional samples for approximate answering of group-by queries international conference on management of data,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",SIGMOD Conference,2000,VLDB Journal,VAL -
102,0,Optimizing multi-feature queries for image databases,"Ulrich Güntzer, Werner Kießling, Wolf-Tilo Balke",VAL -,VAL -,Optimizing queries over multimedia repositories,"Surajit Chaudhuri, Luis Gravano",SIGMOD Conference,1996,VAL -,VAL -
103,0,static detection of security flaws in object-oriented databases,VAL -,VAL -,VAL -,description logics for semantic query optimization in object-oriented database systems,"Domenico Beneventano, Sonia Bergamaschi, Claudio Sartori",ACM Transactions on Database Systems (TODS),2003,VAL -,VAL -
