id,label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price
15,0,Sharpie Retractable Permanent Markers Fine Point Set of 12 Black,Stationery & Office Machinery,Sharpie,32701,13.64,New-Sharpie 32730PP - Retractable Permanent Markers Fine Point Assorted 8 Set - San32730PP,Shredders,Sharpie,unknown,33.68
16,0,NZXT Phantom Crafted Series ATX Full Tower Steel Chassis Black,Electronics - General,NZXT,NZXT PHANTOM,139.82,NZXT Crafted Series ATX Full Tower Steel Chassis - Phantom White with Red Trim Computer Case CS-NT-PHAN-WNR White Red,Computer Cases,NZXT,CS-NT-PHAN-WNR,139.99
17,0,Da-Lite High Power Model B Manual Screen with CSR - 60 x 80 Video Format,Electronics - General,da-lite,85319,369.99,Honey Maple Veneer Model B Manual Screen with High Power Fabric - AV Format Size 60 x 60,Projection Screens,da-lite,unknown,unknown
18,0,Sharpie Permanent Markers Fine Point - Black - 12 Count,Stationery & Office Machinery,Sharpie,30001WM,8.24,New-Sharpie 37001 - Permanent Markers Ultra Fine Point Black Dozen - San37001,Shredders,Sharpie,unknown,27.07
19,0,Da-Lite Da-Glas Deluxe Rear Projection Screen - 50 x 50 AV Format,Electronics - General,da-lite,27647,1919.99,Da-Lite 27639 Da-Glas Standard Rear Projection Screen 72 x 96 Video Format,Projection Screens,da-lite,unknown,unknown
20,0,Canon Powershot A3300 IS Black 16.0 MP Digital Camera with 5x Optical Zoom 3.0 LCD 720p Video w/ 50 Bonus Prints,Digital Cameras,canon,5035B001AA,156.54,Canon Powershot A470 7.1 MP Digital Camera with 3.4 x Optical Zoom Gray,Point Shoot Digital Cameras,canon,B0012YA6P2,unknown
21,0,Elite Screens CineGray Prime Vision Series Fixed Frame Screen - 135 Diagonal,Electronics - General,Elite Screens,PVR135H1,1069.0,PowerGain Prime Vision Series Fixed Frame Screen - 120 Diagonal,Projection Screens,Elite,unknown,929.0
22,0,Amzer Anti-Glare Screen Protector for iPad 2,MP3 Accessories,Amzer,90786,13.88,MyGear Products 2 Clear 2 Anti-Glare 2 Anti-Fingerprint Combo Pack Screen Protectors for iPad 2 Combo Pack,Cases Sleeves,MyGear Products,unknown,18.95
23,0,Elite M85XWS1 Screens Manual Pull Down Projection Screen,Electronics - General,Elite Screens,M85XWS1,60.84,Dalite Manual Wall and Ceiling Screen Accessory Pull Rod Projection Screen,Projector Accessories,Da-Lite Screen,unknown,9.95
24,0,Da-Lite Da-Plex Deluxe Rear Projection Screen - 50 1/2 x 67 1/4 Video Format,Electronics - General,da-lite,27562,2544.99,Da-Lite 27512 Da-Plex Unframed Rear Projection Screen - 72 x 96 Video Format,Projection Screens,da-lite,unknown,unknown
25,1,Netgear Powerline AV 500 Adapter,Powerline Network Adapters,Netgear,XAV5001100NAS,79.82,Netgear XAV5001 Powerline AV 500 Adapter,Powerline Network Adapters,Netgear,XAV5001100NAS,69.99
26,0,C-Line Top-Load Poly Sheet Protectors Heavy Gauge Letter 200ct,Stationery & Office Machinery,,62097,28.94,New-C-Line 61008 - Top-Load Poly Sheet Protectors Super-Heavy Letter Non-Glare 50 Box - CLI61008,Storage Presentation Materials,C-Line,,26.0
27,0,Asus Radeon HD5570 1GB DDR5 PCI Express Graphics Card,Electronics - General,Asus,EAH5770 CUCORE/G/2DI,180.41,Visiontek ATI Radeon HD 5550 1 GB DDR PCI Express Graphics Card 900331,Computers Accessories,Visiontek,900331,54.99
28,0,Da-Lite Da-Plex Deluxe Rear Projection Screen - 36 x 48 Video Format,Electronics - General,da-lite,27559,1630.99,Da-Glas Base Rear Projection Screen - 43 1/4 x 57 3/4 Video Format,Projection Screens,da-lite,unknown,1519.99
29,0,Da-Lite Dual Vision Tensioned Advantage Deluxe Electrol - HDTV Format 92 Diagonal,Electronics - General,da-lite,88285,4242.99,Da-Lite Tensioned Advantage Deluxe Electrol - Projection Screen Motorized - 92 in - 16:9 - Pearlescent,Projection Screens,da-lite,unknown,3740.0
30,0,Da-Lite Da-Glas Unframed Rear Projection Screen - 43 1/4 x 57 3/4 Video Format,Electronics - General,da-lite,27602,920.99,Da-Lite 27903 Da-Plex Self Trimming Rear Projection Screen - 96 x 120 AV Format,Projection Screens,da-lite,unknown,unknown
31,0,Chicago Cubs Pink iPhone 4 Hard Case,Electronics - General,Tribeca,FVA4424,29.99,Chicago Bulls iPhone 3G Duo Case,Computers Accessories,Tribeca,unknown,9.99
32,0,Da-Lite Da-Glas Deluxe Rear Projection Screen - 96 x 96 AV Format,Electronics - General,da-lite,27651,6128.99,Da-Plex Standard Rear Projection Screen - 96 x 96 AV Format,Projection Screens,da-lite,unknown,5912.99
33,0,Da-Lite High Power Designer Contour Manual Screen with CSR - 50 x 67 Video Format,Electronics - General,da-lite,92290,512.99,Da-Lite High Power Designer Contour Manual Screen with CSR and Top Black Drop - 45 x 80 HDTV Format Size 52 x 92,Projection Screens,da-lite,unknown,unknown
34,0,HON 10700 Series Right Pedestal Credenza 72W x 24D x 29-1/2 H Mahogany,Furniture,HON,10707RNN,799.0,New-Hon 10546LNN - 10500 Series 3 4-Height Left Pedestal Credenza 72W x 24D x 29-1/2 H Mahogany - Hon10546LNN,Laminating Supplies,HON,unknown,1425.0
35,0,Da-Lite Video Spectra 1.5 Model C with CSR Manual Screen - 69 x 92 Video Format,Electronics - General,da-lite,82978,657.99,Da-Lite Deluxe Model B Video Spectra 1.5 - Projection Screen,Projection Screens,da-lite,Model B Video Spectra 1.5,125.95
36,0,Iomega 1TB Ego Desktop USB 2.0 Portable Hard Drive - Midnight Blue,Hard Drives,iomega,34837,89.98,Iomega Ego Helium 320 GB USB 2.0 Portable External Hard Drive 34943,Computers Accessories,iomega,34943,unknown
37,0,EVGA GeForce 210 512MB DDR3 PCI Express Graphics Card,Electronics - General,Evga,512P31310LR,32.88,PNY GeForce 9600GT 512 MB DDR3 PCI-Express Graphics Card VCG96512GXPB,,Pny,VCG96512GPB,unknown
38,0,Genius Agama M-300 Retractable Mini Mouse - Optical - USB - Black,Mice,Genius,31010615100,10.0,Iconcepts USB Mini Retractable Mouse - Mouse - 3 Button S - Wired - USB - Black,Computers Accessories,Saitek,USB Mini Retractable Mouse,unknown
39,0,PC Treasures ClickIt Classic Mouse Black,Mice,PC Treasures,07667,16.8,PC Treasures ClickIt Classic Mouse - Navy 07669,Mice,PC Treasures,07669,16.95
40,0,Da-Lite Da-Plex Self Trimming Rear Projection Screen - 96 x 120 AV Format,Electronics - General,da-lite,27903,7799.99,Da-Lite Da-Glas Thru-The-Wall Rear Projection Screen - 72 x 96 Video Format,Projection Screens,da-lite,23050,8968.99
41,0,Visontek Wireless Candyboard Mini Keyboard with Touchpad,Electronics - General,Visiontek,900319,59.82,Visiontek Candyboard Bluetooth Wireless Mini Keyboard with Touchpad 900335 Black,Keyboards,Visiontek,900335,49.99
42,0,HP C6020B Coated Paper 1 Roll 36-Inches x 150 Ft,Stationery & Office Machinery,hp,C6020B,49.88,HP Universal Coated Paper 42 Inches x 150 Feet Roll,Roll Paper,hp,Q1406A,32.23
43,0,Belkin Basic Wireless N150 USB Adapter,Networking,Belkin,F7D1101,29.99,Belkin N150 Wireless USB Adapter Latest Generation,USB Network Adapters,Belkin,F9L1001,29.99
44,0,Da-Lite Video Spectra 1.5 Deluxe Model B Manual Screen - 50 x 67 Video Format,Electronics - General,da-lite,73639,181.99,Da-Lite Model B with CSR Video Spectra 1.5 - Projection Screen - 106 in,Projection Screens,da-lite,Video Spectra 1.5,279.5
45,0,VisionTek 900252 Radeon HD 4650 1 GB 128-bit GDDR2 PCI Express 2.0 Graphics Card .,Electronics - General,VisionTek,900252,86.92,VisionTek ATI Radeon HD 4670X2 2 GB DDR3 PCI Express Graphics Card 900307,Computers Accessories,VisionTek,900307,281.99
46,0,HP C7971A LTO Ultrium 1 Tape Cartridge,MP3 Accessories,HP,C7971A,39.88,Tandberg LTO Ultrium 100 200GB Tape Cartridge,Data Cartridges,Tandberg,432630,34.91
47,0,Sharpie Permanent Markers Fine Point - Black - 12 Count,Stationery & Office Machinery,Sharpie,30001WM,8.24,New-Sharpie 1738519 - Grip Permanent Marker Fine Point Black Dozen - San1738519,Shredders,Sharpie,unknown,33.09
48,0,Da-Lite High Power Model B Manual Screen with CSR - 84 x 84 AV Format,Electronics - General,da-lite,85303,372.99,Medium Oak Veneer Model B Manual Screen with High Power Fabric - AV Format Size 60 x 60,Projection Screens,da-lite,unknown,unknown
49,0,Snapshield P2 Polycarbonate Case iPad 2 Smoke,MP3 Accessories,Scosche,IPD2PCBK,20.88,Scosche Snapshield P2 Polycarbonate Case iPad 2 - Purple IPD2PCP,Laptop Netbook Computer Accessories,Scosche,IPD2PCPU,14.09
50,0,Panasonic Slimz Over-Ear Headphone Black Pink RP-HX40-PK,Electronics - General,Panasonic,RP-HX40-PK,34.88,Panasonic RP-HJE350-K Slimz In-Ear Earbud Headphones Black,Headphones,Panasonic,RP-HJE350-K,18.54
51,0,Draper High Contrast Grey Luma 2 Manual Screen - 60 x 60 AV Format,Electronics - General,Draper,206059,349.88,High Contrast Matte White Designer Contour Manual Screen with CSR - AV Format Size 60 x 60,Projection Screens,Da-Lite,unknown,unknown
52,0,Da-Lite Da-Tex Rear Tensioned Advantage Electrol - AV Format 8 x 8 Diagonal,Electronics - General,da-lite,85375,2549.38,HC Cinema Perf Tensioned Advantage Deluxe Electrol - HDTV Format Size 92 Diagonal,Projection Screens,da-lite,unknown,4200.0
53,0,Da-Lite Da-Plex Thru-The-Wall Rear Projection Screen - 81 x 108 Video Format,Electronics - General,da-lite,23096,10048.99,Da-Lite Da-Plex Unframed Rear Projection Screen - 108 x 144 Video Format,Projection Screens,da-lite,27514,8094.0
54,0,Clickfree C2 500GB USB 3.0 Portable External Hard Drive,Hard Drives,Clickfree,HD527B3,84.98,Verbatim Acclaim 320 GB USB 2.0 Portable External Hard Drive 97185 Blue,,Verbatim,97185,59.84
55,0,Lexmark E450H11A Toner 11000 Page-Yield Black,Printers,Lexmark,E450H11A,248.27,"HP Q7516A HP 16A Toner 12,000 Page-Yield Black",Laser Printer Toner,HP,,144.44
56,0,Smead Acid-Free Poly Folder 2 Fasteners 1 3 Cut Top Tab Letter Manila 24 Box,Stationery & Office Machinery,,10545,42.94,Smead 17940 - Folders Two Fasteners 1 3 Cut Assorted Top Tab Legal Yellow 50 Box,Cables Interconnects,Smead,,92.53
57,0,XFX AMD Radeon HD 6950 1GB DDR5 Graphics Card,Electronics - General,XFX,HD695XZNDC,269.82,XFX HD 6850 775M 1 GB DDR5 Graphics Card HD685XZNFC,Graphics Cards,XFX,HD685XZNFC,163.99
58,0,Trendnet 24-port 10 100 1000 Mbps Switch,Networking,trendnet,TEGS24G,239.99,Netgear Switch 24-pt 10 100Mbps POE,Switches,netgear,FS728TP-100NAS,unknown
59,0,Guardian Air Step Antifatigue Polypropylene Mat 36 x 60 Black,Home Care,Guardian,24030502,50.97,Guardian Air Step Antifatigue Mat Polypropylene 24 x 36 Black,Antitheft,Guardian,,unknown
60,0,Static Cling Screen Protector Kit for Apple iPad 2,Electronics - General,Writeright,9227801,0.0,Green Onions Supply Glossy Screen Protector for Apple iPad,Screen Protectors,Green,RT-SPiPAD01,18.36
61,0,Buffalo Technology LinkStation Duo 1 TB 2 x 500 GB Network Attached Storage LS-WX1 .0 TL R1,Networking,buffalo technology,LSWX10TLR1,192.63,Buffalo Technology LinkStation Pro Quad 2 TB 4 x 500 GB RAID Network Attached Storage NAS LS-QV2 .0 TL R5 Black,Computers Accessories,buffalo technology,LS-QV2 .0 TL/R5,399.82
62,0,Crown Tire-Track Scraper Needlepunch Polypropylene Vinyl Mat 48 x 72 Anthracite,Rugs,crown,TE0046AC,124.97,New-Crown TE0035AC - Tire-Track Scraper Mat Needlepunch Polypropylene Vinyl 36 x 60 Anthracite - CWNTE0035AC,Laminating Supplies,crown,,108.0
63,0,Lexmark X644A11A Black Toner Print Cartridge,Stationery & Office Machinery,Lexmark,X644A11A,326.24,Lexmark 18C1428 Return Program Print Cartridge Black,Inkjet Printer Ink,Lexmark,18C1428,19.97
64,0,Microsoft Publisher 2010,Software,Microsoft,164-06233,117.54,Microsoft Publisher 2007 Version Upgrade Old Version,Document Creation,Microsoft,164-04052,99.95
65,0,Cyber Acoustics Computer Stereo Silver Headset Microphone,Electronics - General,Cyber Acoustics,AC401,14.84,Cyber Acoustics Stereo Headset Microphone Ambidextrous Design AC-201,Headsets Microphones,Cyber Acoustics,AC-201,10.33
66,0,Case Logic 16 Value Laptop Briefcase Black,Computers,Case Logic,VNCI116BLACK,22.0,Case Logic VNA-216 16-Inch Laptop Attache Black,Laptop Netbook Computer Accessories,Case Logic,VNA-216BLACK / GRAY,24.12
67,0,Quartet Prestige Bulletin Board Graphite-Blend Cork,Stationery & Office Machinery,Quartet,B243G,50.0,Quartet B244MA - Prestige Bulletin Board Graphite-Blend Cork 48 x 36 Maple Frame,Printers,Quartet,,unknown
68,0,Da-Lite Da-View Thru-The-Wall Rear Projection Screen - 60 x 80 Video Format,Electronics - General,da-lite,23046,13997.99,Da-Lite 27660 Da-Glas Deluxe Rear Projection Screen - 72 x 96 Video Format,Projection Screens,da-lite,unknown,unknown
69,0,Buffalo Technology Ministation Metro 1 TB USB 2.0 Portable External Hard Drive with Integrated Flex Cable Encryption and TurboPC HD-PTX1TU2 B Black,Hard Drives,Buffalo Technology,HD-PTX1TU2B,99.82,Buffalo Technology Ministation Stealth 500 GB USB 2.0 Portable External Hard Drive HD-PCT500U2 B Black,External Hard Drives,Buffalo Technology,HD-PCT500U2 / B,49.99
70,0,Canon MP41DHII Printing Calculator,Stationery & Office Machinery,Canon,MP41DHII,70.88,Canon MP11DX Soft Touch Printing Calculator,Basic,Canon,unknown,41.36
71,0,Human Toolz 3-in-1 Netbook Pad Galaxy Black Champagne,Electronics - General,Human Toolz,3N1MGC,9.88,Human Toolz 3-in-1 Notebook Pad Galaxy Black,Bags Cases,Humantoolz,3N1NGB,5.99
72,0,3M Dry-Erase Board Porcelain 6 x4 Aluminum Frame,Stationery & Office Machinery,3M,,579.29,New-Quartet P563T - Euro Frame Dry-Erase Board Porcelain Steel 36 x 24 White Aluminum Frame - QRTP563T,Radios,Quartet,,266.0
73,0,ILUV Micro-SizeUSB Car Charger,Phone Accessories,iluv,IAD215BLK,9.88,Dual USB Car Charger,Audio Video Accessories,AMP,06-CE-DCUSB2,5.14
74,0,Da-Lite Da-Glas Self Trimming Rear Projection Screen - 96 x 120 AV Format,Electronics - General,da-lite,27915,7443.99,Da-Lite 27578 Da-Plex Self Trimming Rear Projection Screen - 96 x 96 AV Format,Projection Screens,da-lite,unknown,unknown
75,0,Wintec Filemate 4GB CompactFlash Memory Card,USB Drives,Wintec,3FMCF4GB-R,15.98,Dane-Elec 8 GB CompactFlash Memory Card DA-CF-8192-R,Blank Media,Dane-Elec,DA-CF-8192-R,10.95
76,0,Da-Lite HC Cinema Vision Tensioned Advantage Electrol - AV Format 8 x 8 Diagonal,Electronics - General,da-lite,89939,2595.0,Da-Lite 98813 HC Da-Mat Tensioned Cosmopolitan Electrol - AV Format 10 6 x 14 Diagonal,,da-lite,,unknown
77,0,Da-Lite Cherry Veneer Model B Manual Screen with Matte White Fabric - 60 x 60 Diagonal Video Format,Electronics - General,da-lite,73179,167.99,Light Oak Veneer Model B Manual Screen with Matte White Fabric - Diagonal Video Format Size 60 x 60 Diagonal,Projection Screens,da-lite,,unknown
78,0,Sabrent 6-in-1 USB 2.0 Flash Memory Card Reader,USB Drives,Sabrent,CRW-EXT,10.98,I-Rocks 16-in-1 USB 2.0 Flash Memory Card Reader IR-5400-SL,,Buslink,IR-5400-SL,16.38
79,0,SAMSUNG S2 640GB USB 3.0 Portable External Hard Drive Red,Hard Drives,Samsung,HX-MTA64DA / G42,78.88,Cavalry USB 3.0 Portable External Hard Drive Enclosure EN-CAUG-3B Black,Computers Accessories,Cavalry,EN-CAUG-3B,28.29
80,0,Netgear Prosafe GS716T 16-port Ethernet Switch,Networking,netgear,GS716T-200NAS,238.0,Netgear ProSafe 16-port Fast Ethernet Unmanaged Plus Switch FS116E,Switches,netgear,FS116E-100NAS,69.99
81,0,Epson T020201 Color Ink Cartridge,Printers,Epson,T020201,27.0,Epson T029201 Tri-Color Ink Cartridge,Inkjet Printer Ink,Epson,T029201,14.69
82,1,Targus Red TG-6660TR Tripod with 3-Way Panhead,Tripods,Targus,TG-6660TR,29.98,New-Targus Red TG-6660TR Tripod with 3-Way Panhead,Tripods,Targus,,31.0
83,0,Da-Lite Da-Glas Unframed Rear Projection Screen - 43 1/4 x 57 3/4 Video Format,Electronics - General,da-lite,27602,920.99,Da-Lite 27512 Da-Plex Unframed Rear Projection Screen - 72 x 96 Video Format,Projection Screens,da-lite,unknown,unknown
84,0,XFX Radeon HD6850 PCIe 1GB DDR5 Graphics Card,Electronics - General,xfx,HD685XZNDC,195.0,XFX HD 6850 775M 1 GB DDR5 Graphics Card HD685XZNFC,Graphics Cards,xfx,HD685XZNFC,163.99
85,0,Lexmark X644A11A Black Toner Print Cartridge,Stationery & Office Machinery,Lexmark,X644A11A,326.24,Canon 104 Black Toner Cartridge,Laser Printer Toner,Canon,0263B001A,64.06
86,1,Xantech SLLC1 Speaker Level to Line Converter,Audio/Video Accessories,Xantech,SLLC1,40.88,Xantech SLLC1 Speaker Level to Line Converter,Audio/Video Accessories,Xantech,SLLC1,28.42
87,0,Logitech M305 Wireless Mouse Black,Mice,Logitech,910-001752,29.73,Logitech Wireless Mouse M310 Blue Shards 910-002483,Mice,Logitech,910-002483,19.95
88,1,Ilive App-Enhanced Boom Box With Ipod Iphone Dock,Electronics - General,ILIVE,IBP391B,63.88,Ilive IbP391B Portable App-Enhanced Boombox Am Fm Radio With Dock For Iphone Ipod,Speaker Systems,ILIVE,IBP391B,41.24
89,0,HON 310 Series Full-Suspension File,Storage,Hon,315CPP,549.0,HON 514PP - 510 Series Four-Drawer Full-Suspension File Letter 52H x25D Black,Headphones,Hon,,unknown
90,0,Verbatim 96438 2GB Store N Go USB 2.0 Flash Drive,USB Drives,Verbatim,96438,14.84,Verbatim Store N Go 16 GB USB 2.0 Flash Drive 96317 Red,USB Flash Drives,Verbatim,96317,22.99
91,0,Comprehensive 1 4 Standard Stereo Phone Jack Cable End Set of 25,TV Accessories,comprehensive,SPJ-S,35.75,Comprehensive Cables Standard Series HD15 Plug to Jack Cable 25ft,Cables Interconnects,comprehensive,unknown,26.7
92,0,Brother DK2113 QL Label Printers Continuous Length Tape,Stationery & Office Machinery,Brother,DK2113,64.88,Brother DK-2606 Continuous Length Film Label Roll Black Yellow,Labeling Tapes,Brother,DK-2606,50.69
93,0,Vtech DS6151 2-Line Expandable Cordless Phone with Digital Answering System Caller ID,Electronics - General,Vtech,DS6151,62.51,Vtech CS6419-2 DECT 6.0 Digital Two Handset Cordless Phone System with Caller ID,Cordless Telephones,Vtech,CS6419-2,31.29
94,0,Da-Lite Da-Glas Unframed Rear Projection Screen - 43 1/4 x 57 3/4 Video Format,Electronics - General,da-lite,27602,920.99,Da-Lite 27651 Da-Glas Deluxe Rear Projection Screen - 96 x 96 AV Format,Projection Screens,da-lite,unknown,unknown
95,0,iOSafe Rugged 250GB USB 3.0 Portable External Hard Drive,Hard Drives,iOSafe,PA50250U5YR,249.99,Iomega Ego Helium 320 GB USB 2.0 Portable External Hard Drive 34943,Computers Accessories,Iomega,34943,unknown
96,0,Seagate Blackarmor NAS 440 is a 4TB Network Attached Storage Server,Networking,Seagate,,599.0,Seagate Blackarmor NAS 220 2 - Bay 6 TB 2 x 3 TB Network Attached Storage Stav6000100 Black,Network Attached Storage,Seagate,Stav6000100,529.82
97,0,Innovera Heavyweight Photo Paper Matte 8-1/2 x 11 - 50 Sheets Pack,Stationery & Office Machinery,Innovera,99650,11.7,"Epson Amer Premium Photo Paper 68 lbs, High-Gloss 8-1/2 x 11 - 50 Sheets Pack",Storage Presentation Materials,Epson,S041667,26.95
98,0,Vantec 2 1 SATA 6G and PATA PCI-E Combo Host Card W RAID,Electronics - General,Vantec,UGT-IS602R,40.33,Vantec 4 1 SATA II 300 and PATA PCI-E Combo Host Card with RAID,Computers Accessories,Vantec,UGT-IS100R,26.64
99,0,Da-Lite Da-Plex Thru-The-Wall Rear Projection Screen - 78 x 139 HDTV Format,Electronics - General,da-lite,23077,11385.99,Da-Lite Da-Glas Thru-The-Wall Rear Projection Screen - 90 x 120 Video Format,Projection Screens,da-lite,23056,8729.48
100,0,Kodak Easyshare C1550 Purple 16MP Digital Camera Bundle w 5x Optical Zoom 3.0 LCD Display w 50 Bonus Prints,Digital Cameras,Kodak,C1550 PRPL BNDL,89.0,Kodak Easyshare C183 14MP Digital Camera w 3x Optical Zoom 3.0 Inch LCD Black,Point Shoot Digital Cameras,Kodak,,79.99
101,0,Bic Triumph 537RT Retractable Gel Pen 0.7 mm Blue 1-Dozen,Stationery & Office Machinery,Bic,RTR5711-BLU,16.99,BIC RTR7711RD - Triumph 730RT Roller Ball Retractable Gel Pen Red Ink Medium Dozen,Laminating Supplies,Bic,,unknown
102,0,Wausau Paper Astrobrights Colored Paper 24lb 8-1/2 x 11 Planetary Purple 500 Sheets Ream,Stationery & Office Machinery,Wausau Paper,22621,10.27,Wausau Paper Exact Colored Paper 24lb 8-1/2 x 11 Assorted 500 Sheets Ream,,Wausau,,unknown
103,0,Philips 6-outlet 3 surge protector,Electronics - General,philips,SPP3160C/17,0.0,Philips GP6PC6F 6-outlet home entertainment surge protector with 6-foot cord,Electrical,philips,GP6PC6F,14.95
104,0,Da-Lite Silver Matte Model C Manual Screen - 7 x 9 Av Format,Electronics - General,da-lite,90545,454.5,Da-Lite Model C with CSR - Projection Screen - 1 1 - Silver Matte,,da-lite,with csr,401.95
105,0,Microsoft VX-5000 Lifecam Webcam Red,Electronics - General,microsoft,RKA00014,27.82,Microsoft Lifecam HD-3000 T3H-00001,Webcams,microsoft,T3H-00001,30.24
106,0,Da-Lite Pearlescent Tensioned Advantage Electrol - AV Format 6 x 8 Diagonal,Electronics - General,Da-Lite,84381,2532.99,Da-Lite 97989 Da-Tex Rear Tensioned Cosmopolitan Electrol - AV Format 10 6 x 14 Diagonal,Projection Screens,Da-Lite,,unknown
107,0,HON Metal Bookcase 34-1 2W x 12-5 8D x 81-1 8H,Furniture,HON,S82ABCP,369.0,New-Hon S72ABCL - Metal Bookcase 5 Shelves 34-1 2W x 12-5 8D x 71H Putty - HONs72ABCL,Laminating Supplies,HON,unknown,380.0
108,0,Innovera 7653 Compatible Ink 8000 Page-Yield Red,Printers,Innovera,7653,54.1,Innovera 83608 - 83608 Compatible Solid Ink Stick 1 133 Page-Yield 7 Pack Black,Computer Accessories,Innovera,,unknown
109,1,Verbatim SmartDisk Acclaim 320GB USB Portable Hard Drive Blue,Hard Drives,Verbatim,VER97185,59.84,Verbatim Acclaim 320 GB USB 2.0 Portable External Hard Drive 97185 Blue,,Verbatim,97185,59.84
110,0,Kingston KTD-DM8400A 1G 1GB DDR2 SDRAM Memory Module,memory,Kingston,KTD-DM8400A / 1G,22.92,Kingston 8 GB DDR2 SDRAM Memory Module 8 GB 667MHz DDR2 SDRAM 240pin KTH-XW9400K2 8G,memory,Kingston,KTH-XW9400K2 / 8G,224.65
111,0,V7 10 Cat5E Snagless Network Patch Cable Blue,Electronics - General,v7,V7N3C5E-10F-BLUS,4.88,V7 Cat5E Snagless Molded Network Patch Cable RJ45 Male To Male Green 14-Foot V7N3C5E-14F-GRNS,Ethernet Cables,v7,V7N3C5E-14F-GRNS,2.63
112,1,D-Link DGS-1008P 8-Port Gigabit Ethernet PoE Switch,switches,D-Link,DGS-1008P,179.99,D-Link DGS-1008P - Switch - Unmanaged - 8 x 10/100/1000 - Desktop - PoE,switches,D-Link,DGS-1008P,132.0
113,0,Chicago Bears Pro Grip Mouse,Mice,Team Pro Mark,MSNF06,26.99,New York Jets Pro Grip Mouse,Mice,Team Promark,MSNF21,20.36
114,0,HP CE278A Black LaserJet Print Cartridge,Printers,HP,CE278A,69.84,HP Color LaserJet CB390A Print Cartridge in Retail Packaging,Printer Ink Toner,HP,CB390A,49.53
