id,label,left_title,right_title,left_brand,left_productType,left_series,left_modelPartNo,left_capacity,left_formFactor,left_interfaceBus,left_keySpecs,left_kitCount,left_editionColor,right_brand,right_productType,right_series,right_modelPartNo,right_capacity,right_formFactor,right_interfaceBus,right_keySpecs,right_kitCount,right_editionColor,left_speedPerf,right_speedPerf,left_product_type,left_interface,right_product_type,right_interface,left_Brand,left_Product Type,left_Capacity,left_Interface/Bus,left_Speed/Perf,right_Brand,right_Product Type,right_Capacity,right_Interface/Bus,right_Speed/Perf
10,0,Gigabyte Radeon RX 580 Gaming 4096MB GDDR5 PCI-Express Graphics Card | OcUK,AMD Radeon Pro WX 4100 4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,HP Intel Xeon E5-2650L 1.8GHz BL460c G8,HP BL460c G7 Intel Xeon E5607 Processor Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,HP DDR PC1600 EC Memory 256MB200MHz,HP DDR SDRAM Memory 256MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,HP SCSI DLT 15GB Ext 30GB Null,HP FC-AL HDD 146.8GB 10K Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,Samsung M390S0823DT1-C75 ASI SDRAM ECC RDIMM PC133 CL3 9c 8x8 1Rx8 3.3v 64MB,Kingston DataTraveler SE9 G2 16 GB USB 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,Corsair Air Series AF120 2pk High Airflow Fan 120mm Performance Edition,Corsair SP120 Performance Series High Pressure Dual Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,Seagate ST31000524NS 1TB 7200 RPM 3.5 SATA 3,HP 658071-B21 500GB 7200 RPM 3.5 SATA 6 SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,"HP Xeon E5504 2.0GHz DL320 G6, Null Wholesale 470065-235","HP Xeon E5335 2.0GHz DL140 G3, Null New 442992-B21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,HP 300 GB 6G 10K 2.5 DP SAS HDD DG0300FARVV,HP 300 GB 6G 10K 2.5 DP SAS SAS 5 Pack DG0300FARVV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,Samsung 840 EVO SSD MZ-7TE100BW 100GB SATA 6Gb/s,WD Blue WDS100T1B0A SSD 1TB SATA 6Gb/s (warranty 3 years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,Asus PCE-AC55BT network adapter,Asus PCE-AC55BT B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,HP DL360R G3 Xeon 2.8GHz 512MB,COMPAQ ML530R G3 Xeon 3.0GHz 1GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,Kingston HyperX Fury 16GB DDR3-1866 RAM,Corsair Vengeance 8GB (2 x 4GB) DDR3-1866 RAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,TP-Link AV1000 2-Port Gigabit Passthrough Powerline Starter Kit TL-PA7020P KIT,Tp-Link TL-WN881ND PCI-E N 300Mbps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,Corsair 8GB DDR3 UDIMM 10600 CL9 1.5V,HP Original 2GB DDR3 ECC UDIMM PC3-10600 CL9 1.5V Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,HP 72.8 GB 10K FC-AL HDD,HP 72.8 GB 10K FC-AL HDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,Asus Xonar Essence STX II 7.1 Sound Card 90YA00NNM0UA00,Asus DUAL-GTX1060-3G GPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,Lenovo ThinkPad 11e Chromebook - 4 GB RAM - 16 GB SSD - Celeron N3160,Open Box Lenovo ThinkPad Yoga 11e G3 - 1.6GHz Celeron N3160 - 4GB RAM - 16GB SSD - Chrome OS (20GE0003US),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,Corsair CMU32GX4M4C3000C15,Corsair Vengeance LED CMU64GX4M4C3000C15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,HP Pavilion 32 Monitor,Apple 12.9 iPad Pro Wi-Fi - tablet 32 GB 12.9 ML0G2LL/A Tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,Corsair Obsidian 350D Micro ATX Case - Black Corsair CC-9011028-WW,Corsair Carbide Series 400Q Mid Tower Case CC-9011100-WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,Kingston ValueRAM - DDR2 8 GB: 1 x 8 GB DIMM 240-pin KVR613D2S5HK2/8,Kingston ValueRAM - DDR3 8 GB: 2 x 4 GB DIMM 240-pin KVR13N9S8HK2/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,Samsung 16GB DDR3 PC12800 Memory M393B2G70DB0-YK0,4GB DDR3 PC3-12800 SODIMM RAM Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,Corsair AX860i,Corsair AX860i 80+ Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,HP Intel Xeon L5335 2.0GHz DL140 G3 1TB SATA,HP Intel Xeon E7-4830 1TB SATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,Logitech C270 3MP 1280 x 720pixels USB 2.0 Black webcam,WebCam HD C270 Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,Gigabyte Brix GB-BKi5HA-7200 Kit - Intel Core i5-7200U Processor SSD - Wired Systems Cebu Philippines,Apple Mac mini 2.8GHz Intel Core i5-4260U 4GB RAM 500GB SATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,Intel Core i7-4790 Processor - BX80646I74790 Add-In Processors (CPUs),S1150 Core i7-4790 4Core 3.60Ghz 8Mb HD4600 84W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,Intel Core i5-7600K 3.8GHz Quad-Core Processor BX80677I57600K,Intel Core i5-6400 2.70GHz Skylake Socket LGA1151 Processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,HP 240GB 6G 2.5 SATA SC SSD G8 G9 SSD,Intel Solid-State Drive DC S3500 Series SSD 120GB SATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,HP 10K FC-AL HDD 72.8 GB,HP 10K FC-AL HDD 300 GB 2 Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,HP OMEN X 17-ap000na Gaming Laptop - GTX 1070,Gigabyte GeForce GTX 1060 3GB G1 Gaming Video Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,PNY Elite Performance SDXC 64GB,Sandisk Extreme microSDXC 64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,HP Xeon 2.8GHz 1M 512MB BL20p G2,HP Xeon 2.8GHz 1M 512MB BL20p G2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,DL580R G2 (2P) Xeon 2.8GHz 325134-001,DL580R G2 Xeon (2) 2.8GHz 2MB 325134-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,"Intel Data Center S3710 Enterprise SSD SSD 800GB 2.5"" SATA 6Gb/s SSDSC2BA800G401",Intel Solid-State Drive DC S3710 Series - solid state drive 800 GB SATA Intel SATA SSDSC2BA800G401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,DL370 G4p Xeon 3.2 2MB 512MB Null,DL370 G6 Xeon E5540 2.53GHz Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,Seagate ST2000DM001 Internal HDD,Seagate Desktop 7200.14 2TB SATA 6Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,HP Spectre x360 13-ac004na 4K Convertible Laptop,OMEN X by HP 17-ap000na Gaming Laptop - GTX 1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,Intel Core i7 6700K 4.0 GHz,6th Generation Intel Core i5 6600K 3.5GHz Socket LGA1151 Skylake Processor - Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,Intel Pentium G4560 3.50GHz Kaby Lake Socket LGA1151 Processor,Intel Core i5-3570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,Corsair Vengeance 4GB DDR3-1333 Memory CMV4GX3M2A1333C9,Corsair - Vengeance 8GB (2 x 4GB) DDR3-1866 Memory Memory CMZ8GX3M2A1866C9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,HP Xeon E5405 2.0GHz DL740R (4P) Hz 1MB Null,HP Xeon L5335 2.0GHz DL140 G3 Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,Corsair Vengeance LPX DDR4 32GB (2x16GB) 3000MHz Memory Kit CMK32GX4M2B3000C15,Corsair Vengeance LPX DDR4 32GB (2x16GB) 3200MHz Memory Kit CMK32GX4M2B3200C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,NETGEAR ReadyNAS 212 Diskless Network Attached Storage,WD Black SATA-600 6TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,Apple iPad Pro Charcoal Gray Smart Cover MQ0G2ZM,Apple iPad Pro Midnight Blue Smart Cover MQ092ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,Zotac GeForce GTX 1060 AMP Edition 3072MB GDDR5 PCI-Express Graphics Card,ZOTAC GeForce GTX 1060 AMP! Edition 3GB Graphics Card PCI Express 3.0 DisplayPort HDMI DL-DVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,Western Digital IronWolf Pro 8TB 3.5 SATA 6Gb/s 7200RPM HDD,WD Purple Surveillance 2TB 3.5 SATA 6Gb/s HDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,HP Intel Xeon E7-4830,HP Xeon X7560 2.26GHz - 603608-B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,Cooler Master Micro ATX Computer Case Pro 3 Freeform Modular System,Corsair Carbide Series Air 240 Cube micro ATX Computer Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,233609-001 SA 5I for ML370 G2 no BBWC,233609-001 SA 5I for ML370 G2 no BBWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,Dell 233609 SA5 for ML370 G2 (no BBWC) SAS HBA,HP 495942-B21 E5506 2.13GHz ML370 G6 SAS HBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0,HP 1 GB Advanced ECC PC2700 DDR SDRAM DIMM Kit,HP 1GB PC3200 Reg ECC Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,Crucial DDR3L 8GB SODIMM 1600 MT/s CT102464BF160B,Crucial DDR3L 8GB SODIMM 1600 MT/s CT102464BF160B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,Intel Core i7-6900K 3.2 GHz,Intel Core i7-6850K 4.0 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,16GB DDR3-1866 708641-B21 Memory for Intel Servers Registered DIMMs (RDIMMs),HPE 16GB PC3-14900 DDR3 SDRAM DIMM 708641-B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,HP 512MB DDR2 SDRAM 200MHz - 249675-001,HP Proliant ML350 G4p PS 2 Pack - 390394-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,Lenovo Y700-15ISK i7-6700HQ 1TB Nvidia GTX960M 4GB W10,Asus P541UJ-GO626T i7-7500u 1TB Nvidia GT920 2GB W10 Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,Asus Transformer Mini T102HA D4 Atom x5 Z8350 4GB RAM 128GB,Apple iPad mini 4 Wi-Fi 128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,"Fujitsu MAY2073RC SSD 73GB 2.5"" SAS 10K",HP 300GB FC-AL HDD 10K 359461-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,"Apple MacBook Air 13"" i5/1.8GHz/8GB/256GB SSD","Apple MacBook Pro Touch Bar 15"" 256GB SSD Space Gray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0,Corsair CMV4GX3M2A1333C9 RAM Kit 4GB DDR3 1333MHz,Corsair Vengeance - DDR3 8 GB : 2 x 4 DIMM 240-pin Corsair 240-pin CMZ8GX3M2A1866C9 System Memory (RAM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0,Apple iPad Mini 4 Wi-fi Cell 64GB Silver,Apple 12.9-inch iPad Pro Wi-Fi - tablet 32 GB 12.9 ML0H2LL/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,AMD Athlon X4 870K BLACK Edition 95w Quiet Cooler LN70164 AD870KXBJCSBX,AMD RYZEN 5 1400 3.4GHz 10MB 4 CORE 65W AM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,Western Digital ST1000DM003 1TB SATA 64MB 3.5 HDD,Western Digital WD60EFRX 6TB SATA 6Gb/s 3.5 HD Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,Apple iPad Pro 10.5 Smart Keyboard,"Apple Smart Keyboard for 10.5 iPad Pro, US English",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,AMD A6 5400K Black Edition Dual Core APU 3.8/3.6GHZ Processor FM2 1MB Cache 65W Retail Box AMD AD540KOKHJBOX,AMD FX 6300 Comprar AMD 6300 em PowerPlanetOnline AMD FX-6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,Kingston HyperX Fury 16GB DDR3,Kingston HyperX Raev 16GB Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,Apple iPad Pro 12.9 Retina Display 256GB WiFi Space Gray,Apple iPad Pro 128GB Gris tablet Space Grey Black Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,HP DL585 (4P) OPT 848 2.2GHz,HP Intel Xeon E7-4820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0,HP DL760 Xeon 2.5 1MB (4P) 4G,HP BL20p G2 X2.8GHz/1MB 512MB 359623-B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,Apple Smart Keyboard for 10.5-inch iPad Pro,Apple 12.9-inch iPad Pro Wi-Fi - tablet 32 GB 12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0,HP L5640 Add-In Processor Kit,HP Xeon E5506 2.13GHz CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,Kingston Fury Black 16GB (1x16GB) DDR4-2400 C15 2400MHz Single Channel Module HX424C15FB/16,16GB DDR4-2133 CL14 DIMM FURYBLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,Asus Crosshair V Formula-Z Motherboard,ASRock Fatal1ty 990FX Killer Motherboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,Kingston 128MB PC100 ECC DDR SDRAM,HP 512MB PC2-5300 ECC DIMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0,Apple MacBook Pro 15-inch 256GB Touch Bar 2017 Space Gray,Apple MacBook Pro 15-inch 2.53GHz Core i5 Mid 2010 MC372LL/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,Targus Essential 15-15.6 Backpack Black,Targus Notebook Backpac 15.4 Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,"Microsoft Surface Pro i5-7300U 8GB 256GB SSD BT 12.3"" W10P","Apple MacBook Air (13-inch, 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,Apple iPad Pro Wi-Fi + Cellular 32GB Silver,Apple iPad Pro Wi-Fi 64GB Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0,Intel Xeon Processor E5 2690 v2 25M Cache 3.0 GHz,HP Intel Xeon E5-2603 1.8 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,Western Digital 6TB 3.5 SATA 128MB HDD,Western Digital 1TB 3.5 SATA 64MB HDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0,HP 512MB PC2-5300 ECC DIMM 432803-B21,HP 2GB FBD PC2-5300 2X1GB KIT 397411-B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0,Fujitsu 73 GB 10K 2.5 SAS,HP 72 GB 3G 15K 2.5 DP SAS HDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,Apple iPad Pro 128GB Gris tablet,Apple iPad Pro Charcoal Gray Smart Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0,HP Z440 Workstation - Xeon E5-1630V4 3.7 GHz 16 GB 1 TB SATA 6Gb/s,Lenovo ThinkServer RD350 - Xeon E5-2609V4 1.7 GHz 16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,Seagate Barracuda SATA 6Gb/s 1TB,HP G8 G9 3-TB 6G 7.2K 3.5 SATA SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0,HP Wide Ultra3 SCSI Adapter 154457-B21 0GB N/A N/A N/A N/A N/A N/A 1,HP NC340T Server Adapter 391661-B21 0GB N/A N/A N/A N/A N/A N/A 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,EVGA GeForce GTX 1080 8GB Founders Edition Video Card NVIDIA GM204 GP104-400-A 8GB GDDR5X PCI Express 3.0 x16,Zotac GeForce GTX 1080 TI AMP Edition Graphics Card NVIDIA GP102-350-A1 11GB GDDR5X PCI Express 3.0 x16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,Apple iPad Pro 128GB Gris tablet 2017 Wi-fi 256gb Space Grey,Apple iPad Pro 128GB Gris tablet Black Friday 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,"Seagate Expansion 1TB 2.5"" SATA 3 USB 3.0 Portable HDD STEA1000400",Seagate Expansion Portable 1TB HDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,Transcend USB Flash Drive 8GB 2.0,Corsair Slider X2 Voyager USB Flash Drive 32GB 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,PNY Quadro K1200 NVIDIA 4GB Low Profile DP Workstation Graphics Card LN63697,Gigabyte Radeon RX 480 G1 Gaming 4096MB GDDR5 PCI-Express Graphics Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,Asus ZenBook 3 UX390UA-GS042T i5-7200u 8GB 256GB SSD 12.5 W10 Blue Gold Deluxe,Asus ZenBook 3 Deluxe UX490UA-BE029T i5-7200u 8GB 256GB SSD 14 W10 Black Friday 2017 Megacomponentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0,Lenovo Legion Y520-15 i7-7700HQ 8GB 128GB SSD+1TB Nvidia GTX1050 4GB 15.6 W10 Portatil,HP Zbook 15 G3 i7-6700HQ 8GB 256GB SSD Quadro M1000 2GB 15.6 W7/W10Pro ZBook 14u G4 i7-7500U 16GB 512GB AMD FP W4190M 14 W10P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0,"Samsung 840 Series SSD MZ-7TD120BW 120GB 2.5"" SATA III",Samsung 840 Evo SSD 250GB SATA 6Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0,"Western Digital Red 3TB 3.5"" SATA 6Gb/s 5400RPM HDD","Seagate Barracuda ST2000DM001 2TB 3.5"" SATA 6Gb/s 5400RPM HDD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,Intel i7-6900K 3.20GHz Broadwell-E LGA2011-V3 Processor Retail BX80671I76900K,Intel i7-6900K 3.2Ghz Box Processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0,Gigabyte GA-H110M-S2HP Motherboard,Asus STRIX Z270G GAMING ROG Motherboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1,HP U320 SCSI 72.8-GB 10K SFF,HP U320 SCSI 72.8-GB 10K SFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0,"Seagate ST3750330NS 750GB 15K 3.5"" SATA 3Gb/s","Seagate ST1000DM003-2Pack 1TB 7.2K 3.5"" SATA 6Gb/s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1,Lenovo ThinkPad 14 Sleeve Black,ThinkPad 14 inch Sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0,Kingston ValueRAM DDR3 SO-DIMM 8GB PC1600 CL11,DDR3 SO DIMM 4GB PC1600 CL11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0,Flaptop Sleeve MacBook Air 13,AmazonBasics 13.3-Inch Laptop Sleeve - Black US Carrying Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0,Corsair SP120 High Performance Static Pressure Fan,Corsair Carbide Series Air 240 Mini Tower Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0,HP SC40Ge Host Bus Adapter HBA 449363-B21,HPE Ethernet 1Gb 4-port 331T Adapter 647594-B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0,AMD A4-7300 Dual Core Processor 3.80GHz Socket FM2+ with Radeon HD 8470D Graphics AD7300OKHLBOX,Intel Core i5-7500 3.40GHz Quad Core Processor boxed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0,Asus PCE-AC51 Wi-Fi Adapter for Desktop Computer/Notebook,Corsair Vengeance Pro CMY16GX3M2A2133C11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0,Adata CompactFlash Card ACF16GZ-R 16GB SATA III,PQI SDHC Card AE71-1630R01FZ 16GB SDHC Class 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0,HP 2GB PC2-5300 SDRAM Module 301044-B21,HP 2GB PC2-5300 SDRAM Module 432806-B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0,Dell XPS 12 Convertible Ultrabook,HP Ultrabook 14 Black Sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1,TP-Link PCI Express Wireless Adapter 300Mbps TL-WN881ND,TP-LINK TL-WN881ND - network adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,HP FlexFabric 10Gb 2-Port 554FLR Adapter,HP FlexFabric 10Gb 2-Port 554FLR Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0,Asus GeForce GTX 1070 Ti Turbo Boost PCIe 3.0 Graphics Card 8GB GDDR5,Asus DUAL-GTX1060-3G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,Intel Core i5-3570 3.4GHz Quad-Core Processor BX80637i53570,Intel Core i5-3570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
