id,label,name_left,name_right,addr_left,addr_right,city_left,city_right,phone_left,phone_right,type_left,type_right,class_left,class_right,left_canonical_name,left_standardized_address,left_standardized_city,left_standardized_phone,left_standardized_class,left_standardized_cuisine,right_canonical_name,right_standardized_address,right_standardized_city,right_standardized_phone,right_standardized_class,right_standardized_cuisine
20,0,` heera of india ',` rose of india ',' 595 piedmont ave. rio shopping mall ',' 308 e. sixth st. ',atlanta,` new york city ',404/876 -4408,212-533-5011,asian,indian,83,638,heera of india,595 piedmont avenue rio shopping mall,Atlanta,4048764408,unknown,asian,rose of india,308 e sixth street,new york city,2125335011,unknown,indian
21,0,` l \ ` osteria del forno ',` campo santo ',' 519 columbus ave. ',' 240 columbus ave. ',` san francisco ',` san francisco ',415/982 -1124,415-433-9623,italian,mexican,490,724,osteria del forno,519 columbus avenue,san francisco,4159821124,unknown,italian,campo santo,240 columbus avenue,San Francisco,4154339623,unknown,mexican
22,0,` bertolini \ 's ',moongate,' 3570 las vegas blvd. s ',' 3400 las vegas blvd. s. ',` las vegas ',` las vegas ',702/735 -4663,702-791-7352,italian,chinese,427,666,bertolini,3570 las vegas blvd s,las vegas,7027354663,unknown,italian,moongate,3400 las vegas blvd south,las vegas,7027917352,unknown,chinese
23,0,maykadeh,` greenwood \ 's ',' 470 green st. ',' 1087 green st. ',` san francisco ',roswell,415/362 -8286,770-992-5383,` greek and middle eastern ',southern/soul,495,693,maykadeh,470 green street,San Francisco,4153628286,unknown,greek and middle eastern,greenwood s,1087 green street,roswell,7709925383,unknown,southern/soul
24,0,dawat,petrossian,' 210 e. 58th st. ',' 182 w. 58th st. ',` new york ',` new york city ',212/355 -7555,212-245-2214,asian,russian,32,52,dawat,210 e 58th st,New York,2123557555,unknown,asian,petrossian,182 west 58th street,New York City,2122452214,unknown,russian
25,0,` the bacchanal ',` steak house the ',' 3570 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7525,702-734-0410,` only in las vegas ',steakhouses,449,72,bacchanal,3570 las vegas blvd s,las vegas,7027317525,unknown,unknown,steak house,2880 las vegas boulevard south,Las Vegas,7027340410,unknown,steakhouses
26,0,posto,` rubin \ 's red hots ',' 14928 ventura blvd. ',' 15322 ventura blvd. ',` sherman oaks ',encino,818/784 -4400,818-905-6515,italian,` hot dogs ',156,590,posto,14928 ventura blvd.,Sherman Oaks,8187844400,unknown,italian,rubin red hots,15322 ventura boulevard,Encino,8189056515,unknown,hot dogs
27,0,` antonio \ 's ',` buzio \ 's in the rio ',' 3700 w. flamingo ',' 3700 w. flamingo rd. ',` las vegas ',` las vegas ',702/252 -7737,702-252-7697,italian,seafood,423,658,antonio s,3700 w flamingo road,Las Vegas,7022527737,unknown,italian,buzio s in the rio,3700 w flamingo road,Las Vegas,7022527697,unknown,seafood
28,0,` ruth \ 's chris ',` le bernardin ',' 148 w. 51st st. ',' 155 w. 51st st. ',` new york ',` new york city ',212/245 -9600,212-489-1515,american,seafood,338,41,ruths chris,148 w 51st street,new york,2122459600,unknown,american,le bernardin,155 w 51st street,new york city,2124891515,41,seafood
29,0,` tommy tang \ 's ',patina,' 7313 melrose ave. ',' 5955 melrose ave. ',` los angeles ',` los angeles ',213/937 -5733,213-467-1108,asian,californian,167,16,tommy tangs,7313 melrose avenue,Los Angeles,2139375733,unknown,asian,patina,5955 melrose avenue,Los Angeles,2134671108,unknown,californian
30,0,` circus circus ',` sterling brunch ',' 2880 las vegas blvd. s ',' 3645 las vegas blvd. s. ',` las vegas ',` las vegas ',702/734 -0410,702-739-4651,buffets,eclectic,437,673,circus circus,2880 las vegas blvd s,las vegas,7027340410,unknown,buffets,sterling brunch,3645 las vegas blvd s,Las Vegas,7027394651,unknown,eclectic
31,0,` l \ ` orangerie ',matsuhisa,' 903 n. la cienega blvd. ',' 129 n. la cienega blvd. ',` los angeles ',` beverly hills ',310/652 -9770,310-659-9639,french,seafood,11,14,orangerie,903 n la cienega blvd,los angeles,3106529770,unknown,french,matsuhisa,129 n la cienega blvd,Beverly Hills,3106599639,unknown,seafood
32,0,vong,` sparks steak house ',' 200 e. 54th st. ',' 210 e. 46th st. ',` new york ',` new york city ',212/486 -9592,212-687-4855,american,steakhouses,373,641,vong,200 e. 54th street,New York,2124869592,unknown,american,sparks steak house,210 e 46th street,New York City,2126874855,unknown,steakhouse
33,0,` margarita \ 's mexican cantina ',` steak house the ',' 3120 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/794 -8200,702-734-0410,mexican,steakhouses,444,72,margaritas mexican cantina,3120 las vegas blvd s,Las Vegas,7027948200,unknown,mexican,steak house,2880 las vegas boulevard south,las vegas,7027340410,unknown,steakhouses
34,0,` dining room ritz-carlton buckhead ',` palm the ( atlanta ) ',' 3434 peachtree rd. ',' 3391 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-814-1955,international,steakhouses,90,709,dining room ritz-carlton buckhead,3434 peachtree road,Atlanta,4042372700,unknown,international,palm the,3391 peachtree road ne,atlanta,4048141955,unknown,steakhouses
35,0,` dante \ 's down the hatch buckhead ',abruzzi,' 3380 peachtree rd. ',' 2355 peachtree rd. ne ',atlanta,atlanta,404/266 -1600,404-261-8186,continental,italian,393,74,dante s down the hatch buckhead,3380 peachtree road,atlanta,4042661600,unknown,continental,abruzzi,2355 peachtree road northeast,Atlanta,4042618186,unknown,italian
36,0,helmand,` la caridad ',' 430 broadway ',' 2199 broadway ',` san francisco ',` new york city ',415/362 -0641,212-874-2780,` greek and middle eastern ',cuban,479,622,helmand,430 broadway,san francisco,4153620641,unknown,greek and middle eastern,la caridad,2199 broadway,new york city,2128742780,unknown,cuban
37,0,` ralph \ 's diner ',` tre visi ',' 3000 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/732 -6330,702-891-7331,` coffee shops/diners ',italian,448,674,ralphs diner,3000 las vegas boulevard south,Las Vegas,7027326330,unknown,coffee shops/diners,tre visi,3799 las vegas blvd s,Las Vegas,7028917331,unknown,italian
38,0,` yoyo tsumami bistro ',postrio,' 1611 post st. ',' 545 post st. ',` san francisco ',` san francisco ',415/922 -7788,415-776-7825,french,californian,530,109,yoyo tsumami bistro,1611 post street,San Francisco,4159227788,unknown,french,postrio,545 post street,San Francisco,4157767825,unknown,californian
39,1,seryna,seryna,'11 e. 53rd st. ','11 e. 53rd st. ',` new york ',` new york city ',212/980 -9393,212-980-9393,asian,japanese,59,59,seryna,11 e street,New York,2129809393,unknown,asian,seryna,11 e 53rd street,New York City,2129809393,unknown,japanese
40,0,` luna si ',` brookhaven cafe ',' 1931 peachtree rd. ',' 4274 peachtree rd. ',atlanta,atlanta,404/355 -5993,404-231-5907,continental,vegetarian,405,682,luna si,1931 peachtree road,Atlanta,4043555993,unknown,continental,brookhaven cafe,4274 peachtree road,Atlanta,4042315907,unknown,vegetarian
41,0,mikado,` monte carlo ',' 3400 las vegas blvd. s ',' 3145 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-733-4524,asian,` french ( new ) ',446,665,mikado,3400 las vegas blvd s,Las Vegas,7027917111,unknown,asian,monte carlo,3145 las vegas blvd s,Las Vegas,7027334524,unknown,french
42,0,bistro,moongate,' 3400 las vegas blvd. s ',' 3400 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-791-7352,continental,chinese,429,666,bistro,3400 las vegas blvd s,Las Vegas,7027917111,unknown,continental,moongate,3400 las vegas boulevard south,las vegas,7027917352,unknown,chinese
43,0,` cafe fes ',` cafe flore ',' 246 w. 4th st. at charles st. ',' 2298 market st. ',` new york ',` san francisco ',212/924 -7653,415-621-8579,mediterranean,californian,205,722,cafe fes,246 west 4th street at charles street,new york,2129247653,unknown,mediterranean,cafe flore,2298 market street,San Francisco,4156218579,unknown,californian
44,0,mikado,` sterling brunch ',' 3400 las vegas blvd. s ',' 3645 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-739-4651,asian,eclectic,446,673,mikado,3400 las vegas boulevard south,las vegas,7027917111,unknown,asian,sterling brunch,3645 las vegas blvd s,las vegas,7027394651,unknown,eclectic
45,0,` pinot bistro ',` rubin \ 's red hots ',' 12969 ventura blvd. ',' 15322 ventura blvd. ',` los angeles ',encino,818/990 -0500,818-905-6515,french,` hot dogs ',18,590,pinot bistro,12969 ventura blvd.,Los Angeles,8189900500,unknown,french,rubin red hots,15322 ventura blvd.,Encino,8189056515,unknown,hot dogs
46,1,` masa \ 's ',` masa \ 's ',' 648 bush st. ',' 648 bush st. ',` san francisco ',` san francisco ',415/989 -7154,415-989-7154,french,` french ( new ) ',106,106,masa s,648 bush street,san francisco,4159897154,unknown,french,masa s,648 bush street,san francisco,4159897154,unknown,french
47,0,'em press court ',` spago ( las vegas ) ',' 3570 las vegas blvd. s ',' 3500 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7888,702-369-6300,asian,californian,438,670,em press court,3570 las vegas boulevard south,Las Vegas,7027317888,unknown,asian,spago,3500 las vegas boulevard south,Las Vegas,7023696300,unknown,californian
48,1,` mesa grill ',` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',' 102 fifth ave. ',` new york ',` new york city ',212/807 -7400,212-807-7400,american,southwestern,47,47,mesa grill,102 5th avenue between 15th and 16th streets,New York,2128077400,unknown,american,mesa grill,102 fifth avenue,New York City,2128077400,unknown,southwestern
49,0,` chin \ 's ',` michael \ 's ( las vegas ) ',' 3200 las vegas blvd. s ',' 3595 las vegas blvd. s. ',` las vegas ',` las vegas ',702/733 -8899,702-737-7111,asian,continental,67,664,chins,3200 las vegas boulevard south,Las Vegas,7027338899,unknown,asian,michael's,3595 las vegas blvd s,Las Vegas,7027377111,unknown,continental
50,0,patina,` mo better meatty meat ',' 5955 melrose ave. ',' 7261 melrose ave. ',` los angeles ',la,213/467 -1108,213-935-5280,californian,hamburgers,16,579,patina,5955 melrose avenue,Los Angeles,2134671108,unknown,californian,mo better meaty meat,7261 melrose avenue,la,2139355280,unknown,hamburgers
51,0,triangolo,` cafe lalo ',' 345 e. 83rd st. ',' 201 w. 83rd st. ',` new york ',` new york city ',212/472 -4488,212-496-6031,italian,coffeehouses,363,26,triangolo,345 e 83rd street,New York,2124724488,unknown,italian,cafe lalo,201 w. 83rd street,New York City,2124966031,unknown,coffeehouses
52,0,` gilliland \ 's ',` chinois on main ',' 2424 main st. ',' 2709 main st. ',` santa monica ',` santa monica ',310/392 -3901,310-392-9025,american,` pacific new wave ',135,5,gilliland s,2424 main street,Santa Monica,3103923901,unknown,american,chinois on main,2709 main street,Santa Monica,3103929025,unknown,pacific new wave
53,1,` nikolai \ 's roof ',` nikolai \ 's roof ',' 255 courtland st. at harris st. ',' 255 courtland st. ',atlanta,atlanta,404/221 -6362,404-221-6362,continental,continental,87,87,nikolai's roof,255 courtland street at harris street,Atlanta,4042216362,unknown,continental,nikolai s roof,255 courtland street,Atlanta,4042216362,unknown,continental
54,0,dawat,` sparks steak house ',' 210 e. 58th st. ',' 210 e. 46th st. ',` new york ',` new york city ',212/355 -7555,212-687-4855,asian,steakhouses,32,641,dawat,210 e 58th street,new york,2123557555,unknown,asian,sparks steak house,210 e 46th street,New York City,2126874855,unknown,steakhouse
55,1,` le bernardin ',` le bernardin ',' 155 w. 51st st. ',' 155 w. 51st st. ',` new york ',` new york city ',212/489 -1515,212-489-1515,french,seafood,41,41,le bernardin,155 w. 51st street,New York,2124891515,unknown,french,le bernardin,155 west 51st street,new york city,2124891515,41,seafood
56,0,faz,` fleur de lys ',' 161 sutter st. ',' 777 sutter st. ',` san francisco ',` san francisco ',415/362 -0404,415-673-7779,` greek and middle eastern ',` french ( new ) ',469,100,faz,161 sutter street,San Francisco,4153620404,unknown,greek and middle eastern,fleur de lys,777 sutter street,San Francisco,4156737779,unknown,french
57,0,` veni vidi vici ',` bobby & june \ 's kountry kitchen ','41 14th st. ',' 375 14th st. ',atlanta,atlanta,404/875 -8424,404-876-3872,italian,southern/soul,93,680,veni vidi vici,41 14th street,Atlanta,4048758424,unknown,italian,bobby june kountry kitchen,375 14th street,atlanta,4048763872,unknown,southern
58,0,mikado,` spago ( las vegas ) ',' 3400 las vegas blvd. s ',' 3500 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-369-6300,asian,californian,446,670,mikado,3400 las vegas blvd s,las vegas,7027917111,unknown,asian,spago,3500 las vegas blvd s,Las Vegas,7023696300,unknown,californian
59,0,cite,` le bernardin ',' 120 w. 51st st. ',' 155 w. 51st st. ',` new york ',` new york city ',212/956 -7100,212-489-1515,french,seafood,220,41,cite,120 w. 51st street,New York,2129567100,unknown,french,le bernardin,155 w 51st street,new york city,2124891515,41,seafood
60,1,oceana,oceana,'55 e. 54th st. ','55 e. 54th st. ',` new york ',` new york city ',212/759 -5941,212-759-5941,seafood,seafood,50,50,oceana,55 e. 54th street,New York,2127595941,unknown,seafood,oceana,55 e street,new york city,2127595941,unknown,seafood
61,0,toulouse,` original pancake house ( at ) ',' b peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/351 -9533,404-237-4116,french,american,92,708,toulouse,b peachtree road,Atlanta,4043519533,unknown,french,original pancake house,4330 peachtree road,Atlanta,4042374116,unknown,american
62,0,` cafe roma ',` steak house the ',' 3570 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-734-0410,` coffee shops/diners ',steakhouses,433,72,cafe roma,3570 las vegas blvd s,las vegas,7027317547,unknown,coffee shops/diners,steak house,2880 las vegas boulevard south,Las Vegas,7027340410,unknown,steakhouses
63,0,manora,boulevard,' 3226 mission st. ',' 1 mission st. ',` san francisco ',` san francisco ',415/861 -6224,415-543-6084,asian,` american ( new ) ',494,96,manora,3226 mission street,San Francisco,4158616224,unknown,asian,boulevard,1 mission street,San Francisco,4155436084,unknown,american
64,0,` canter \ 's ',` carey \ 's ',' 419 n. fairfax ave. ',' 1021 cobb pkwy . se ',` los angeles ',marietta,213/651 -2030 .,770-422-8042,american,hamburgers,122,685,canters,419 north fairfax avenue,Los Angeles,2136512030,unknown,american,carey s,1021 cobb pkwy se,marietta,7704228042,unknown,hamburgers
65,0,` hong kong villa ',` alain rondelli ',' 2332 clement st. ',' 126 clement st. ',` san francisco ',` san francisco ',415/752 -8833,415-387-0408,asian,` french ( new ) ',481,94,hong kong villa,2332 clement street,San Francisco,4157528833,unknown,asian,alain rondelli,126 clement street,San Francisco,4153870408,unknown,french
66,0,mikado,` coyote cafe ( las vegas ) ',' 3400 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-891-7349,asian,southwestern,446,68,mikado,3400 las vegas blvd s,las vegas,7027917111,unknown,asian,coyote cafe,3799 las vegas boulevard south,Las Vegas,7028917349,unknown,southwestern
67,0,` bertolini \ 's ',` sterling brunch ',' 3570 las vegas blvd. s ',' 3645 las vegas blvd. s. ',` las vegas ',` las vegas ',702/735 -4663,702-739-4651,italian,eclectic,427,673,bertolini's,3570 las vegas boulevard south,Las Vegas,7027354663,unknown,italian,sterling brunch,3645 las vegas blvd s,Las Vegas,7027394651,unknown,eclectic
68,0,helmand,` gray \ 's papaya ',' 430 broadway ',' 2090 broadway ',` san francisco ',` new york city ',415/362 -0641,212-799-0243,` greek and middle eastern ',` hot dogs ',479,614,helmand,430 broadway,San Francisco,4153620641,unknown,greek and middle eastern,grays papaya,2090 broadway,new york city,2127990243,unknown,hot dogs
69,0,` cafe roma ',moongate,' 3570 las vegas blvd. s ',' 3400 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-791-7352,` coffee shops/diners ',chinese,433,666,cafe roma,3570 las vegas blvd s,las vegas,7027317547,unknown,coffee,moongate,3400 las vegas blvd s,Las Vegas,7027917352,unknown,chinese
70,0,` jack \ 's ',` joe \ 's ',' 615 sacramento st. ',' 1023 abbot kinney blvd. ',` san francisco ',venice,415/986 -9854,310-399-5811,` old san francisco ',` american ( new ) ',485,560,jack s,615 sacramento street,san francisco,4159869854,unknown,unknown,joes,1023 abbot kinney boulevard,venice,3103995811,unknown,american
71,0,` dining room ritz-carlton buckhead ',` original pancake house ( at ) ',' 3434 peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/237 -2700,404-237-4116,international,american,90,708,dining room ritz-carlton,3434 peachtree road,Atlanta,4042372700,unknown,international,original pancake house,4330 peachtree road,Atlanta,4042374116,unknown,american
72,0,lutece,` lespinasse ( new york city ) ',' 249 e. 50th st. ',' 2 e. 55th st. ',` new york ',` new york city ',212/752 -2225,212-339-6719,french,asian,44,43,lutece,249 e 50th street,New York,2127522225,unknown,french,lespinasse,2 e 55th street,new york city,2123396719,unknown,asian
73,0,'em press court ',` madame ching \ 's ',' 3570 las vegas blvd. s ',' 3300 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7888,702-894-7111,asian,asian,438,662,em press court,3570 las vegas boulevard south,las vegas,7027317888,unknown,asian,madame chings,3300 las vegas blvd s,Las Vegas,7028947111,unknown,asian
74,0,` mary mac \ 's tea room ',tortillas,' 224 ponce de leon ave. ',' 774 ponce de leon ave. ne ',atlanta,atlanta,404/876 -1800,404-892-0193,southern,tex-mex,86,716,mary macs tea room,224 ponce de leon avenue,Atlanta,4048761800,unknown,southern,tortillas,774 ponce de leon avenue ne,Atlanta,4048920193,unknown,tex-mex
75,0,valentino,` rae \ 's ',' 3115 pico blvd. ',' 2901 pico blvd. ',` santa monica ',` santa monica ',310/829 -4313,310-828-7937,italian,diners,21,589,valentino,3115 pico blvd.,Santa Monica,3108294313,unknown,italian,raes,2901 pico boulevard,Santa Monica,3108287937,unknown,diners
76,0,lulu,` hamburger mary \ 's ',' 816 folsom st. ',' 1582 folsom st. ',` san francisco ',` san francisco ',415/495 -5775,415-626-1985,mediterranean,hamburgers,105,732,lulu,816 folsom street,San Francisco,4154955775,unknown,mediterranean,hamburger marys,1582 folsom street,san francisco,4156261985,unknown,hamburgers
77,0,tomtom,` white house restaurant ',' 3393 peachtree rd. ',' 3172 peachtree rd. ne ',atlanta,atlanta,404/264 -1163,404-237-7601,continental,diners,422,719,tomtom,3393 peachtree road,Atlanta,4042641163,unknown,continental,white house restaurant,3172 peachtree road ne,Atlanta,4042377601,unknown,diners
78,0,` broadway deli ',` benita \ 's frites ',' 3rd st. promenade ',' 1433 third st. promenade ',` santa monica ',` santa monica ',310/451 -0616,310-458-2889,american,` fast food ',117,538,broadway deli,3rd street promenade,Santa Monica,3104510616,unknown,american,benitas frites,1433 third street promenade,Santa Monica,3104582889,unknown,fast food
79,0,bistro,'em eril \ 's new orleans fish house ',' 3400 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-891-7374,continental,seafood,429,659,bistro,3400 las vegas boulevard south,Las Vegas,7027917111,unknown,continental,emerils-new-orleans-fish-house,3799 las vegas blvd s,las vegas,7028917374,unknown,seafood
80,0,` pano \ 's and paul \ 's ',canoe,' 1232 w. paces ferry rd. ',' 4199 paces ferry rd. ',atlanta,atlanta,404/261 -3662,770-432-2663,international,` american ( new ) ',88,684,panos and pauls,1232 w paces ferry rd.,Atlanta,4042613662,unknown,international,canoe,4199 paces ferry road,atlanta,7704322663,unknown,american
81,0,tomtom,` ritz-carlton dining room ( buckhead ) ',' 3393 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/264 -1163,404-237-2700,continental,` american ( new ) ',422,90,tomtom,3393 peachtree road,Atlanta,4042641163,unknown,continental,ritz-carlton dining room,3434 peachtree road ne,atlanta,4042372700,unknown,american
82,0,vong,` second street grill ',' 200 e. 54th st. ',' 200 e. fremont st. ',` new york ',` las vegas ',212/486 -9592,702-385-6277,american,` pacific rim ',373,71,vong,200 e. 54th street,new york,2124869592,unknown,american,second street grill,200 e fremont street,Las Vegas,7023856277,unknown,pacific rim
83,0,` hedgerose heights inn ',` pano \ 's & paul \ 's ',' 490 e. paces ferry rd. ',' 1232 w. paces ferry rd. ',atlanta,atlanta,404/233 -7673,404-261-3662,international,` american ( new ) ',82,88,hedgerose heights inn,490 e paces ferry road,Atlanta,4042337673,unknown,international,pano s pauls,1232 w paces ferry rd,atlanta,4042613662,unknown,american
84,0,` ritz-carlton restaurant and dining room ',` ritz-carlton restaurant ',' 600 stockton st. ',' 181 peachtree st. ',` san francisco ',atlanta,415/296 -7465,404-659-0400,american,` french ( classic ) ',110,91,ritz-carlton restaurant and dining room,600 stockton street,San Francisco,4152967465,unknown,american,ritz-carlton,181 peachtree street,Atlanta,4046590400,unknown,french
85,0,` cafe roma ',` morton \ 's of chicago ( las vegas ) ',' 3570 las vegas blvd. s ',' 3200 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-893-0703,` coffee shops/diners ',steakhouses,433,667,cafe roma,3570 las vegas boulevard south,las vegas,7027317547,unknown,coffee shops/diners,morton's of chicago,3200 las vegas boulevard south,Las Vegas,7028930703,unknown,steakhouses
86,0,` fleur de jour ',` fleur de lys ',' 348 e. 62nd st. ',' 777 sutter st. ',` new york ',` san francisco ',212/355 -2020,415-673-7779,` coffee bar ',` french ( new ) ',245,100,fleur de jour,348 east 62nd street,New York,2123552020,unknown,coffee,fleur de lys,777 sutter street,San Francisco,4156737779,unknown,french
