id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,left_vldb,right_vldb
25,0,Temporal Database System Implementations,VAL -,ACM SIGMOD Record,VAL -,Temporal Conditions and Integrity Constraints in Active Database Systems,"A. Prasad Sistla, Ouri Wolfson",SIGMOD Conference,1995,,
26,1,ANSI SQL hierarchical processing can fully integrate native XML,Michael M. David,ACM SIGMOD Record,2003,ANSI SQL hierarchical processing can fully integrate native XML,Michael M. David,ACM SIGMOD Record,2003,VAL -,VAL -
27,1,Warping Indexes with Envelope Transforms for Query by Humming,"Dennis Shasha, Yunyue Zhu",SIGMOD Conference,2003,Warping Indexes with Envelope Transforms for Query by Humming,"Yunyue Zhu, Dennis Shasha",International Conference on Management of Data,2003,VAL -,VAL -
28,0,Reminiscences on Influential Papers,VAL -,ACM SIGMOD Record,VAL -,Influential Papers,Ken Ross,ACM SIGMOD Record,2002,,
29,0,Database Research at UT Arlington,"Sharma Chakravarthy, Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, Jung-Hwan Oh",VAL -,VAL -,Database Research at Arizona State University,"Susan D. Urban, Suzanne W. Dietrich, Forouzan Golshani",ACM SIGMOD Record,1996,,
30,0,Lore: A Database Management System for Semistructured Data,"Roy Goldman, Serge Abiteboul, Jennifer Widom, Dallan Quass, Jason McHugh",ACM SIGMOD Record,1997,Dwms: Data Warehouse Management System,VAL -,Very Large Data Bases,VAL -,VAL -,VLDB
31,0,Discover: Keyword Search in Relational Databases,"Vagelis Hristidis, Yannis Papakonstantinou",VLDB,VAL -,Converting Relational to Object-Oriented Databases,Joseph Fong,ACM SIGMOD Record,VAL -,,
32,0,Incremental Computation and Maintenance of Temporal Aggregates,VAL -,VLDB Journal,2003,Incremental Maintenance of Recursive Views Using Relational Calculus/SQL,"Guozhu Dong, Jianwen Su",ACM SIGMOD Record,2000,,
33,0,Procedures in Object-Oriented Query Languages,VAL -,VLDB,VAL -,An Effective Deductive Object-Oriented Database through Language Integration,"Maria L. Barja, Norman W. Paton, Alvaro A. A. Fernandes, M. Howard Williams, Andrew Dinn",Very Large Data Bases,1994,,
34,1,Opossum: Desk-Top Schema Management Through Customizable Visualization,"Miron Livny, Eben M. Haber, Yannis E. Ioannidis",VAL -,1995,Opossum: Desk-Top Schema Management Through Customizable Visualization,"Eben M. Haber, Yannis E. Ioannidis, Miron Livny",Very Large Data Bases,1995,,
35,0,DMS: A Parallel Data Mining Server,VAL -,VLDB,1998,Scalable Parallel Data Mining for Association Rules,"Eui-Hong Han, George Karypis, Vipin Kumar",SIGMOD Conference,1997,,
36,1,NAOS: Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,VAL -,VLDB,1994,NAOS: Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,"Christine Collet, Thierry Coupaye, T. Svensen",VLDB,VAL -,,
37,0,User-Adaptive Exploration of Multidimensional Data,Sunita Sarawagi,VLDB,VAL -,A Foundation for Multi-Dimensional Databases,"Marc Gyssens, Laks V. S. Lakshmanan",Very Large Data Bases,1997,,
38,1,"A Query Language for Multidimensional Arrays: Design, Implementation, and Optimization Techniques","Limsoon Wong, Rona Machlin, Leonid Libkin",VAL -,1996,"A Query Language for Multidimensional Arrays: Design, Implementation, and Optimization Techniques","Leonid Libkin, Rona Machlin, Limsoon Wong",SIGMOD Conference,VAL -,,
39,1,Comprehension Syntax,VAL -,ACM SIGMOD Record,1994,Comprehension Syntax,"Peter Buneman, Leonid Libkin, Dan Suciu, Val Tannen, Limsoon Wong",ACM SIGMOD Record,1994,VAL -,VAL -
40,0,Buffering accesses to memory-resident index structures,"Jingren Zhou, Kenneth A. Ross",VLDB,VAL -,Efficient index structures for string databases,VAL -,Very Large Data Bases,VAL -,,
41,0,Secure Transaction Processing in Firm Real-Time Database Systems,VAL -,SIGMOD Conference,1997,Revisiting Commit Processing in Distributed Database Systems,"Ramesh Gupta, Jayant Haritsa, Krithi Ramamritham",International Conference on Management of Data,VAL -,,
42,0,SemInt: A System Prototype for Semantic Integration in Heterogeneous Databases,"Wen-Syan Li, Chris Clifton",SIGMOD Conference,1995,A Scalable Architecture for Autonomous Heterogeneous Database Interactions Very Large Data Bases,"Steven Milliner, Athman Bouguettaya, Mike P. Papazoglou",VAL -,1995,,
43,0,Mining System Audit Data,VAL -,ACM SIGMOD Record,2001,Amicalola Report: Database and Information Systems Research Challenges and Opportunities in Semantic Web and Enterprises,"Amit Sheth, Robert Meersman",ACM SIGMOD Record,2002,,
44,0,Sit-in: A Real-life Spatio-Temporal Information System,VAL -,VLDB,2001,Environmental Information Systems,Oliver Güther,ACM SIGMOD Record,1997,,
45,0,Partial Results for Online Query Processing,VAL -,SIGMOD Conference,2002,Sequence Query Processing,"Praveen Seshadri, Miron Livny, Raghu Ramakrishnan",SIGMOD Conference,1994,VAL -,VAL -
46,1,Beyond Market Baskets: Generalizing Association Rules to Correlations,"Rajeev Motwani, Sergey Brin, Craig Silverstein",SIGMOD Conference,1997,Beyond Market Baskets: Generalizing Association Rules to Correlations,"Sergey Brin, Rajeev Motwani, Craig Silverstein",VAL -,1997,,
47,0,Tracing the Lineage of View Data in a Warehousing Environment,"Janet L. Wiener, Yingwei Cui, Jennifer Widom",VAL -,2000,Lineage Tracing for General Data Warehouse Transformations,"Yingwei Cui, Jennifer Widom",Very Large Data Bases,2001,,
48,0,editorial,"peter m. g. apers, stefano ceri, richard t. snodgrass",VLDB Journal,2002,editorial,richard t. snodgrass,TODS,2001,VLDB Journal,VAL -
49,0,Mining Fuzzy Association Rules in Databases,VAL -,ACM SIGMOD Record,1998,A New SQL-Like Operator for Mining Association Rules,"Rosa Meo, Giuseppe Psaila, Stefano Cerri",Very Large Data Bases,1996,VAL -,VLDB
50,0,Query Optimization in the Presence of Limited Access Patterns,VAL -,SIGMOD Conference,1999,Minimization of Tree Pattern Queries,"Sihem Amer-Yahia, Sungran Cho, Laks V. S. Lakshmanan, Divesh Srivastava",SIGMOD Conference,2001,,
51,0,Query Optimization For Selections Using Bitmaps,VAL -,SIGMOD Conference,1999,Query Optimization In Compressed Database Systems,"Zhiyuan Chen, Johannes Gehrke, Flip Korn",International Conference on Management of Data,2001,,
52,0,Reminiscences on Influential Papers,VAL -,ACM SIGMOD Record,VAL -,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2003,,
53,1,User-defined table operators: enhancing extensibility for ORDBMS,"Bernhard Mitschang, Michael Jaedicke",VAL -,VAL -,User-defined table operators: enhancing extensibility for ORDBMS,"Michael Jaedicke, Bernhard Mitschang",Very Large Data Bases,1999,,
54,0,distance browsing in spatial databases,"Hanan Samet, Gísli R. Hjaltason",ACM Trans. Database Syst.,1999,selectivity estimation in spatial databases,"Swarup Acharya, Viswanath Poosala, Sridhar Ramaswamy",SIGMOD Conference,1999,,
55,0,Answering XML Queries on Heterogeneous Data Sources,VAL -,VLDB,2001,Describing and Using Query Capabilities of Heterogeneous Sources,"Vassalos, Vasilis; Papakonstantinou, Yannis",Very Large Data Bases,1997,,
56,0,Index Configuration in Object-Oriented Databases,VAL -,VLDB Journal,1994,A Cost Model for Clustered Object-Oriented Databases,"Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang",Very Large Data Bases,1995,,
57,0,Reminiscences on Influential Papers,VAL -,ACM SIGMOD Record,1998,Influential Papers,Ken Ross,ACM SIGMOD Record,2002,VAL -,VAL -
58,0,Reminiscences on Influential Papers,"Kaladhar Voruganti, Renée J. Miller, Kenneth A. Ross, Flip Korn",VAL -,2002,Reminiscences on Influential Papers,VAL -,ACM SIGMOD Record,1998,,
59,1,Filtering with Approximate Predicates,"Hector Garcia-Molina, Narayanan Shivakumar, Chandra Chekuri",VLDB,1998,Filtering with Approximate Predicates,"Narayanan Shivakumar, Hector Garcia-Molina, Chandra Chekuri",Very Large Data Bases,1998,,
60,0,SQL Query Optimization: Reordering for a General Class of Queries,"Piyush Goel, Balakrishna R. Iyer",VAL -,1996,Probabilistic Optimization of Top N Queries,VAL -,Very Large Data Bases,1999,,
61,1,Hierarchical Compact Cube for Range-Max Queries,VAL -,VLDB,VAL -,Hierarchical Compact Cube for Range-Max Queries,"Sin Yeung Lee, Tok Wang Ling, Hua-Gang Li",Very Large Data Bases,VAL -,,
62,0,Index Configuration in Object-Oriented Databases,VAL -,VLDB Journal,1994,Opt++: An Object-Oriented Implementation for Extensible Database Query Optimization,"Navin Kabra, David J. Dewitt",ACM SIGMOD Record,1999,,
63,0,Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases,VAL -,VAL -,VAL -,Implementing Deductive Databases by Mixed Integer Programming,"Colin Bell, Anil Nerode, Raymond T. Ng, V. S. Subrahmanian",TODS,1996,,
64,0,hierarchical prefix cubes for range-sum queries,"chee yong chan, yannis e. ioannidis",VAL -,1999,dynamic update cube for range-sum queries,"seok-ju chun, chin-wan chung, ju-hong lee, seok-lyong lee",Very Large Data Bases,2001,,
65,0,Hypergraph Based Reorderings of Outer Join Queries with Complex Predicates,"Gautam Bhargava, Balakrishna R. Iyer, Piyush Goel",VAL -,VAL -,Factorizing Complex Predicates in Queries to Exploit Indexes,"Surajit Chaudhuri, Prasanna Ganesan, Sunita Sarawagi",SIGMOD Conference,VAL -,,
66,0,The Aditi Deductive Database System,VAL -,VLDB Journal,VAL -,Space Optimization in Deductive Databases,"Divesh Srivastava, S. Sudarshan, Raghu Ramakrishnan, Jeffrey F. Naughton",TODS,VAL -,,
67,0,Static Detection of Security Flaws in Object-Oriented Databases,VAL -,SIGMOD Conference,1996,Unisql/X: Unified Relational and Object-Oriented Database System,VAL -,International Conference on Management of Data,VAL -,,
68,0,Strudel: A Web-Site Management System,"ALON Y. LEVY, MARY F. FERNANDEZ, JAEWOO KANG, DANIELA FLORESCU, DAN SUCIU",SIGMOD Conference,VAL -,Using the Calanda Time Series Management System,"WERNER DREYER, ANGELIKA KOTZ DITTRICH, DURI SCHMIDT",International Conference on Management of Data,VAL -,,
69,0,tree pattern query minimization,"Divesh Srivastava, Sungran Cho, Lakshmanan Sivaranjan, Sihem Amer-Yahia",VLDB Journal,2002,VAL -,VAL -,VAL -,VAL -,,
70,0,Implementation of Magic-Sets in a Relational Database System,"Inderpal Singh Mumick, Hamid Pirahesh",SIGMOD Conference,1994,On Efficiently Implementing SchemaSQL on an SQL Database System,"Laks V. S. Lakshmanan, Fereidoon Sadri, Subbu N. Subramanian",Very Large Data Bases,1999,,
71,0,A Robust Optimization-Based Approach For Approximate Answering Of Aggregate Queries,"Vivek R. Narasayya, Gautam Das, Surajit Chaudhuri",SIGMOD Conference,VAL -,The Aqua Approximate Query Answering System,VAL -,International Conference on Management of Data,VAL -,,
72,0,Selectivity Estimation For Spatio-Temporal Queries To Moving Objects,VAL -,SIGMOD Conference,2002,Selectivity Estimation In Spatial Databases,"Swarup Acharya, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999,,
73,0,On Supporting Containment Queries in Relational Database Management Systems,"Guy M. Lohman, David J. Dewitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang",VAL -,VAL -,Integrating Modeling Systems for Environmental Management Information Systems,"David J. Abel, Kerry Taylor, Dean Kun",ACM SIGMOD Record,VAL -,,
74,0,VIST: A Dynamic Index Method for Querying XML Data by Tree Structures,VAL -,SIGMOD Conference,2003,Efficient Index Structures for String Databases,"Tamer Kahveci, Ambuj K. Singh",VLDB,VAL -,,
75,0,Foundations of Preferences in Database Systems,VAL -,VLDB,VAL -,Secure Buffering in Firm Real-Time Database Systems,"George Binto, Jayant R. Haritsa",VLDB Journal,2000,,
76,1,Towards Automated Performance Tuning for Complex Workloads,VAL -,VLDB,1994,Towards Automated Performance Tuning for Complex Workloads,"Kurt P. Brown, Manish Mehta, Michael J. Carey, Miron Livny",Very Large Data Bases,VAL -,,
77,0,Book Review Column Karl Aberer,VAL -,ACM SIGMOD Record,2003,Book Reviews ACM SIGMOD Record 2002,Karl Aberer,ACM SIGMOD Record,VAL -,VAL -,VAL -
78,0,groupwise processing of relational queries,VAL -,VLDB,1997,cache conscious algorithms for relational query processing,"Ambuj Shatdal, Chander Kant, Jeffrey F. Naughton",VLDB,1994,,
79,0,efficiently instantiating view-objects from remote relational databases,"Gio Wiederhold, Byung Suk Lee",VAL -,1994,converting relational to object-oriented databases,Joseph Fong,ACM SIGMOD Record,VAL -,,
80,0,Constructing the Next 100 Database Management Systems,VAL -,ACM SIGMOD Record,1994,The Mariposa Distributed Database Management System,Jeff Sidell,ACM SIGMOD Record,1996,VAL -,VAL -
81,0,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP),VAL -,ACM SIGMOD Record,2002,Report on the Fourth International Conference on Flexible Query Answering Systems (FQAS),"Patrick Bosc, Amihai Motro, Gabriella Pasi",ACM SIGMOD Record,2001,,
82,0,Reminiscences on Influential Papers,"Kenneth A. Ross, Kyuseok Shim, Mary F. Fernandez",ACM SIGMOD Record,2002,Influential Papers Ken Ross,VAL -,ACM SIGMOD Record,2002,VAL -,VAL -
83,0,index nesting,VAL -,VLDB Journal,1996,exact,"Oscar Díaz, Arturo Jaime",VLDB Journal,1997,,
84,0,mocha: a self-extensible database middleware system,VAL -,SIGMOD Conference,2000,aqr-toolkit: an adaptive query routing middleware for distributed data intensive systems,"Ling Liu, Calton Pu, David Butler, Wei Han, Henrique Paques, Wei Tang",International Conference on Management of Data,2000,,
85,0,The Design and Implementation of a Sequence Database System,VAL -,VLDB,1996,The Aggregate Data Problem: A System for Their Definition and Management,"M. Rafanelli, A. Bezenchek, L. Tininini",ACM SIGMOD Record,1996,,
86,0,Approximating Aggregate Queries About Web Pages Via Random Walks,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",VAL -,VAL -,A Robust Optimization-Based Approach For Approximate Answering Of Aggregate Queries,"Surajit Chaudhuri, Gautam Das, Vivek Narasayya",SIGMOD Conference,VAL -,,
87,0,Databases and Visualization,Daniel A. Keim,SIGMOD Conference,1996,Delaunay: A Database Visualization System,VAL -,International Conference on Management of Data,1997,,
88,0,closest pair queries in spatial databases,"yannis theodoridis, yannis manolopoulos, antonio corral, michael vassilakopoulos",SIGMOD Conference,VAL -,location-based spatial queries,VAL -,International Conference on Management of Data,VAL -,VAL -,VAL -
89,0,Materialized View Selection and Maintenance Using Multi-query Optimization,"Krithi Ramamritham, Hoshi Mistry, Prasan Roy, S. Sudarshan",VAL -,VAL -,Outerjoin Simplification and Reordering for Query Optimization,"Cé Sar Galindo-Legaria, Arnon Rosenthal",TODS,1997,,
90,0,Adaptive Algorithms for Set Containment Joins,"Hector Garcia-Molina, Sergey Melnik",VAL -,2003,1-Safe Algorithms for Symmetric Site Configurations,VAL -,VLDB,VAL -,,
91,0,Book Review Column,Karl Aberer,ACM SIGMOD Record,2002,VAL -,VAL -,VAL -,VAL -,,
92,0,Binding Propagation in Disjunctive Databases,"Greco, Sergio",VAL -,VAL -,Tail Recursion Elimination in Deductive Databases,"Ross, Kenneth A.",TODS,1996,,
93,0,krdb '98: the 5th international workshop on knowledge representation meets databases,"Alexander Borgida, Martin Staudt, Vinay K. Chaudhri",ACM SIGMOD Record,VAL -,Report on First International Workshop on Real-Time Database Systems,VAL -,ACM SIGMOD Record,1996,VAL -,VAL -
94,0,Indexing Very High-Dimensional Sparse And Quasi-Sparse Vectors For Similarity Searches,"Xiaoyang Sean Wang, Changzhou Wang",VAL -,2001,Parallel Algorithms For High-Dimensional Similarity Joins For Data Mining Applications Very Large Data Bases,"John C. Shafer, Rakesh Agrawal",Very Large Data Bases,VAL -,,
95,0,towards on-line analytical mining in large databases,VAL -,ACM SIGMOD Record,VAL -,turbo-charging vertical mining of large databases,"Pradeep Shenoy, Jayant R. Haritsa, S. Sundarshan, Gaurav Bhalotia, Mayank Bawa, Devavrat Shah",SIGMOD Conference,2000,,
96,0,dwms: data warehouse management system,VAL -,VLDB,1996,the araneus web-based management system,"G. Mecca, P. Atzeni, A. Masci, G. Sindoni, P. Merialdo",VAL -,VAL -,,
97,0,Editorial Richard T. Snodgrass,VAL -,ACM Trans. Database Syst.,VAL -,"Guest Editorial Amr El Abbadi, Gunter Schlageter, Kyu-Young Whang",VAL -,VLDB Journal,2001,,
98,0,Tracing the Lineage of View Data in a Warehousing Environment,"Janet L. Wiener, Yingwei Cui, Jennifer Widom",VAL -,VAL -,Lineage Tracing for General Data Warehouse Transformations,"Yingwei Cui, Jennifer Widom",VLDB Journal,2003,,
99,0,influence sets based on reverse nearest neighbor queries,"S Muthukrishnan, Flip Korn",SIGMOD Conference,2000,VAL -,VAL -,VAL -,VAL -,,
100,0,Repositories and Object-Oriented Databases,VAL -,ACM SIGMOD Record,1998,Metu Object-Oriented DBMS,"Asuman Dogac, Budak Arpinar, Cem Evrendilek, Cetin Ozkan, Ilker Altintas, Ilker Durusoy, Mehmet Altinel, Tansel Okay, Yuksel Saygin",SIGMOD Conference,VAL -,VAL -,VAL -
101,0,groupwise processing of relational queries,VAL -,VAL -,1997,congressional samples for approximate answering of group-by queries,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",SIGMOD Conference,2000,VAL -,VAL -
102,0,Optimizing Multi-Feature Queries For Image Databases,"Ulrich Güntzer, Werner Kiessling, Wolf-Tilo Balke",VAL -,VAL -,Optimizing Queries Over Multimedia Repositories,"Surajit Chaudhuri, Luis Gravano",SIGMOD Conference,1996,,
103,0,Static Detection of Security Flaws in Object-Oriented Databases,VAL -,SIGMOD Conference,1996,Description Logics for Semantic Query Optimization in Object-Oriented Database Systems,"Domenico Beneventano, Sonia Bergamaschi, Claudio Sartori",ACM Transactions on Database Systems (TODS),2003,,
104,0,The Lyric Language: Querying Constraint Objects,"Alexander Brodsky, Yoram Kornatzky",SIGMOD Conference,VAL -,Themis: A Database Programming Language Handling Integrity Constraints,VAL -,VLDB Journal,1995,,
105,1,actiview : adaptive data presentation using supersql,"motomichi toyama, yoko maeda",VAL -,2001,actiview : adaptive data presentation using supersql,VAL -,Very Large Data Bases,VAL -,,
106,0,distance-based indexing for high-dimensional metric spaces,"Z. Meral Özsoyoğlu, Tolga Bozkaya",SIGMOD Conference,1997,the x-tree : an index structure for high-dimensional data,"Stefan Berchtold, Daniel A. Keim, Hans-Peter Kriegel",Very Large Data Bases,1996,VAL -,VLDB
107,0,efficiently instantiating view-objects from remote relational databases,"Gio Wiederhold, Byung Suk Lee",VAL -,1994,efficiently publishing relational data as xml documents,"Jayavel Shanmugasundaram, Eugene J. Shekita, Rimon Barr, Michael J. Carey, Bruce G. Lindsay, Hamid Pirahesh, Berthold Reinwald",VLDB,2000,,
108,1,dbsim : a simulation tool for predicting database performance,"craig wong, mark stokrp, mike lefler",SIGMOD Conference,1996,dbsim : a simulation tool for predicting database performance,VAL -,VAL -,VAL -,,
109,0,Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB),"Dan Suciu, Maurizio Lenzerini, Daniele Nardi, Werner Nutt",ACM SIGMOD Record,VAL -,Report on NGITS '99: The Fourth International Workshop on Next Generation Information Technologies and Systems,VAL -,ACM SIGMOD Record,1999,VAL -,VAL -
110,0,On Supporting Containment Queries in Relational Database Management Systems,"Guy M. Lohman, David J. DeWitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang",SIGMOD Conference,2001,Querying Multiple Features of Groups in Relational Databases,"Damianos Chatziantoniou, Kenneth A. Ross",Very Large Data Bases,VAL -,VAL -,VLDB
111,0,efficient schemes for managing multiversion xml documents,"Shu-Yao Chien, Carlo Zaniolo, Vassilis J. Tsotras",VAL -,2002,efficient filtering of xml documents for selective dissemination of information,"Mehmet Altinel, Michael J. Franklin",VLDB,VAL -,,
112,0,Data Extraction and Transformation for the Data Warehouse,VAL -,SIGMOD Conference,1995,Data Warehouse Configuration,"Dimitri Theodoratos, Timos K. Sellis",Very Large Data Bases,1997,VAL -,VLDB
113,0,Weaving Relations for Cache Performance,"Mark D. Hill, Anastassia Ailamaki, David J. Dewitt, Marios Skounakis",VAL -,2001,DBSim: A Simulation Tool for Predicting Database Performance,"Mark Lefler, Mark Stolee, Craig Wong",SIGMOD Conference,VAL -,,
114,0,trex: dtd-conforming xml to xml transformations,VAL -,SIGMOD Conference,2003,composing xsl transformations with xml publishing views,"Chengkai Li, Philip Bohannon, P. P. S. Narayan",International Conference on Management of Data,2003,,
115,0,Reminiscences on Influential Papers,"Kenneth A. Ross, Kyuseok Shim, Mary F. Fernandez",VAL -,2002,Reminiscences in Influential Papers,Richard Snodgrass,ACM SIGMOD Record,VAL -,,
116,0,Watermarking Relational Data,"Peter J. Haas, Rakesh Agrawal, Jerry Kiernan",VAL -,2003,A System for Watermarking Relational Databases,"Rakesh Agrawal, Peter J. Haas, Jerry Kiernan",SIGMOD Conference,2003,,
117,0,Report on the Fourth International Conference on Flexible Query Answering Systems,"Gabriella Pasi, Amihai Motro, Patrick Bosc",ACM SIGMOD Record,2001,Report on FQAS 2002: Fifth International Conference on Flexible Query Answering Systems,"Amihai Motro, Troels Andreasen",VAL -,VAL -,VAL -,VAL -
118,1,Why Decision Support Fails and How to Fix It,"Kevin Strehlow, Ralph Kimball",ACM SIGMOD Record,1995,Why Decision Support Fails and How to Fix It,VAL -,ACM SIGMOD Record,1995,,
119,0,Data Extraction and Transformation for the Data Warehouse,VAL -,SIGMOD Conference,1995,Data Warehousing and OLAP for Decision Support,"Surajit Chaudhuri, Umeshwar Dayal",International Conference on Management of Data,1997,VAL -,VAL -
120,0,Workshop Report: The First International Workshop on Active and Real-Time Database Systems (ARTDB-95),VAL -,ACM SIGMOD Record,1996,Report on NGITS '99: The Fourth International Workshop on Next Generation Information Technologies and Systems,Opher Etzion,ACM SIGMOD Record,1999,,
121,0,Reminiscences on Influential Papers,"Kaladhar Voruganti, Renée J. Miller, Kenneth A. Ross, Flip Korn",VAL -,2002,Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2002,,
