id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released,left_song_name,left_featured_artists,left_artist_name,left_album_name,left_is_explicit,left_primary_genre,left_secondary_genres,left_price,left_copyright_year,left_copyright_holder,left_duration_seconds,left_release_date,left_record_label,right_song_name,right_featured_artists,right_artist_name,right_album_name,right_is_explicit,right_primary_genre,right_secondary_genres,right_price,right_copyright_year,right_copyright_holder,right_duration_seconds,right_release_date,right_record_label,left_remix_by,right_artist_names,right_remix_by,left_artist_names,left_location,left_copyright_years,left_copyright_holders,left_copyright_year_2014,left_copyright_year_2015
126,0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,When Love Takes Over ( Feat . Kelly Rowland ) [ Explicit ],David Guetta,One More Love [ Explicit ],Dance & Electronic,$ 1.29,"( C ) 2014 Lazy Hooks , LLC Under Exclusive License To Capitol Records , LLC",3:11,"November 24 , 2010",Toyfriend ( feat . Wynter Gordon ),['Wynter Gordon'],David Guetta,One Love,False,Dance,[],1.29,2010,"Gum Prod, Parlophone Music France",171.0,2009-08-21,,When Love Takes Over,['Kelly Rowland'],David Guetta,One More Love,True,Dance & Electronic,[],1.29,2014.0,"Lazy Hooks, LLC",191.0,2010-11-24,Capitol Records,,,,,,,,,
156,0,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,I Can Only Imagine ( feat . Chris Brown & Lil Wayne ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 0.99,2015 Real Sounds,3:29,"August 26 , 2011",I 'm a Machine,"['Crystal Nicole', 'Tyrese Gibson']",David Guetta,Nothing But the Beat,False,Dance,"['Rock', 'House', 'Electronic']",1.29,2011,"What A Music Ltd, Parlophone Music France",214.0,2011-08-26,,I Can Only Imagine,"['Chris Brown', 'Lil Wayne']",David Guetta,Nothing But the Beat 2.0,True,Dance & Electronic,[],0.99,2015.0,Real Sounds,209.0,2011-08-26,,,,,,,,,,
469,0,The Motto ( Bonus Track ) [ feat . Lil Wayne ],Drake,Take Care ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2011 Cash Money Records Inc.,3:01,15-Nov-11,Too Much [ feat . Sampha ] [ Explicit ],Drake,Nothing Was The Same ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,( C ) 2013 Cash Money Records Inc.,4:21,"September 24 , 2013",The Motto,['Lil Wayne'],Drake,Take Care,False,Hip-Hop/Rap,['Music'],1.29,2011,Cash Money Records Inc.,181.0,2011-11-15,,Too Much,['Sampha'],Drake,Nothing Was The Same (Deluxe),True,Rap & Hip-Hop,[],1.29,2013.0,Cash Money Records Inc.,261.0,2013-09-24,Cash Money Records,,,,,,,,,
216,1,Jack Daniels and Jesus,Chase Rice,Ignite the Night,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,2014 Dack Janiels Records,3:55,19-Aug-14,Jack Daniels and Jesus,Chase Rice,Ignite the Night,Country,$ 1.29,"( C ) 2014 Dack Janiels Records , under exclusive license to Sony Music Entertainment .",3:55,"August 19 , 2014",Jack Daniels and Jesus,[],Chase Rice,Ignite the Night,False,Country,"['Urban Cowboy', 'Contemporary Country']",1.29,2014,Dack Janiels Records,235.0,2014-08-19,,Jack Daniels and Jesus,[],Chase Rice,Ignite the Night,False,Country,[],1.29,2014.0,Dack Janiels Records,215.0,2014-08-19,Sony Music Entertainment,,,,,,,,,
275,0,Rewind ( feat . Monty ),Fetty Wap,Fetty Wap,"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:36,,Jugg ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:20,"September 25 , 2015",Rewind,['Monty'],Fetty Wap,Fetty Wap,False,Hip-Hop/Rap,"['Rap', 'Music']",,2015,300 Entertainment/RGF Productions,336.0,2015-01-01,300 Entertainment/RGF Productions,Jugg,['Monty'],Fetty Wap,Fetty Wap,False,Rap & Hip-Hop,[],1.29,2015.0,Mute Records Ltd.,200.0,2015-09-25,INgrooves,,,,,,,,,
53,1,I Ai n't Livin ' Long Like This,Chris Janson,Take It to the Bank - EP,"Country , Music",$ 1.29,2014 Sony Music Entertainment,4:13,24-Feb-14,I Ai n't Livin ' Long Like This,Chris Janson,Take It to the Bank ( EP ),Country,$ 1.29,( C ) 2012 Cash Money Records Inc.,4:13,"February 24 , 2014",I Ain't Livin' Long Like This,[],Chris Janson,Take It to the Bank - EP,False,Country,['Music'],1.29,2014,Sony Music Entertainment,253.0,2014-02-24,,I Ain't Livin' Long Like This,[],Chris Janson,Take It to the Bank (EP),False,Country,[],1.29,2012.0,Cash Money Records Inc.,253.0,2014-02-24,,,,,,,,,,
398,0,Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ],Skrillex & Diplo,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,"Dance , Music",$ 1.29,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2:31,16-Jun-15,Ease My Mind ( feat . Niki and the Dove ) [ GTA Remix ],Skrillex,Ease My Mind v Ragga Bomb Remixes,"Dance & Electronic , Dubstep",$ 1.29,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",4:41,"November 24 , 2014",Where Are '' Now,['Justin Bieber'],Skrillex & Diplo,Where Are '' Now (with Justin Bieber) [Remixes] - EP,False,Dance,['Music'],1.29,2015,OWSLA / Mad Decent / Atlantic Recording Corporation (US) and WEA International Inc. (worldwide),151.0,2015-06-16,Warner Music Group,Ease My Mind,['Niki and the Dove'],Skrillex,Ease My Mind v Ragga Bomb Remixes,False,Dance & Electronic,['Dubstep'],1.29,2014.0,"OWSLA/Big Beat Records, Inc.",261.0,2014-11-24,"OWSLA/Big Beat Records, Inc.",,,,,,,,,
151,0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:20,"November 24 , 2014",Toyfriend,['Wynter Gordon'],David Guetta,One Love (Deluxe Version),False,Dance,['Music'],1.29,2010,Gum Prod,171.0,2009-08-21,Parlophone Music France,Dangerous ( feat . Sam Martin ),['Sam Martin'],David Guetta,Listen,False,Dance & Electronic,[],1.29,2015.0,If Moving Your Mine,200.0,2014-11-24,,,,,,,,,,
250,1,Old Blue Chair,Kenny Chesney,When the Sun Goes Down,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29,2004 Sony Music Entertainment,3:23,1-Jan-90,Old Blue Chair,Kenny Chesney,When The Sun Goes Down ( Deluxe Version ),Country,$ 1.29,2012 Pinecastle Records,3:25,"February 2 , 2004",Old Blue Chair,[],Kenny Chesney,When the Sun Goes Down,False,Country,"['Contemporary Country', 'Urban Cowboy']",1.29,2004,Sony Music Entertainment,203.0,1990-01-01,Sony Music Entertainment,Old Blue Chair,[],Kenny Chesney,When The Sun Goes Down (Deluxe Version),False,Country,[],1.29,2012.0,Pinecastle Records,205.0,2004-02-02,,,,,,,,,,
257,1,I 'd Love to Change Your Name,Kenny Chesney,In My Wildest Dreams,"Country , Music , Urban Cowboy , Contemporary Country",$ 0.99,2004 BMG Music,2:48,1994,I 'd Love To Change Your Name,Kenny Chesney,In My Wildest Dreams,Country,$ 0.99,( p ) Moda Black,2:48,"July 27 , 2004",I 'd Love to Change Your Name,[],Kenny Chesney,In My Wildest Dreams,False,Country,"['Urban Cowboy', 'Contemporary Country']",0.99,2004,BMG Music,168.0,1994-01-01,BMG Music,I 'd Love To Change Your Name,[],Kenny Chesney,In My Wildest Dreams,False,Country,[],0.99,,Moda Black,168.0,2004-07-27,,,,,,,,,,
70,1,Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15,Goner,twenty one pilots,Blurryface,Alternative Rock,$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,"May 15 , 2015",Goner,[],twenty one pilots,Blurryface,False,Alternative,"['Rock', 'Adult Alternative', 'Indie Rock', 'Hip-Hop / Rap', 'Rap', 'Underground Rap']",1.29,2015,"Fueled By Ramen LLC, WEA International Inc.",236.0,2015-05-15,Warner Music Group,Goner,[],twenty one pilots,Blurryface,False,Alternative Rock,[],1.29,2015.0,Fueled By Ramen LLC and WEA International Inc.,236.0,2015-05-15,Warner Music Group,,,,,,,,,
94,0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Missing You ( Feat . Novel ; Continuous Mix Version ),David Guetta,One Love ( Deluxe Version ),Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:59,"August 21 , 2009",Dangerous (feat. Sam Martin) [Robin Schulz Remix] [Radio Edit],['Sam Martin'],David Guetta,Listen (Deluxe Version),False,Dance,"['Rock', 'House', 'Electronic', 'French Pop']",1.29,2014,What A Music Ltd.,200.0,2014-11-24,Parlophone/Warner Music France,Missing You,['Novel'],David Guetta,One Love,False,Dance & Electronic,[],1.29,2014.0,Swedish House Mafia Holdings Ltd (BVI),299.0,2009-08-21,Virgin Records,,,,,,,,,
512,0,Ca n't Stop Now ( feat . Jovi Rockwell and Mr. Vegas ),Major Lazer,Guns Do n't Kill People ... Lazers Do,"Electronic,Music,Hip-Hop / Rap , Rap , Alternative , Reggae , Dance , Modern Dancehall , Rock",$ 1.29,"‰ ãÑ 2009 Downtown Music , LLC .",4:03,2009,Hold The Line [ feat . Santigold ] [ Explicit ],Major Lazer,Guns Do n't Kill People ... Lazers Do ( Deluxe ) [ Explicit ],"Electronica , Dance & Electronic",$ 1.29,"( C ) 2009 Downtown Music , LLC .",3:39,"June 3 , 2015",Ca n't Stop Now,"['Jovi Rockwell', 'Mr. Vegas']",Major Lazer,Guns Do n't Kill People ... Lazers Do,False,Electronic,"['Hip-Hop/Rap', 'Rap', 'Alternative', 'Reggae', 'Dance', 'Modern Dancehall', 'Rock']",1.29,2009,"Downtown Music, LLC",243.0,2009-01-01,Downtown Music,Hold The Line,['Santigold'],Major Lazer,Guns Do n't Kill People ... Lazers Do ( Deluxe ),True,Electronica,['Dance & Electronic'],1.29,2009.0,"Downtown Music, LLC",219.0,2015-06-03,,,,,,,,,,
89,0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack )",David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:12,"November 24 , 2014",Dangerous,['Sam Martin'],David Guetta,Listen,False,Dance,"['Rock', 'House', 'Electronic', 'French Pop']",1.29,2014,What A Music Ltd.,200.0,2014-11-24,Parlophone/Warner Music France,Hey Mama,"['Nicki Minaj', 'Bebe Rexha', 'Afrojack']",David Guetta,Listen (Deluxe),False,Dance & Electronic,[],1.29,2015.0,If Moving Your Mine,192.0,2014-11-24,,,,,,,,,,
371,0,Elevator ( feat . Timbaland ),Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:55,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008",Elevator,['Timbaland'],Flo Rida,Mail On Sunday,False,Hip-Hop/Rap,"['Music', 'Dirty South']",1.99,2008,"Atlantic Recording Corporation (US), WEA International Inc. (worldwide)",215.0,2008-03-17,,Money Right,"['Rick Ross', 'Brisco']",Flo Rida,Mail On Sunday,True,Rap & Hip-Hop,[],1.29,2013.0,Warner Bros. Records Inc.,197.0,2008-03-17,,,,,,,,,,
467,0,Take Care ( feat . Rihanna ),Drake,Take Care ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2011 Cash Money Records Inc.,4:37,15-Nov-11,The Real Her [ feat . Andre 3000 ] [ Explicit ],Drake,Take Care ( Deluxe Edition ) [ Explicit ],Rap & Hip-Hop,$ 1.29,( C ) 2012 Cash Money Records Inc.,5:21,"March 20 , 2012",Take Care,['Rihanna'],Drake,Take Care (Deluxe Version),False,Hip-Hop/Rap,['Music'],1.29,2011,Cash Money Records Inc.,277.0,2011-11-15,Cash Money Records,The Real Her,['Andre 3000'],Drake,Take Care (Deluxe Edition),True,Rap & Hip-Hop,[],1.29,2012.0,Cash Money Records Inc.,321.0,2012-03-20,Cash Money Records,,,,,,,,,
246,0,A+E ( feat . Kandaka Moore & Nikki Cislyn ),Clean Bandit,New Eyes,"Dance , Music , Electronic , Classical , Classical Crossover , Rock , House , Electronica",$ 1.29,2014 Warner Music UK Limited,4:06,2-Jun-14,Rather Be ( feat . Jess Glynne ),Clean Bandit,New Eyes,"Electronica , Dance & Electronic",$ 1.29,( C ) 2005 Rebel Records Llc,3:47,"June 2 , 2014",A+E,"['Kandaka Moore', 'Nikki Cislyn']",Clean Bandit,New Eyes,False,Dance,"['Electronic', 'Classical Crossover', 'House', 'Electronica', 'Rock']",1.29,2014,Warner Music UK Limited,246.0,2014-06-02,,Rather Be,['Jess Glynne'],Clean Bandit,New Eyes,False,Electronica,['Dance & Electronic'],1.29,2005.0,Rebel Records LLC,227.0,2014-06-02,Rebel Records,,,,,,,,,
168,0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Shot me Down ( feat . Skylar Grey ) [ Radio Edit ],David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:11,"November 24 , 2014",Toyfriend,['Wynter Gordon'],David Guetta,One Love,False,Dance,['Music'],1.29,2010,"Gum Prod, licence exclusive Parlophone Music France",171.0,2009-08-21,,,,,,,,,,,,,,,,,,,,,,,
105,0,The Whisperer ( feat . Sia ),David Guetta,Listen,"Dance , Music , Electronic , House , Rock , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",3:54,24-Nov-14,Goodbye Friend ( feat . The Script ),David Guetta,Listen,Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:49,"November 24 , 2014",The Whisperer,['Sia'],David Guetta,Listen,False,Dance,"['Electronic', 'House', 'Rock', 'French Pop']",1.29,2014,What A Music Ltd.,234.0,2014-11-24,"Parlophone/Warner Music France, Atlantic Recording Corporation",Goodbye Friend,['The Script'],David Guetta,Listen,False,Dance & Electronic,[],1.29,2015.0,If Moving Your Mine,229.0,2014-11-24,If Moving Your Mine,,,,,,,,,
428,0,Lick It ( Norman Doray Remix ),Kaskade & Skrillex,Lick It ( Remixes ) - EP,"Dance , Music , Electronic",$ 1.29,"2012 Ultra Records , Inc.",6:14,17-Apr-12,Make It Bun Dem ( Flinch Remix ),Skrillex & Damian Jr Gong '' Marley '',Make It Bun Dem After Hours EP,Dance & Electronic,$ 1.29,2015 RGK,3:55,"August 28 , 2012",Lick It,['Norman Doray'],Kaskade & Skrillex,Lick It (Remixes) - EP,False,Dance,"['Electronic', 'Music']",1.29,2012,"Ultra Records, Inc.",374.0,2012-04-17,,Make It Bun Dem,['Damian Jr Gong Marley'],Skrillex,Make It Bun Dem After Hours EP,False,Dance & Electronic,[],1.29,2015.0,RGK,215.0,2012-08-28,,,,,,,,,,
